1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q3,-44611,-36,0,2656,-6604,212,-1072,584,700,-2811,-4228,-36347,2547,-2579,32
1956:Q4,78700,-44,0,-1852,1328,1512,1784,400,-672,-2875,-3784,81350,3065,-3093,28
1957:Q1,-73229,-48,0,-1788,1452,-1632,-1168,428,-892,119,-12224,-60373,1265,-1297,32
1957:Q2,56896,-44,0,-324,4052,-1096,148,668,-1912,-349,-13780,66529,1908,-1940,32
1957:Q3,-131836,-44,0,3116,-8572,780,304,972,-496,1159,-8616,-118969,-690,658,32
1957:Q4,-7500,-40,0,-3212,-320,856,936,1348,-1428,6291,-8052,-1831,-1192,1164,28
1958:Q1,36974,-80,0,-3688,492,2276,888,1240,148,-8811,-9564,55779,570,-606,36
1958:Q2,59745,-36,0,-2452,7600,1372,1032,644,-304,6177,-12460,60651,-1107,1071,36
1958:Q3,109642,-52,0,5012,-6800,-3780,-2436,144,-1488,-2719,-9828,128869,-1060,1024,36
1958:Q4,46256,-32,0,-1296,2284,1104,-112,-248,1464,1897,-10228,53679,-1152,1112,40
1959:Q1,29904,-24,0,1076,5872,-2248,680,-556,-2372,3711,1116,20626,-225,181,44
1959:Q2,53746,-72,0,280,2148,-1072,-168,-784,-120,839,548,48885,2190,-2230,40
1959:Q3,-37185,-100,0,4028,-4980,-404,-532,-1248,1376,-1705,-1468,-30052,-2504,2464,40
1959:Q4,93103,44,0,-3628,852,1520,4,-1976,3492,2107,-1328,93958,-422,386,36
1960:Q1,-101301,-64,0,40,4344,-892,-132,-1772,1012,-1656,280,-102796,-557,525,32
1960:Q2,37650,-20,0,-1148,-1544,-404,268,-640,-32,3776,1752,32954,2284,-2316,32
1960:Q3,-115693,-36,0,3064,-1656,-1024,-1500,916,-440,-2648,-736,-112305,-352,316,36
1960:Q4,185420,-40,0,-2616,-428,3984,640,2412,932,-504,2140,179181,3703,-3739,36
1961:Q1,188029,-24,0,-1712,16,4466,994,2488,984,97,244,183787,1155,-1203,48
1961:Q2,-13063,-48,0,-1616,544,2002,982,1148,-128,-5055,-1412,-8600,1122,-1174,52
1961:Q3,48580,-436,0,2856,-1560,-712,-3484,-72,2844,-2139,-1160,52299,-568,516,52
1961:Q4,60716,-24,0,-260,2256,1016,1776,-1180,420,-3131,-1208,60330,1737,-1793,56
1962:Q1,6990,20,0,-3792,-888,-184,772,-1336,380,2819,3500,7078,-1563,1511,52
1962:Q2,16,-4,0,-628,-200,2204,1564,-556,1196,-405,1108,-1706,-353,297,56
1962:Q3,1260,160,0,3464,-3380,-2300,-3496,140,1056,1999,2660,319,-1662,1602,60
1962:Q4,7506,-24,0,-4872,896,3298,2554,700,44,-4081,-2828,11654,3463,-3523,60
1963:Q1,29417,-8,0,-508,2944,2906,878,776,1252,1903,2120,17942,2118,-2178,60
1963:Q2,-1868,4,0,116,84,120,-436,340,216,-4141,-2596,321,4224,-4296,72
1963:Q3,4170,32,0,1448,-3420,2416,588,-20,1848,3191,-672,2235,-1060,996,64
1963:Q4,7216,112,0,-2248,6052,-1492,-644,-344,-504,-409,-2096,6991,306,-374,68
1964:Q1,14865,72,0,1636,524,8856,2732,1624,4500,-1937,3188,5119,-2593,2525,68
1964:Q2,-4643,68,0,-2128,-4476,-3464,-1260,-2128,-76,-1677,-260,7316,-22,-54,76
1964:Q3,-15977,156,0,2020,-2564,-162,-2606,100,2344,-2333,-444,-11631,-1019,935,84
1964:Q4,15378,492,0,-5300,8836,-4674,514,-3348,-1840,1071,-796,12238,3511,-3591,80
1965:Q1,35116,196,0,6320,-3668,7060,1712,3932,1416,4355,2432,16142,2279,-2367,88
1965:Q2,-9530,60,0,-1016,-2264,912,1888,344,-1320,-3145,944,-7429,2408,-2492,84
1965:Q3,-13384,-48,0,-1776,-1476,-2290,-2122,408,-576,-2553,248,-1989,-3500,3416,84
1965:Q4,-25251,48,0,-2984,1000,1832,248,524,1060,-2397,-420,-17850,-4480,4400,80
1966:Q1,18711,68,0,5508,-1744,10264,548,504,9212,-2185,4184,9127,-6511,6403,108
1966:Q2,-19021,236,0,992,-1800,4778,1854,348,2576,-9593,2064,-11697,-4001,3893,108
1966:Q3,-26204,356,0,1872,-7776,-4760,-6512,184,1568,-5605,-952,-3994,-5345,5241,104
1966:Q4,-2815,-32,0,-2256,864,-1054,4058,16,-5128,-1473,-3288,9321,-4897,4797,100
1967:Q1,18154,104,0,-700,5540,1814,2710,-2000,1104,-3853,4672,18064,-7487,7375,112
1967:Q2,-3951,440,0,832,376,3000,980,2120,-100,-2197,5520,-8511,-3411,3303,108
1967:Q3,-29239,72,0,-264,-2104,-4552,-3796,-3048,2292,-1869,-3292,-14654,-2576,2468,108
1967:Q4,-11216,248,0,36,3476,726,2650,2052,-3976,-1917,-4380,-8988,-417,297,120
1968:Q1,12787,212,0,-2148,-4028,6078,4334,3364,-1620,-1508,10636,8939,-5394,5262,132
1968:Q2,7081,604,0,6020,5736,4558,1534,-1124,4148,-3752,-2556,3486,-7015,6879,136
1968:Q3,-18978,52,0,-4116,-6672,-7868,-7784,240,-324,1040,-3144,3425,-1695,1547,148
1968:Q4,5163,128,0,4912,8240,15138,5814,5412,3912,-8992,-3952,-11306,995,-1155,160
1969:Q1,16039,60,0,-440,-4496,652,2184,176,-1708,-2540,2836,24757,-4790,4598,192
1969:Q2,15426,592,0,11488,752,6012,2212,116,3684,-5396,12952,-9140,-1834,1622,212
1969:Q3,-13821,28,0,-10184,-16904,-8220,-6320,88,-1988,-5600,-3160,31938,-1719,1499,220
1969:Q4,-25625,196,0,1424,8028,1396,-1828,-5168,8392,492,-5924,-32399,1162,-1390,228
1970:Q1,-28638,44,0,13016,-1264,-4618,-6702,12,2072,5175,3960,-40584,-4367,4135,232
1970:Q2,-41656,-248,0,-2436,20088,-2566,2346,20,-4932,4935,-3304,-52379,-5746,5518,228
1970:Q3,-37183,-68,0,-5736,-13324,8588,-420,4944,4064,3291,1060,-24178,-6816,6580,236
1970:Q4,68091,-44,0,-5508,2316,42,666,-288,-336,-8477,540,84606,-5384,5144,240
1971:Q1,-42647,-92,0,17548,4400,-942,-5482,-5044,9584,20173,536,-70663,-13607,13311,296
1971:Q2,-51570,-28,0,-7768,6172,5932,3816,636,1480,-871,-4856,-37539,-12612,12280,332
1971:Q3,-54296,-52,0,-8280,-14188,1672,-668,-2432,4772,-1791,5552,-24648,-12561,12221,340
1971:Q4,55663,220,0,-9812,8400,-4492,844,2512,-7848,-4095,4408,61641,-607,263,344
1972:Q1,-27822,-380,0,-4756,1176,12326,402,96,11828,6890,-1536,-36185,-5357,4977,380
1972:Q2,-44997,-72,0,-4700,8108,-2020,-256,296,-2060,-1878,1972,-28743,-17664,17296,368
1972:Q3,-24161,-92,0,-9104,-9140,19584,7896,128,11560,6362,3284,-25790,-9265,8893,372
1972:Q4,-23478,-68,0,-5228,8376,-8844,-5732,100,-3212,-17034,6156,-8984,2148,-2524,376
1973:Q1,-109479,-76,0,7976,-6968,-1432,-1108,132,-456,-3702,1232,-99323,-7186,6670,516
