1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1968:Q2,155470,4800,113445,9346,6046,17448,0,0,480,3905,179408,0,149697,7736,6248,8025,3317,0,0,4385,-23938
1968:Q3,162726,4990,119316,9938,6095,17922,0,0,500,3965,187469,0,156494,8263,6309,8388,3391,0,0,4624,-24743
1968:Q4,170403,5150,126213,9351,6467,18407,0,0,510,4305,191862,0,160123,7655,6414,8769,3476,0,0,5425,-21459
1969:Q1,170921,5290,126219,9575,6124,18903,0,0,520,4290,198008,0,165141,8257,6850,8842,3572,0,0,5346,-27087
1969:Q2,177195,5460,131262,10003,6090,19411,0,0,540,4429,205352,0,171408,8345,7203,9173,3680,0,0,5543,-28157
1969:Q3,184413,5620,137469,10529,5929,19922,0,0,560,4384,214822,0,179673,8705,7466,9543,3792,0,0,5643,-30409
1969:Q4,193838,5820,145730,9992,6389,20431,0,0,580,4896,218559,0,182946,8110,7333,10008,3898,0,0,6264,-24721
1970:Q1,192557,5980,143498,10013,6224,20953,0,0,590,5299,222789,0,186944,8331,7165,9991,4011,0,0,6347,-30232
1970:Q2,195892,6100,146363,10208,5692,21484,0,0,600,5445,225366,0,189675,7860,6971,10184,4127,0,0,6549,-29474
1970:Q3,198541,6300,148279,10168,5572,22045,0,0,600,5577,228340,0,192568,7418,6809,10351,4246,0,0,6948,-29799
1970:Q4,203816,6460,153602,9315,5351,22618,0,0,610,5860,227305,0,191389,6623,6556,10630,4370,0,0,7737,-23489
1971:Q1,204455,6650,151671,10966,5349,23200,0,0,620,5999,230558,0,193247,8333,6120,10701,4443,0,0,7714,-26103
1971:Q2,206514,6800,153719,10455,4956,23796,0,0,630,6158,232810,0,196592,8152,5260,10839,4471,0,0,7496,-26296
1971:Q3,210594,7120,156998,10291,4877,24395,0,0,650,6263,238280,0,201971,8530,5024,11062,4521,0,0,7172,-27686
1971:Q4,220416,7340,167228,9517,4228,25012,0,0,670,6421,240416,0,203801,8123,4852,11559,4661,0,0,7420,-20000
1972:Q1,220027,7500,166069,9742,3945,25638,0,0,690,6443,247438,0,210218,8636,4856,11582,4895,0,0,7251,-27411
1972:Q2,223693,7670,168842,10276,3512,26259,0,0,710,6424,253772,0,215549,8824,4866,11785,5229,0,0,7519,-30079
1972:Q3,233968,7850,177323,10978,3754,26891,0,0,730,6442,262640,0,222993,9386,4693,12291,5574,0,0,7703,-28672
1972:Q4,248920,8180,190373,10662,4429,27547,0,0,750,6979,270276,0,230207,8770,4033,13013,5842,0,0,8411,-21356
1973:Q1,253960,8220,191868,13620,4183,28217,0,0,760,7092,281591,0,240370,9240,4143,13297,6050,0,0,8491,-27631
1973:Q2,269630,8520,203022,17017,4250,28895,0,0,770,7156,294817,0,251373,9753,4476,14058,6218,0,0,8939,-25187
1973:Q3,283213,8700,211491,20453,4491,29591,0,0,780,7707,309410,0,264071,10376,4378,14726,6359,0,0,9500,-26197
1973:Q4,306365,8910,228428,24018,5219,30318,0,0,790,8682,317109,0,269317,11086,4307,15840,6485,0,0,10074,-10744
1974:Q1,310836,9170,228286,26283,4918,31089,0,0,810,10280,332228,0,281929,12540,4516,16116,6639,0,0,10488,-21392
1974:Q2,325178,9600,238995,27920,5039,31913,0,0,830,10881,350152,0,297374,13632,4740,16846,6764,0,0,10796,-24974
1974:Q3,337027,9780,248794,28075,5567,32766,0,0,850,11195,359899,0,305285,13821,5097,17457,6885,0,0,11354,-22872
1974:Q4,254793,10060,165205,27123,6165,33640,0,0,870,11730,297072,0,245519,13288,5305,13802,7020,0,0,12138,-42279
1975:Q1,247803,10107,153059,27490,10140,34575,0,0,890,11542,315337,0,262584,13693,5402,13581,7182,0,0,12895,-67534
1975:Q2,250467,10210,153416,27932,10737,35497,0,0,910,11765,323554,0,269070,14062,5924,13772,7359,0,0,13367,-73087
1975:Q3,263576,10391,163619,28312,11616,36449,0,0,930,12259,341218,0,285011,14341,6315,14447,7526,0,0,13578,-77642
1975:Q4,278067,10555,176372,28435,11791,37443,0,0,950,12521,329516,0,271441,14551,6495,15191,7668,0,0,14170,-51449
1976:Q1,273084,10693,167962,29052,13549,38467,0,0,970,12391,349875,0,290075,14542,6499,15055,7925,0,0,15779,-76791
1976:Q2,284429,10635,176210,29996,14559,39465,0,0,990,12574,366357,0,305080,14666,6882,15648,8232,0,0,15849,-81928
1976:Q3,294156,10723,182625,30741,16438,40452,0,0,1010,12167,382090,0,317988,15123,6984,16158,8559,0,0,17278,-87934
1976:Q4,310241,10717,195180,31438,17920,41437,0,0,1030,12519,369936,0,302449,15849,6949,16917,8878,0,0,18894,-59695
1977:Q1,315503,10824,196568,32994,19239,42458,0,0,1050,12370,393723,0,325485,15878,6768,17252,9193,0,0,19147,-78220
1977:Q2,326508,10864,204530,34219,20153,43509,0,0,1070,12163,408509,0,338436,16826,6583,17845,9510,0,0,19309,-82001
1977:Q3,334261,10902,210061,34892,21146,44563,0,0,1090,11607,428958,0,355283,18221,7037,18278,9836,0,0,20303,-94697
1977:Q4,352580,11092,227047,35037,21125,45629,0,0,1100,11550,422773,0,346406,19976,6187,19261,10176,0,0,20767,-70193
1978:Q1,358151,11306,229719,35571,22235,46700,0,0,1120,11500,447082,0,366132,21559,7376,19667,10530,0,0,21818,-88931
1978:Q2,372867,11570,241512,36474,22851,47870,0,0,1140,11450,473762,0,389338,23113,7836,20539,10897,0,0,22039,-100895
1978:Q3,382715,11724,247814,37584,23953,49080,0,0,1160,11400,503576,0,415102,24594,8077,21163,11274,0,0,23366,-120861
1978:Q4,410722,11879,271823,38623,25524,50326,0,0,1190,11357,497772,0,407281,26018,8912,22572,11656,0,0,21333,-87050
1979:Q1,418052,12119,275152,40543,26361,51548,0,0,1240,11089,530927,0,438034,27421,9151,23021,12107,0,0,21193,-112875
1979:Q2,437181,12262,289137,42710,27378,52845,0,0,1270,11579,556968,0,459209,28676,9892,24027,12605,0,0,22559,-119787
1979:Q3,459281,12298,305384,44870,28676,54203,0,0,1300,12550,591590,0,490540,29563,10224,25158,13113,0,0,22992,-132309
1979:Q4,484513,12627,327378,46885,27767,55615,0,0,1340,12901,583836,0,479655,30154,11313,26463,13591,0,0,22660,-99323
1980:Q1,490467,12885,328407,48603,28609,57082,0,0,1400,13481,618670,0,511553,30642,12838,26878,14081,0,0,22678,-128203
1980:Q2,488437,13058,321601,50118,29247,58546,0,0,1500,14367,626689,0,510604,31168,13316,26900,14581,0,0,30120,-138252
1980:Q3,501672,13403,328719,51537,29832,60010,0,0,1600,16571,649744,0,530436,31791,14443,27613,15080,0,0,30381,-148072
1980:Q4,530866,13806,356520,52581,30033,61506,0,0,1700,14720,653199,0,529353,32492,15091,29217,15575,0,0,31471,-122333
1981:Q1,555658,13969,374568,54087,31462,63091,0,0,1800,16681,698042,0,572031,33031,15733,30482,16189,0,0,30576,-142384
1981:Q2,565449,14261,381680,56343,31484,64649,0,0,1900,15132,717303,0,588802,33808,16495,31017,16879,0,0,30302,-151854
1981:Q3,564448,14430,378052,57776,31209,66215,0,0,2000,14766,733681,0,603446,35180,17133,31069,17583,0,0,29270,-169233
1981:Q4,572370,14776,383423,58628,30572,67828,0,0,2100,15043,707942,0,574123,37028,17633,31551,18117,0,0,29490,-135572
1982:Q1,561310,14927,372047,59291,31624,69447,0,0,2200,11774,716262,0,580813,38721,18712,31190,18674,0,0,28152,-154952
1982:Q2,569913,15086,374910,61728,33484,71099,0,0,2300,11306,727303,0,587005,40591,19968,31687,19206,0,0,28846,-157390
1982:Q3,576554,15307,377195,63095,34969,72783,0,0,2450,10755,740562,0,598450,42703,19852,32091,19725,0,0,27741,-164008
1982:Q4,596300,15607,394163,63055,35325,74509,0,0,2600,11041,719775,0,569115,45009,22425,32899,20242,0,0,30085,-123475
1983:Q1,579665,16186,376759,61351,35546,76249,0,0,2692,10882,732169,0,581521,46965,23698,32231,20753,0,0,27001,-152504
1983:Q2,587516,16720,380096,62266,37472,77999,0,0,3221,9742,756751,0,602729,48878,24780,32688,21254,0,220,26202,-169235
1983:Q3,588732,17324,376903,62716,39169,79804,0,0,3083,9733,790005,0,630051,50683,25071,32866,21751,0,440,29143,-201273
1983:Q4,621201,18048,401994,62983,40336,81623,0,0,5086,11131,791414,0,626517,52404,26191,34398,22239,0,660,29005,-170213
1984:Q1,634405,18729,410679,62914,42926,83503,0,0,4027,11627,832860,0,662415,54394,27510,35090,22871,0,880,29700,-198455
1984:Q2,660513,19551,429080,64770,45535,85435,0,0,4133,12009,870911,0,693100,56277,29795,36415,23603,0,1100,30621,-210398
1984:Q3,665136,20290,428203,66509,47291,87428,0,0,4727,10688,898988,0,717799,57892,31057,36765,24321,0,1320,29834,-233852
1984:Q4,678748,21191,436676,67829,47479,89461,0,0,5465,10647,878542,0,694120,59293,31273,37508,25000,0,1540,29808,-199794
1985:Q1,679612,21812,433874,67916,50496,91551,0,0,4199,9764,912871,0,724675,60657,33352,37683,25644,0,1760,29100,-233259
1985:Q2,692486,22677,437622,69987,53373,93724,0,0,5280,9823,928057,0,736169,61926,35083,38424,26253,0,1980,28222,-235571
1985:Q3,696099,23746,434607,70920,56180,95945,0,0,5699,9002,942027,0,746326,62957,36123,38725,26759,0,2200,28937,-245928
1985:Q4,744840,24317,479653,66558,58119,98210,0,0,7998,9985,939013,0,739342,63798,34952,41283,27190,0,2420,30028,-194173
1986:Q1,699077,25037,444559,54197,60178,100548,0,0,6745,7813,928308,0,724905,69046,34455,39252,28457,0,2640,29553,-229231
1986:Q2,698499,25606,439233,50678,65151,102911,0,0,7294,7626,948500,0,739512,71303,35161,39528,29549,0,2860,30587,-250001
1986:Q3,713362,25981,445482,49627,71063,105315,0,0,7077,8817,972637,0,759201,73364,34213,40386,31005,0,3080,31388,-259275
1986:Q4,754091,26589,477971,51446,72737,107724,0,0,7632,9992,957963,0,741486,74822,32630,42216,32062,0,3300,31447,-203872
1987:Q1,768031,29412,477734,54924,75048,110188,0,0,8787,11938,996462,0,772240,75513,37905,42807,33097,0,3676,31224,-228431
1987:Q2,767342,30032,473369,53811,76347,112681,0,0,8424,12678,1015196,0,788985,75274,39389,43037,33842,0,4096,30573,-247854
1987:Q3,784262,30136,482992,54615,78794,115227,0,0,8892,13606,1041089,0,811164,75167,40469,43964,34607,0,4564,31154,-256827
1987:Q4,837545,43228,522356,56506,80214,117813,0,0,6828,10600,1092288,51818,805346,76252,40608,45983,35651,0,5084,31546,-254743
1988:Q1,852578,43867,524786,60292,82883,120427,0,0,8300,12023,1134691,52512,841376,78516,41759,46643,37137,0,5467,31281,-282113
1988:Q2,865476,44534,534527,57996,85428,123119,0,0,9413,10459,1177905,53230,877010,81939,41875,47514,39068,0,5879,31390,-312429
