1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1981:Q2,430278,3740,17875,0,8355,121499,13072,25907,17882,64638,3871,161203,6556,107179,0,7753,72448,26978,442842
1981:Q3,439558,3571,18529,0,8525,125816,13936,26066,20056,65758,3878,147431,5326,126482,0,7600,91231,27651,453076
1981:Q4,447235,3426,19332,0,8258,132133,14703,35013,15755,66662,3913,159220,4071,116882,0,7953,82382,26547,461922
1982:Q1,454575,2924,20980,0,7728,143095,13185,42026,18644,69240,3913,163046,3928,108961,0,8215,76213,24533,470987
1982:Q2,465308,2818,22808,0,7840,151558,12364,46530,21512,71152,5386,166545,4464,103889,0,8534,70545,24810,482333
1982:Q3,480013,2569,24458,0,8648,158808,10680,50928,23163,74037,6361,193610,5378,80181,0,9410,43404,27367,497787
1982:Q4,499947,2259,26190,0,8705,166638,9122,56378,24958,76180,7770,206075,5835,76475,0,9871,39216,27388,518242
1983:Q1,522345,2113,28350,0,9291,173640,8546,59797,25919,79378,9056,232558,6356,60981,0,10730,21096,29155,542586
1983:Q2,546757,2246,31296,0,10383,178856,9181,62288,26864,80523,9709,263099,6848,44320,0,11738,-101,32683,569514
1983:Q3,572809,2585,31388,0,10372,189846,10198,66828,28838,83982,10569,257916,6863,63270,0,11868,18812,32590,595586
1983:Q4,593846,2729,32263,0,10596,197037,10348,69999,30334,86356,10124,255389,6909,78799,0,12011,33448,33340,617138
1984:Q1,623118,3076,31889,0,10166,201076,11749,71267,30656,87404,9892,223247,6780,136992,0,11629,93417,31946,644883
1984:Q2,646655,3479,31811,0,9894,196016,13268,69092,29963,83693,9369,212500,6516,177070,0,11259,134697,31114,667294
1984:Q3,665283,3466,34384,0,10593,209897,13303,74072,32294,90228,9041,234086,7275,156541,0,12189,111095,33257,686825
1984:Q4,684532,3297,36053,0,10909,226587,11765,81302,34802,98718,9735,247225,7896,142830,0,12913,95811,34106,706165
1985:Q1,704265,3536,38793,0,11648,225410,11598,84115,36126,93571,11041,269409,8595,135833,0,13761,85642,36430,726782
1985:Q2,725745,3781,42185,0,12448,231090,11541,89579,38977,90993,11804,288607,9391,126439,0,14718,72794,38927,749170
1985:Q3,750363,3821,41777,0,12043,231874,11906,92230,40597,87141,11361,274816,9412,165259,0,14545,113176,37538,772440
1985:Q4,771103,1369,40963,0,13897,240891,14372,96413,52343,77763,11236,335911,5905,120931,81825,11582,-23961,51485,795192
1986:Q1,785855,1209,42027,0,13847,252209,14859,98624,53544,85182,11424,381329,6411,77399,85096,11572,-63525,44256,811686
1986:Q2,799798,1059,44554,0,14260,251944,15877,95137,51665,89265,10989,386742,5928,84322,84829,11557,-55625,43561,827063
1986:Q3,813030,924,46124,0,14345,258647,16572,93878,51082,97115,11005,336326,5059,140600,83393,11542,2447,43218,841888
1986:Q4,826059,796,49621,0,14999,235509,17980,89215,48039,80275,10066,348235,4834,161999,85570,11518,10026,54885,856898
1987:Q1,839111,706,50096,0,15001,227625,19194,85738,46166,76527,8678,446099,6558,84348,92976,11418,-87868,67822,870453
1987:Q2,853564,646,52172,0,15492,230405,21159,79665,53110,76471,7920,461659,8088,77182,94144,11118,-100382,72302,885218
1987:Q3,869104,606,52827,0,15573,235137,22702,81092,54061,77282,7282,477752,9498,70429,97943,10668,-116598,78416,901332
1987:Q4,886564,598,50715,0,14859,241281,23122,83486,55658,79015,6764,322304,7932,242111,91753,10021,83270,57067,918605
1988:Q1,903897,648,47418,0,14676,242778,21238,77707,63579,80254,7864,332725,7903,249885,86580,9321,99713,54271,933710
1988:Q2,920773,898,48951,0,16022,243659,21562,77864,63707,80526,8915,340133,7733,254462,84729,8921,97605,63207,949314
1988:Q3,938590,1698,45478,0,15758,259917,19722,87157,65855,87183,10926,307949,6828,290036,79924,8571,130916,70625,965048
