1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q1,500228,464445,375806,179676,196130,45610,2314,43296,5497,37532,35783,18177,0,0,0,0,0,2777,0,2777,9724,5105,4825,281,0,0,79386,63517,9617,8104,45796,15837,0,33,0,420842,420714,128,145548,58073,15.09276480164899
1962:Q2,505628,470224,381404,183126,198278,45860,2324,43536,5560,37400,35403,18186,0,0,0,0,0,3020,0,3020,9068,5129,4848,282,0,0,81551,65954,10147,8294,47513,15564,0,33,0,424076,423947,129,148462,58882,15.55239458345657
1962:Q3,512410,476883,386448,186309,200139,46104,2330,43774,5608,38723,35527,18184,0,0,0,0,0,3019,0,3019,9153,5171,4874,297,0,0,83472,67700,10332,8308,49060,15739,0,34,0,428938,428809,129,151330,59475,15.78306367026832
1962:Q4,517337,482177,391707,189298,202409,46183,2347,43836,5680,38607,35160,18163,0,0,0,0,0,3315,0,3315,8462,5220,4919,301,0,0,84359,69302,10573,8238,50491,15023,0,34,0,432978,432848,130,154044,60284,16.00590839433684
1963:Q1,521694,486141,395833,190302,205531,46456,2366,44090,5672,38180,35553,18139,0,0,0,0,0,2966,0,2966,9149,5299,4993,306,0,0,86755,71203,10639,8728,51836,15518,0,34,0,434939,434808,131,154673,61031,16.3708907903857
1963:Q2,524165,488799,398720,190720,208000,46718,2399,44319,5734,37628,35366,18088,0,0,0,0,0,3178,0,3178,8702,5398,5093,305,0,0,89115,74023,11221,8923,53879,15058,0,34,0,435051,434919,132,154720,61756,17.01476618119396
1963:Q3,525755,490280,400424,189715,210709,47119,2433,44686,5832,36905,35475,18039,0,0,0,0,0,3224,0,3224,8697,5515,5191,324,0,0,90731,75981,11350,8960,55671,14715,0,35,0,435025,434892,133,153623,62513,17.46586968143979
1963:Q4,530240,495123,405397,192067,213330,47570,2463,45107,5958,36198,35117,18018,0,0,0,0,0,3553,0,3553,7961,5586,5258,328,0,0,91640,77972,11731,9063,57179,13633,0,35,0,438600,438463,137,155411,63148,17.77748109759594
1964:Q1,533499,497956,408367,192335,216032,48049,2492,45557,5982,35558,35543,18019,0,0,0,0,0,3266,0,3266,8574,5685,5352,333,0,0,94001,79809,11911,9501,58397,14155,0,36,0,439498,439360,138,155585,63778,18.15919185106947
1964:Q2,541656,505964,416480,196657,219823,48569,2520,46049,6064,34852,35691,18048,0,0,0,0,0,3404,0,3404,8454,5786,5452,334,0,0,96849,82678,12393,9824,60461,14136,0,36,0,444807,444667,140,159690,65227,18.58729694159007
1964:Q3,548089,511994,421549,198911,222638,49076,2554,46522,6135,35234,36096,18087,0,0,0,0,0,3437,0,3437,8661,5911,5556,355,0,0,98913,84749,12529,9890,62330,14127,0,37,0,449177,449036,141,161728,66049,18.86757351478876
1964:Q4,557674,521649,430762,204221,226541,49565,2582,46983,6186,35136,36024,18119,0,0,0,0,0,3779,0,3779,8106,6020,5658,362,0,0,99382,86267,12477,9904,63886,13078,0,37,0,458291,458148,143,166793,67796,18.8236712355324
1965:Q1,565395,529002,436131,205505,230626,50330,2620,47710,6223,36318,36393,18145,0,0,0,0,0,3495,0,3495,8627,6127,5756,371,0,0,102072,88375,12968,10320,65087,13660,0,38,0,463323,463179,144,167836,68582,19.07407018508476
1965:Q2,573302,536956,441749,207185,234564,50958,2649,48309,6304,37945,36345,18175,0,0,0,0,0,3662,0,3662,8266,6243,5852,391,0,0,105093,91528,13599,10642,67287,13527,0,38,0,468209,468063,146,169235,69808,19.54852728783383
1965:Q3,579453,542737,446931,208738,238193,51828,2656,49172,6405,37573,36716,18202,0,0,0,0,0,3670,0,3670,8487,6357,5951,407,0,0,107374,93708,13801,10643,69263,13628,0,39,0,472078,471930,148,170396,70678,19.8500347167606
1965:Q4,593574,556907,458451,215228,243223,52384,2683,49701,6463,39609,36666,18223,0,0,0,0,0,4040,0,4040,7930,6473,6060,413,0,0,108383,95594,14046,10695,70853,12750,0,39,0,485190,485038,152,176339,72754,19.70246270496176
1966:Q1,599833,562677,461800,215597,246203,53219,2729,50490,6545,41113,37156,18226,0,0,0,0,0,3701,0,3701,8627,6601,6176,426,0,0,111941,98991,14668,11379,72943,12911,0,40,0,487891,487739,152,176442,73463,20.28951490821299
1966:Q2,616344,579295,476890,225432,251458,54300,2769,51531,6605,41501,37049,18219,0,0,0,0,0,3830,0,3830,8260,6740,6300,440,0,0,114471,102189,15622,11629,74938,12243,0,40,0,501873,501720,153,185350,75889,20.36143944844062
1966:Q3,624013,586274,481986,227088,254898,55400,2818,52582,6636,42252,37738,18211,0,0,0,0,0,3725,0,3725,8915,6887,6430,457,0,0,116135,103714,15650,11651,76413,12381,0,40,0,507877,507723,154,186580,76773,20.42115948083768
1966:Q4,635555,597837,493570,234063,259507,56839,2848,53991,6690,40738,37718,18213,0,0,0,0,0,3988,0,3988,8491,7026,6560,466,0,0,116865,105278,16296,11621,77361,11547,0,40,0,518690,518534,156,192869,78448,20.29697314876543
1967:Q1,641615,603396,498692,235882,262810,57690,2880,54810,6681,40333,38219,18236,0,0,0,0,0,3654,0,3654,9150,7179,6701,478,0,0,118645,107112,16495,12176,78441,11491,0,41,0,522970,522811,159,194333,79543,20.48152764547749
1967:Q2,650531,612204,504857,238290,266567,58612,2917,55695,6748,41986,38327,18266,0,0,0,0,0,3730,0,3730,8982,7349,6847,502,0,0,122048,110534,17240,12525,80769,11472,0,42,0,528482,528319,163,196126,80672,20.91534493935486
