1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,6,2,-35,-6,0,0,-3,0,-3,0,0,0,-29,-62,0,20,-82,33,0,0,0,0,0,0,33,0,3,-48,-48,0,-112,0,-112,0,64,0,-8
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,12,2,481,20,0,0,-77,0,-77,0,0,0,537,490,0,107,383,47,0,0,0,0,0,0,47,0,1,456,456,0,381,0,381,0,75,0,-15
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q2,8,1,629,44,0,0,-119,0,-119,0,0,0,687,394,0,144,250,293,230,0,230,0,0,0,63,0,17,633,633,0,654,0,654,-232,211,0,12
1960:Q3,7,1,246,-42,0,0,13,0,13,0,0,0,243,-2,0,32,-34,245,206,0,206,1,0,1,38,0,32,230,230,0,116,0,116,56,58,0,-9
1960:Q4,7,1,318,48,0,3,44,0,44,0,0,0,249,114,0,-131,245,135,95,0,95,1,0,1,39,0,-26,317,317,0,134,0,134,-19,202,0,6
1961:Q1,10,1,-221,-71,0,-3,263,0,263,0,0,0,-414,-363,0,141,-504,-51,-133,0,-133,0,0,0,82,0,4,-234,-234,0,-482,0,-482,-24,272,0,-5
1961:Q2,10,1,356,34,0,0,-49,0,-49,0,0,0,361,527,0,135,392,-166,-248,0,-248,0,0,0,82,0,10,365,365,0,337,0,337,-13,41,0,17
1961:Q3,10,1,382,0,0,0,-73,0,-73,0,0,0,451,317,0,62,255,134,84,0,84,0,0,0,50,0,4,372,372,0,498,0,498,9,-135,0,-2
1961:Q4,10,1,592,92,0,0,-216,0,-216,0,0,0,713,397,0,-141,538,316,266,0,266,0,0,0,50,0,3,591,591,0,261,0,261,95,235,0,7
1962:Q1,9,2,284,-104,0,0,533,0,533,0,0,0,-144,-365,0,146,-511,221,150,0,150,1,0,1,70,0,-1,263,263,0,377,0,377,-60,-54,0,-14
1962:Q2,10,2,416,45,0,0,-358,0,-358,0,0,0,731,813,0,197,616,-82,-157,0,-157,5,0,5,70,0,-2,439,439,0,337,0,337,-44,146,0,32
1962:Q3,10,2,339,-14,0,0,28,0,28,0,0,0,305,286,0,7,279,19,-23,0,-23,0,0,0,42,0,20,292,292,0,552,0,552,34,-294,0,-39
1962:Q4,9,2,611,93,0,0,170,0,170,0,0,0,352,311,0,-122,433,41,-5,0,-5,4,0,4,42,0,-4,602,602,0,248,0,248,55,299,0,-2
1963:Q1,9,1,-717,-120,0,0,440,0,440,0,0,0,-1019,-774,0,191,-965,-245,-318,0,-318,0,0,0,73,0,-18,-736,-736,0,-865,0,-865,-26,155,0,-11
1963:Q2,8,1,891,86,0,0,126,0,94,32,0,0,667,984,0,228,756,-317,-390,0,-390,0,0,0,73,0,12,872,872,0,905,0,905,-63,30,0,-12
1963:Q3,6,1,321,-46,0,0,-488,0,-494,6,0,0,810,813,0,59,754,-3,-57,0,-57,-1,0,-1,55,0,45,306,306,0,672,0,672,0,-366,0,-10
1963:Q4,8,1,997,54,0,0,334,0,327,7,0,0,673,646,0,-114,760,27,-30,0,-30,1,0,1,56,0,-64,983,983,0,824,0,824,0,159,0,-7
1964:Q1,7,1,-679,-75,0,9,-198,0,-207,9,0,0,-416,-502,0,114,-616,86,-17,0,-17,-1,0,-1,104,0,1,-706,-706,0,-571,0,-571,0,-135,0,-22
1964:Q2,8,1,997,62,0,7,46,0,36,10,0,0,899,809,0,208,601,90,-13,0,-13,0,0,0,103,0,-17,1000,1000,0,732,0,732,4,264,0,10
1964:Q3,9,1,-8,-37,0,4,-205,0,-215,10,0,0,195,132,0,64,68,63,-38,0,-38,0,0,0,101,0,35,-28,-28,0,110,0,110,130,-268,0,-13
1964:Q4,8,1,434,36,0,7,-85,0,-96,11,0,0,483,368,0,-120,488,115,14,0,14,0,0,0,101,0,-7,421,421,0,142,0,142,-3,282,0,-7
1965:Q1,8,1,-16,-64,0,-4,251,0,248,3,0,0,-193,-396,0,182,-578,203,33,0,33,0,0,0,170,0,-6,-42,-42,0,119,0,119,-104,-57,0,-19
1965:Q2,10,1,1250,27,0,-4,-81,0,-90,9,0,0,1269,1069,0,230,839,200,30,0,30,0,0,0,170,0,39,1269,1269,0,1178,0,1178,-27,118,0,29
1965:Q3,10,1,374,-10,0,-11,-100,0,-101,1,0,0,481,264,0,48,216,217,105,0,105,0,0,0,112,0,14,336,336,0,491,0,491,129,-284,0,-29
