1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q3,39793,38245,36697,215,207,276,399,451,1548,ND,ND,1486,9,8,11,16,18,7883,4755,133,264,463,402,32,207,0,0,6256,1236,35,69,121,104,8,54,0,0,1627,ND,ND
1963:Q4,40736,39152,37562,220,210,281,413,466,1584,ND,ND,1519,9,9,11,17,19,7835,4644,137,276,487,422,33,219,0,0,6218,1208,35,72,127,110,8,57,0,0,1617,ND,ND
1964:Q1,41523,39908,38273,226,214,285,428,482,1615,ND,ND,1548,9,9,12,17,20,7921,4714,138,276,487,422,33,217,0,0,6287,1224,36,72,127,110,8,57,0,0,1634,ND,ND
1964:Q2,42522,40868,39188,231,218,290,442,499,1654,ND,ND,1586,9,9,12,18,20,8037,4798,140,278,488,423,33,219,0,0,6379,1247,36,72,127,110,9,57,0,0,1658,ND,ND
1964:Q3,43482,41791,40064,236,222,296,457,516,1691,ND,ND,1620,10,9,12,19,21,8099,4840,141,279,489,424,34,221,0,0,6428,1258,37,73,127,110,9,57,0,0,1671,ND,ND
1964:Q4,44480,42750,40974,241,226,301,474,534,1730,ND,ND,1658,10,9,12,19,22,8147,4788,143,294,519,450,35,237,0,0,6466,1245,37,77,135,117,9,61,0,0,1681,ND,ND
1965:Q1,46064,44273,42446,247,230,307,490,553,1791,ND,ND,1718,10,9,12,20,22,8329,4925,144,296,520,451,36,238,0,0,6610,1281,38,77,135,117,9,62,0,0,1719,ND,ND
1965:Q2,47531,45682,43805,253,234,311,507,572,1849,ND,ND,1773,10,9,13,21,23,8319,4927,146,294,519,450,35,231,0,0,6602,1282,38,76,135,117,9,60,0,0,1717,ND,ND
1965:Q3,48536,46648,44718,259,237,317,525,592,1888,ND,ND,1809,11,10,13,21,24,8468,5058,148,291,518,449,34,223,0,0,6721,1313,39,76,135,117,9,58,0,0,1747,ND,ND
1965:Q4,55410,53255,51270,265,242,323,543,612,2155,ND,ND,2074,11,10,13,22,25,8532,5104,152,293,517,448,34,223,0,0,6771,1329,39,76,134,116,9,58,0,0,1761,ND,ND
1966:Q1,56434,54239,52197,272,246,329,562,633,2195,ND,ND,2112,11,10,13,23,26,8657,5216,152,290,516,447,33,217,0,0,6871,1354,40,76,134,116,9,57,0,0,1786,ND,ND
1966:Q2,57979,55724,53625,278,251,334,581,655,2255,ND,ND,2169,11,10,14,24,27,8773,5294,153,294,517,448,34,223,0,0,6963,1375,40,76,135,117,9,58,0,0,1810,ND,ND
1966:Q3,59176,56875,54715,284,255,340,602,679,2301,ND,ND,2214,12,10,14,24,27,8754,5264,154,297,519,450,35,229,0,0,6948,1369,40,77,135,117,9,59,0,0,1806,ND,ND
1966:Q4,59042,56746,54524,291,260,346,623,702,2296,ND,ND,2207,12,10,14,25,28,8947,5513,156,279,494,428,33,198,0,0,7101,1434,40,73,128,111,8,52,0,0,1846,ND,ND
1967:Q1,60425,58075,55795,309,278,354,630,709,2350,ND,ND,2258,13,11,14,25,29,9157,5667,159,283,495,429,33,201,0,0,7267,1474,41,73,129,112,9,52,0,0,1890,ND,ND
1967:Q2,61317,58932,56591,328,297,362,636,718,2385,ND,ND,2290,13,12,15,26,29,9377,5837,163,284,496,430,34,198,0,0,7442,1518,42,74,129,112,9,51,0,0,1935,ND,ND
1967:Q3,62556,60123,57717,348,317,371,644,726,2433,ND,ND,2336,14,13,15,26,29,9520,5946,167,286,497,431,35,194,0,0,7556,1546,43,74,129,112,9,51,0,0,1964,ND,ND
1967:Q4,65610,63058,60585,370,339,379,651,734,2552,ND,ND,2452,15,14,15,26,30,9708,6028,171,296,522,452,35,201,0,0,7705,1567,44,77,136,118,9,52,0,0,2003,ND,ND
1968:Q1,66795,64197,61653,392,363,388,658,743,2598,ND,ND,2494,16,15,16,27,30,10065,6306,174,298,523,453,36,198,0,0,7988,1640,45,77,136,118,9,52,0,0,2077,ND,ND
1968:Q2,68156,65505,62888,416,388,397,665,751,2651,ND,ND,2545,17,16,16,27,30,10212,6411,177,301,524,455,37,200,0,0,8105,1668,46,78,136,118,9,52,0,0,2107,ND,ND
1968:Q3,69837,67121,64425,442,415,407,673,759,2716,ND,ND,2607,18,17,16,27,31,10352,6505,181,304,525,456,37,208,0,0,8216,1691,47,79,136,119,10,54,0,0,2136,ND,ND
1968:Q4,73669,70804,68028,469,444,415,680,768,2865,ND,ND,2752,19,18,17,28,31,10468,6548,186,311,549,475,37,202,0,0,8308,1702,48,81,143,124,9,53,0,0,2160,ND,ND
1969:Q1,75296,72368,69504,498,475,425,688,778,2928,ND,ND,2813,20,19,17,28,31,10790,6793,190,314,550,477,37,203,0,0,8564,1765,49,82,143,124,10,53,0,0,2226,ND,ND
1969:Q2,77224,74221,71268,529,507,435,696,786,3003,ND,ND,2883,21,21,18,28,32,11029,6964,194,319,552,479,39,206,0,0,8753,1811,50,83,143,125,10,54,0,0,2276,ND,ND
1969:Q3,78952,75882,72834,561,543,445,704,795,3070,ND,ND,2947,23,22,18,28,32,11293,7157,198,324,553,482,40,209,0,0,8963,1860,52,84,144,125,11,54,0,0,2330,ND,ND
1969:Q4,83073,79842,76695,595,581,456,711,804,3231,ND,ND,3104,24,23,18,29,33,11684,7611,203,295,521,452,35,156,0,0,9273,1979,53,77,136,117,9,40,0,0,2411,ND,ND
1970:Q1,85303,81986,78735,632,621,466,719,813,3317,ND,ND,3185,26,25,19,29,33,12294,8077,210,300,523,454,37,156,0,0,9757,2102,54,78,136,118,9,40,0,0,2537,ND,ND
1970:Q2,87920,84501,81139,671,664,477,727,823,3419,ND,ND,3284,27,27,19,29,33,12532,8253,216,304,525,456,38,154,0,0,9946,2147,56,79,136,118,10,40,0,0,2586,ND,ND
1970:Q3,89675,86187,82711,712,710,487,735,832,3488,ND,ND,3346,29,29,20,30,34,12912,8543,222,308,526,457,40,152,0,0,10248,2220,58,80,137,119,10,40,0,0,2664,ND,ND
