1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q1,52567,20408,0,5090,746,572,572,0,0,70,25436,12,25424,20146,5278,0,0,0,0,0,0,0,0,0,245,0,245,51728,18194,3090,29629,1231,714,517,0,0,0,315,28083,0,0,0,815,0,374,441,12,0,0
1959:Q2,52881,19671,0,5123,846,892,892,0,0,70,26000,6,25994,20674,5320,0,0,0,0,0,0,0,0,0,279,0,279,51928,18188,3260,29889,929,394,535,0,0,0,306,28654,0,0,0,591,0,380,211,6,0,0
1959:Q3,52653,19318,0,5153,951,329,329,0,0,70,26513,0,26513,13069,13444,0,0,0,0,0,0,0,0,0,319,0,319,51660,17760,3240,30007,1081,377,704,0,0,0,318,28608,0,0,0,653,0,383,270,0,0,0
1959:Q4,53678,19394,0,5155,1590,453,453,0,0,73,26650,44,26606,13113,13493,0,0,0,0,0,0,0,0,0,363,0,363,52992,18174,3012,30826,895,391,504,0,0,0,353,29578,0,0,0,980,0,387,593,44,0,0
1960:Q1,51837,19352,0,5184,823,815,815,0,0,125,25173,7,25166,9770,15396,0,0,0,0,0,0,0,0,0,365,0,365,51058,17716,3360,29378,947,436,511,0,0,0,231,28200,0,0,0,604,0,395,209,7,0,0
1960:Q2,52663,19242,0,5198,868,267,267,0,0,225,26328,5,26323,10978,15345,0,0,0,0,0,0,0,0,0,535,0,535,51891,17528,3490,29743,899,395,504,0,0,0,264,28580,0,0,0,1130,0,400,730,5,0,0
1960:Q3,52575,18579,0,5219,987,593,593,0,0,325,26488,8,26480,16814,9666,0,0,0,0,0,0,0,0,0,384,0,384,51805,18058,3540,29588,958,404,554,0,0,0,200,28430,0,0,0,619,0,403,216,8,0,0
1960:Q4,52576,17666,0,5242,1868,25,25,0,0,420,27038,54,26984,11960,15024,0,0,0,0,0,0,0,0,0,317,0,317,51867,17081,3346,30612,862,377,485,0,0,0,226,29524,0,0,0,828,0,409,419,54,0,0
1961:Q1,50497,17329,0,5253,755,106,106,0,0,310,26423,35,26388,7725,18663,0,0,0,0,0,0,0,0,0,321,0,321,49705,15992,3630,29398,926,437,489,0,0,0,282,28190,0,0,0,685,0,423,262,35,0,0
1961:Q2,51587,17440,0,5281,1171,35,35,0,0,260,27029,26,27003,9351,17652,0,0,0,0,0,0,0,0,0,371,0,371,50784,16716,2903,30550,787,379,408,0,0,0,256,29507,0,0,0,615,0,425,190,26,0,0
1961:Q3,51563,17307,0,5406,1300,82,82,0,0,210,26904,23,26881,4591,22290,0,0,0,0,0,0,0,0,0,354,0,354,50756,16310,3870,30060,901,416,485,0,0,0,369,28790,0,0,0,516,0,432,84,23,0,0
1961:Q4,53966,16842,0,5429,2300,115,115,0,0,162,28770,48,28722,4863,23859,0,0,0,0,0,0,0,0,0,348,0,348,53187,17387,3689,31412,887,422,465,0,0,0,294,30231,0,0,0,699,0,445,254,48,0,0
1962:Q1,52362,16643,0,5432,918,170,170,0,0,220,28600,21,28579,7957,20622,0,0,0,0,0,0,0,0,0,379,0,379,51497,16786,3900,30221,899,437,462,0,0,0,262,29060,0,0,0,590,0,453,137,21,0,0
1962:Q2,53860,16825,0,5442,1462,43,43,0,0,270,29453,40,29413,8446,20967,0,0,0,0,0,0,0,0,0,365,0,365,52986,17206,3185,31929,991,379,612,0,0,0,353,30585,0,0,0,666,0,458,208,40,0,0
