1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1977:Q4,10387,2787,7600,2629,4951,20,22106,7605,1,2629,4973,2,2787,11714,11718,-22,18,-11719
1978:Q1,10311,2837,7474,2693,4701,80,22029,7429,0,2693,4722,14,2837,11763,11718,-21,66,-11718
1978:Q2,10001,2843,7158,2804,4270,84,21707,7128,0,2804,4298,26,2843,11736,11706,-28,58,-11706
1978:Q3,10121,2939,7182,2942,4214,26,21789,7188,0,2942,4240,6,2939,11662,11668,-26,20,-11668
1978:Q4,9968,2989,6979,1558,1047,4374,21639,5402,0,1558,1076,2768,2989,13248,11671,-29,1606,-11671
1979:Q1,14256,4077,10179,2667,1121,6391,25735,6446,0,2667,1142,2637,4077,15212,11479,-21,3754,-11479
1979:Q2,14035,4090,9945,2670,1204,6071,25358,7036,0,2670,1237,3129,4090,14232,11323,-33,2942,-11323
1979:Q3,11504,4175,7329,2725,1280,3324,22732,5826,0,2725,1313,1788,4175,12731,11228,-33,1536,-11228
1979:Q4,11957,4173,7784,2724,1253,3807,23129,5328,0,2724,1280,1324,4173,13628,11172,-27,2483,-11172
1980:Q1,15377,5058,10319,3681,1222,5416,26549,8013,0,3681,1250,3082,5058,13478,11172,-28,2334,-11172
1980:Q2,16124,5353,10771,3782,1385,5604,27296,8463,0,3782,1416,3265,5353,13480,11172,-31,2339,-11172
1980:Q3,17131,5305,11826,4007,1665,6154,28299,9620,0,4007,1704,3909,5305,13374,11168,-39,2245,-11168
1980:Q4,20751,5155,15596,2610,2852,10134,31911,10550,0,2610,2910,5030,5155,16206,11160,-58,5104,-11160
1981:Q1,25275,6019,19256,3913,3448,11895,36429,12240,0,3913,3492,4835,6019,18170,11154,-44,7060,-11154
1981:Q2,24066,5637,18429,3690,3988,10751,35220,12042,0,3690,4031,4321,5637,17541,11154,-43,6430,-11154
1981:Q3,24172,5608,18564,3896,4618,10050,35324,13037,0,3896,4658,4483,5608,16679,11152,-40,5567,-11152
1981:Q4,24627,5703,18924,4095,5055,9774,35778,13834,0,4095,5094,4645,5703,16241,11151,-39,5129,-11151
