1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1978:Q4,8326,-36,-268,-2824,-14488,-278,-12621,-55,12398,30261,-2019,8184,-10206,9754,451
1979:Q1,16427,-51,-139,-1296,14097,-7971,1289,-52,-9207,-25825,-1242,46177,-7323,8441,-1118
1979:Q2,13473,-44,-257,-513,84,1242,-1416,-29,2687,-6912,7903,24668,-12698,10577,2121
1979:Q3,-700,-20,5231,-2769,-5060,-6084,422,-11,-6494,-12522,2094,30212,-11783,11627,156
1979:Q4,1943,-35,-1925,814,-20487,14078,1024,12,13042,33026,-1312,-8037,-14178,14409,-230
1980:Q1,13627,-45,2857,-293,12646,-9813,-1182,16,-8647,-28880,-1716,56552,-17681,18817,-1136
1980:Q2,-8914,-31,1603,-3669,-2485,2855,-498,5,3347,-10049,11099,7268,-15504,13451,2054
1980:Q3,-34474,-54,-4064,-2383,-1437,-8287,-1150,7,-7144,-9820,1962,-6106,-4285,4526,-241
1980:Q4,-9819,-47,2807,-1651,-10695,16451,1738,11,14702,25742,-3944,-30507,-7975,7636,338
1981:Q1,-2539,-62,2862,-683,28052,-9282,-3923,11,-5370,-20051,-3045,14739,-15070,17168,-2098
1981:Q2,-20572,-55,-2249,1178,-2150,9528,9320,6,202,-9470,11723,-17682,-11395,8909,2486
1981:Q3,-22916,-47,-3164,-1509,-6502,-10845,-3724,3,-7124,-17379,2733,18028,-4231,3752,479
1981:Q4,-3668,-41,-1797,-1415,211,14451,-1917,2,16366,33661,-3842,-36338,-8558,8257,301
1982:Q1,27671,-51,4063,187,15761,-5852,-324,3,-5531,-19379,339,33311,-708,1787,-1079
1982:Q2,17577,-53,-870,3330,-10713,923,1462,6,-545,-2439,7500,23698,-3799,686,3113
1982:Q3,-18085,-64,-3700,1267,-2514,-5445,-773,-11,-4661,-6617,519,-3334,1803,-1698,-105
1982:Q4,9104,-36,-79,-1554,7580,8895,-16,29,8882,40539,-741,-38164,-7337,8074,-737
1983:Q1,-23040,-58,5176,-9142,-11749,-4470,235,27,-4732,-29029,52,33836,-7656,9509,-1852
1983:Q2,-36579,-46,-1310,4767,-7373,53,157,16,-120,-16731,400,-794,-15544,12597,2947
1983:Q3,-26755,-39,276,5423,2052,-3094,-250,16,-2860,-32038,1408,14700,-15443,15413,30
1983:Q4,6858,-78,-489,-16823,5866,11719,1441,3,10275,31050,-5308,479,-19559,19429,130
1984:Q1,2595,17,1601,9428,762,-6105,-445,9,-5669,-28242,-5892,45710,-14685,16384,-1699
1984:Q2,-43873,-69,1276,1869,-8706,2701,-334,14,3021,-11943,6420,-22674,-12748,9045,3703
1984:Q3,-8598,-41,-1505,4505,10110,-5567,1033,8,-6607,-23455,4077,8676,-5399,5510,-112
1984:Q4,-27703,-40,-494,3370,-14939,7581,212,7,7362,34048,436,-47562,-10103,10658,-556
1985:Q1,-3249,107,2637,-864,-17629,-2828,444,7,-3279,-33465,-3299,63216,-11124,12794,-1670
1985:Q2,9986,-177,-2280,-816,-12256,883,246,8,629,-2312,7696,34807,-15560,10694,4866
1985:Q3,28493,-61,3657,-1292,-3460,-2791,-172,8,-2627,-10357,1593,50446,-9244,9828,-584
1985:Q4,359,-116,1717,-5061,2422,6837,813,8,6016,51755,-2637,-34789,-19770,20957,-1188
1986:Q1,-44799,56,2438,-10389,16228,-8002,-1191,8,-6819,-19057,-5095,-6658,-14320,15258,-938
1986:Q2,-55965,-30,2248,-4002,-2438,1494,743,7,744,-20770,9483,-16637,-25312,19496,5816
1986:Q3,-32610,-32,9453,3259,-8520,-8797,-55,7,-8749,-9275,2073,-2646,-18126,19094,-968
1986:Q4,-96733,-20,6375,-4064,298,5778,-110,6,5882,55398,-601,-136148,-23749,26207,-2458
1987:Q1,-22009,-40,-1389,6999,-1483,-9064,-545,6,-8525,-24558,-1544,25237,-16167,17802,-1635
