1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1999:Q2,1908658,0,674454,672764,962,0,728,0,50782,1183422,1908658,1826158,642736,1183422,1826158,82500
1999:Q3,1925479,0,689673,688027,939,0,707,0,48476,1187330,1925479,1844798,657468,1187330,1844798,80681
1999:Q4,1953287,0,717264,715720,877,0,667,0,56909,1179114,1953287,1863147,684033,1179114,1863147,90140
2000:Q1,1974034,0,705917,704496,803,0,618,0,60405,1207712,1974034,1880662,672950,1207712,1880662,93372
2000:Q2,1992529,0,716917,715522,790,0,605,0,60060,1215552,1992529,1898881,683329,1215552,1898881,93648
2000:Q3,2012443,0,731699,730247,824,0,628,0,60715,1220029,2012443,1917392,697363,1220029,1917392,95051
2000:Q4,2027892,0,740333,738669,966,0,698,0,56576,1230983,2027892,1935918,704935,1230983,1935918,91974
2001:Q1,2041755,0,751353,748867,1491,0,995,0,49059,1241343,2041755,1954617,713274,1241343,1954617,87138
2001:Q2,2067040,0,764606,761902,1627,0,1077,0,52733,1249701,2067040,1974616,724915,1249701,1974616,92424
2001:Q3,2079956,0,780812,776955,2369,0,1488,0,43796,1255348,2079956,1993581,738233,1255348,1993581,86375
2001:Q4,2108340,0,812647,806238,4026,0,2383,0,49091,1246602,2108340,2012372,765770,1246602,2012372,95968
2002:Q1,2129353,0,802104,795887,3911,0,2306,0,50618,1276631,2129353,2030368,753737,1276631,2030368,98985
2002:Q2,2142856,0,812715,806049,4204,0,2462,0,44338,1285803,2142856,2048374,762571,1285803,2048374,94482
2002:Q3,2157661,0,828804,820888,4984,0,2932,0,37011,1291846,2157661,2066951,775105,1291846,2066951,90710
2002:Q4,2179922,0,848195,839578,5524,0,3093,0,48836,1282891,2179922,2082990,800099,1282891,2082990,96932
2003:Q1,2199136,0,779955,770466,6055,0,3434,49520,56254,1313407,2199136,2100010,786603,1313407,2100010,99126
2003:Q2,2230387,1,841135,831453,6130,0,3552,0,67152,1322099,2230387,2121844,799745,1322099,2121844,108543
2003:Q3,2255583,1,857127,842700,5227,0,9200,0,66898,1331557,2255583,2142720,811163,1331557,2142720,112863
2003:Q4,2288994,37,884024,869564,5036,0,9424,0,79022,1325911,2288994,2165624,839713,1325911,2165624,123370
2004:Q1,2314026,72,870797,856374,4897,0,9526,0,83867,1359290,2314026,2185865,826575,1359290,2185865,128161
2004:Q2,2337721,108,880152,866383,4511,0,9258,0,85918,1371543,2337721,2206114,834571,1371543,2206114,131607
2004:Q3,2361846,144,898242,883349,5639,0,9254,0,85806,1377654,2361846,2227219,849565,1377654,2227219,134627
2004:Q4,2396167,212,931036,915612,5753,0,9671,0,98280,1366639,2396167,2249879,883240,1366639,2249879,146288
2005:Q1,2420050,281,921382,906229,5673,0,9480,0,98891,1399496,2420050,2270740,871244,1399496,2270740,149310
2005:Q2,2447489,349,920418,904847,5901,0,9670,0,101220,1425502,2447489,2292980,867478,1425502,2292980,154509
2005:Q3,2477385,417,936308,921091,7136,0,8081,0,108181,1432479,2477385,2315112,882633,1432479,2315112,162273
2005:Q4,2504258,445,966421,950863,7407,0,8151,0,112724,1424668,2504258,2336449,911781,1424668,2336449,167809
2006:Q1,2534671,473,953732,938128,7386,0,8218,0,121189,1459277,2534671,2357673,898396,1459277,2357673,176998
2006:Q2,2556733,501,962577,947262,7267,0,8048,0,118607,1475048,2556733,2377454,902406,1475048,2377454,179279
2006:Q3,2586390,528,979698,963799,7537,0,8362,0,125849,1480315,2586390,2398595,918280,1480315,2398595,187795
2006:Q4,2620823,515,1011951,994960,7885,0,9106,0,138402,1469955,2620823,2420268,950313,1469955,2420268,200555
2007:Q1,2647796,501,1000660,983308,8077,0,9275,0,141086,1505549,2647796,2441060,935511,1505549,2441060,206736
2007:Q2,2680285,488,991312,973786,8083,0,9443,0,152020,1536465,2680285,2462594,926129,1536465,2462594,217691
2007:Q3,2707276,474,1011826,995161,8187,0,8478,0,153972,1541004,2707276,2483697,942693,1541004,2483697,223579
2007:Q4,2728055,507,1058184,1040714,8504,0,8966,0,150810,1518554,2728055,2503517,984963,1518554,2503517,224538
2008:Q1,2738462,540,1052684,1034132,9437,0,9115,0,130873,1554365,2738462,2521924,967559,1554365,2521924,216538
2008:Q2,2760182,573,1060851,1042895,9094,0,8862,0,130299,1568459,2760182,2542073,973614,1568459,2542073,218109
2008:Q3,2769194,605,1086723,1069300,9323,0,8100,0,111551,1570315,2769194,2558878,988563,1570315,2558878,210316
2008:Q4,2769448,808,1144447,1128854,8519,0,7074,0,86818,1537375,2769448,2574120,1036745,1537375,2574120,195328
2009:Q1,2787541,1010,1125747,1110883,8191,0,6673,0,76221,1584563,2787541,2597462,1012899,1584563,2597462,190079
2009:Q2,2830300,1213,1131271,1115567,8356,0,7348,0,93643,1604173,2830300,2623131,1018958,1604173,2623131,207169
2009:Q3,2874293,1415,1149648,1133526,8365,0,7757,0,110745,1612485,2874293,2649554,1037069,1612485,2649554,224739
2009:Q4,2911255,1216,1216357,1199796,8633,0,7928,0,119695,1573987,2911255,2674892,1100905,1573987,2674892,236363
2010:Q1,2968969,1016,1201804,1184747,8855,0,8202,0,127993,1638156,2968969,2723071,1084915,1638156,2723071,245898
2010:Q2,3007398,816,1210296,1192956,9146,0,8194,0,113718,1682568,3007398,2769794,1087226,1682568,2769794,237604
2010:Q3,3075587,617,1232189,1213562,9727,0,8900,0,127807,1714974,3075587,2820753,1105779,1714974,2820753,254834
