date,Closed-end funds; total financial assets,Closed-end funds; debt securities; asset,Closed-end funds; Treasury securities; asset,Closed-end funds; municipal securities; asset,Closed-end funds; corporate and foreign bonds; asset,Closed-end funds; corporate equities; asset,Closed-end funds; total financial assets,Closed-end funds; total financial assets in domestic equity funds,Closed-end funds; total financial assets in world equity funds,Closed-end funds; total financial assets in domestic taxable bond funds,Closed-end funds; total financial assets in municipal bond funds,Closed-end funds; total financial assets in world bond funds
2006:Q3,286184,174696,7728,94227,72741,111488,286184,ND,ND,ND,ND,ND
2006:Q4,297236,175566,7809,94526,73231,121670,297236,ND,ND,ND,ND,ND
2007:Q1,311365,175066,7637,93599,73830,136299,311365,89102,47197,70256,93599,13141
2007:Q2,321536,175129,6995,91723,76411,146407,321536,90505,55901,70278,91723,15701
2007:Q3,324446,171941,7002,90732,74207,152505,324446,91929,60576,69482,90732,15982
2007:Q4,312371,167173,6355,88920,71898,145198,312371,87869,57329,66335,88920,15682
2008:Q1,289013,159205,6295,85197,67713,129808,289013,79328,50480,61369,85196,15586
2008:Q2,276275,152428,5887,82478,64063,123847,276275,76377,47470,58418,82478,14657
2008:Q3,229930,130864,5479,72581,52804,99066,229930,62482,36584,47102,72581,13132
2008:Q4,184175,111898,4310,67334,40254,72277,184175,45753,26525,34596,67334,10891
2009:Q1,178343,113439,4261,70351,38827,64904,178343,40924,23980,33834,70351,10619
2009:Q2,197336,122512,4502,72670,45340,74824,197336,46281,28543,39709,72670,11889
2009:Q3,218665,135012,4748,79395,50869,83653,218665,50513,33140,44435,79395,13139
2009:Q4,222894,135464,5151,77677,52636,87430,222894,52940,34489,45639,77677,13660
2010:Q1,228307,139220,5767,78561,54892,89087,228307,54486,34601,48283,78561,14382
2010:Q2,221390,139348,5821,79728,53799,82042,221390,50957,31085,47679,79728,14016
2010:Q3,238211,146110,6028,83017,57065,92101,238211,57428,34673,50295,83017,14802
2010:Q4,237791,141090,5931,77140,58019,96701,237791,60461,36239,50578,77140,14965
2011:Q1,241930,141519,6012,75950,59557,100411,241930,63746,36666,52388,75950,15141
2011:Q2,246855,145925,6079,80226,59620,100930,246855,64658,36272,52350,80226,15233
2011:Q3,239277,144180,5998,80980,57202,95097,239277,61134,33963,50251,80980,14394
2011:Q4,242387,146532,5988,84100,56444,95855,242387,62414,33441,49646,84100,14422
2012:Q1,248036,150123,6146,85303,58674,97913,248036,65441,32472,51252,85303,15418
2012:Q2,249308,153092,6154,86940,59998,96216,249308,64844,31372,51643,86940,16299
2012:Q3,260360,159984,6331,89344,64309,100376,260360,68264,32112,55241,89344,17188
2012:Q4,263618,162978,6231,90594,66153,100640,263618,68461,32179,55195,90594,18746
2013:Q1,277338,169318,6702,90774,71842,108020,277338,75135,32885,58181,91524,22215
2013:Q2,275637,167703,6621,86754,74328,107934,275637,76806,31128,58961,87503,23956
2013:Q3,275685,165560,6516,83929,75115,110125,275685,77945,32180,59709,84679,24046
2013:Q4,279374,165137,6404,82876,75857,114237,279374,81757,32480,60170,83626,23773
2014:Q1,286535,169209,6532,86259,76418,117326,286535,84813,32513,60904,87009,24160
2014:Q2,296746,172709,6671,88478,77560,124037,296746,90520,33517,61800,89227,24575
2014:Q3,294833,171318,6537,89137,75644,123515,294833,91222,32293,59854,89887,24248
2014:Q4,289321,169937,6391,90207,73339,119384,289321,88962,30422,58361,90957,22910
2015:Q1,291885,173226,6369,91074,75783,118659,291885,87674,30985,59375,91074,22777
2015:Q2,285683,169705,6215,88722,74768,115978,285683,84634,31344,58505,88722,22478
2015:Q3,267016,165609,6103,89287,70219,101407,267016,73564,27842,55536,89287,20786
2015:Q4,262990,163196,5834,90371,66991,99794,262990,72201,27593,52912,90371,19912
2016:Q1,261904,164095,5839,91602,66654,97809,261904,70668,27141,52551,91602,19942
2016:Q2,268587,166859,4205,94269,68385,101728,268587,74778,26950,52395,94269,20195
2016:Q3,272275,168714,4229,93056,71429,103561,272275,75934,27627,54836,93056,20822
2016:Q4,264802,162998,3620,87971,71407,101804,264802,75587,26217,54772,87971,20254
2017:Q1,271252,165730,3661,88479,73590,105522,271252,77876,27646,56241,88479,21010
2017:Q2,274174,168156,3677,89721,74758,106018,274174,77402,28617,57271,89721,21164
2017:Q3,277056,168477,3697,89818,74962,108579,277056,78754,29825,57747,89818,20912
2017:Q4,277300,168002,3735,89991,74276,109298,277300,79688,29610,57157,89991,20853
2018:Q1,268739,165360,3650,88304,73406,103379,268739,74865,28514,56430,88304,20626
2018:Q2,271416,167001,3634,90208,73159,104415,271416,76997,27418,56135,90208,20658
2018:Q3,272377,166551,3608,88515,74428,105826,272377,78820,27006,57296,88515,20740
2018:Q4,252205,161005,3471,88359,69175,91200,252205,67873,23328,52997,88359,19649
2019:Q1,268599,166711,3593,89845,73273,101888,268599,76347,25541,56371,89845,20495
2019:Q2,272984,169355,3650,90959,74746,103629,272984,76909,26720,57492,90959,20904
2019:Q3,274228,171163,3503,93375,74285,103065,274228,77056,26009,57026,93375,20761
2019:Q4,278674,171493,3171,93213,75109,107181,278674,79324,27856,57177,93213,21103
2020:Q1,231190,151538,2672,89376,59490,79652,231190,58903,20749,45096,89376,17066
2020:Q2,254179,161990,2848,91544,67598,92189,254179,67687,24502,50916,91544,19530
2020:Q3,261895,166171,2937,92931,70303,95724,261895,69734,25990,53135,92931,20105
2020:Q4,281588,175700,2965,94917,77818,105888,281588,76623,29265,59378,94917,21405
2021:Q1,293231,178244,2956,95018,80270,114987,293231,85144,29843,59581,95018,23644
2021:Q2,304268,183045,3079,96721,83245,121223,304268,89486,31736,62122,96721,24201
2021:Q3,307429,185931,3085,96972,85874,121498,307429,89570,31928,64872,96972,24086
2021:Q4,309160,186282,3081,97936,85265,122878,309160,90558,32320,64508,97936,23837
