1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1993:Q1,68016,5546,62470,68016,10921,470,7387,1469,17067,0,7937,0,22754,11
1993:Q2,68154,5591,62563,68154,11080,460,7255,1466,17255,0,7987,0,22640,11
1993:Q3,68293,5680,62613,68293,11225,453,7132,1465,17445,0,8037,0,22525,10
1993:Q4,68433,5792,62641,68433,11380,437,7012,1463,17635,0,8087,0,22410,10
1994:Q1,68797,5882,62915,68797,11632,417,6875,1461,17965,0,8096,0,22342,9
1994:Q2,69166,5993,63173,69166,11776,453,6792,1460,18298,0,8105,0,22274,8
1994:Q3,69539,6108,63431,69539,11920,458,6741,1459,18634,0,8114,0,22206,7
1994:Q4,69912,6227,63685,69912,11689,476,6694,1457,18971,0,8123,0,22137,365
1995:Q1,70358,6371,63987,70358,11842,460,6589,1455,19262,0,8148,0,22222,380
1995:Q2,70810,6529,64281,70810,11984,453,6481,1459,19556,0,8173,0,22307,397
1995:Q3,71266,6679,64587,71266,12153,442,6354,1457,19854,0,8199,0,22394,414
1995:Q4,71723,6829,64894,71723,12324,435,6221,1456,20151,0,8225,0,22480,431
1996:Q1,72394,6984,65410,72394,12622,427,6075,1379,20415,0,8325,0,22722,429
1996:Q2,73065,7135,65930,73065,12819,416,5954,1380,20680,0,8426,0,22963,427
1996:Q3,73744,7307,66437,73744,12972,412,5869,1382,20947,0,8527,0,23211,424
1996:Q4,74422,7530,66892,74422,13134,408,5768,1383,21214,0,8629,0,23463,423
1997:Q1,75431,7694,67737,75431,13344,394,5649,1384,21707,0,8701,0,23823,429
1997:Q2,76451,7908,68543,76451,13732,388,5321,1385,22206,0,8774,0,24210,435
1997:Q3,77482,8139,69343,77482,14223,381,4916,1386,22711,0,8847,0,24577,441
1997:Q4,78514,8335,70179,78514,14345,375,4852,1386,23215,0,8921,0,24972,448
1998:Q1,79645,8663,70982,79645,14325,413,4729,1386,23703,0,9173,0,25445,471
1998:Q2,80788,8975,71813,80788,14240,450,4644,1388,24196,0,9428,0,25946,496
1998:Q3,81944,9231,72713,81944,14284,488,4579,1255,24695,0,9686,0,26436,521
1998:Q4,83100,9388,73712,83100,14092,526,4513,1329,25193,0,9944,0,26956,547
1999:Q1,84113,9727,74386,84113,14098,517,4413,1340,25781,0,10114,0,27115,735
1999:Q2,85136,9959,75177,85136,13754,505,4435,1344,26376,0,10286,0,27510,926
1999:Q3,86171,10161,76010,86171,13722,494,4308,1348,26978,0,10460,0,27747,1114
1999:Q4,87206,10421,76785,87206,13480,482,4268,1375,27579,0,10634,0,28084,1304
2000:Q1,86589,10457,76132,86589,11803,478,4202,1379,28120,0,10738,0,28483,1386
2000:Q2,85972,10553,75419,85972,10092,475,4179,1371,28662,0,10842,0,28883,1468
2000:Q3,85348,10694,74654,85348,8330,472,4167,1373,29209,0,10948,0,29300,1549
2000:Q4,84724,10865,73859,84724,6582,469,4148,1362,29757,0,11053,0,29722,1631
2001:Q1,85665,11133,74532,85665,6434,486,4093,1356,30084,0,11091,0,30484,1637
2001:Q2,86617,11450,75167,86617,6150,502,4072,1368,30414,0,11129,0,31339,1643
2001:Q3,87579,11826,75753,87579,5928,519,4023,1346,30748,0,11167,0,32199,1649
2001:Q4,88541,12323,76218,88541,5699,536,3952,1354,31082,0,11205,0,33057,1656
2002:Q1,90238,12806,77432,90238,5961,533,3855,1338,31570,0,11259,0,34388,1334
2002:Q2,91954,13382,78572,91954,5746,530,3817,1322,32063,0,11312,0,36152,1012
2002:Q3,93688,13999,79689,93688,6034,527,3766,1299,32561,0,11367,0,37444,690
2002:Q4,95423,14631,80792,95423,6272,523,3700,1299,33060,0,11421,0,38781,367
2003:Q1,92406,14420,77986,92406,5820,524,3590,1298,32069,0,11077,0,37690,338
2003:Q2,89355,14240,75115,89355,5980,525,3525,655,31067,0,10729,0,36535,339
2003:Q3,86271,14020,72251,86271,4712,525,3554,671,30054,0,10378,0,35348,1029
2003:Q4,83187,13806,69381,83187,4251,526,3439,704,29041,0,10026,0,34197,1003
2004:Q1,86286,14565,71721,86286,4876,548,3387,729,30431,0,10200,0,35149,966
2004:Q2,89386,15380,74006,89386,5606,571,3260,712,31820,0,10374,0,36076,967
2004:Q3,92519,16171,76348,92519,6112,594,3294,775,33225,0,10550,0,37005,964
2004:Q4,95653,16968,78685,95653,6822,616,3235,721,34630,0,10726,0,37965,938
2005:Q1,97901,17670,80231,97901,7136,643,3255,726,35437,0,10869,0,38953,882
2005:Q2,100173,18349,81824,100173,7405,670,3237,771,36254,0,11014,0,39947,875
2005:Q3,102471,18928,83543,102471,7630,697,3247,849,37079,0,11161,0,40973,835
2005:Q4,104768,19447,85321,104768,7939,723,3217,857,37904,0,11307,0,41977,844
2006:Q1,105577,19816,85761,105577,7092,716,3193,821,38458,0,11478,0,42521,1298
2006:Q2,106395,20126,86269,106395,6062,708,3200,856,39017,0,11651,0,43088,1813
2006:Q3,107221,20463,86758,107221,4274,700,3186,900,39583,0,11826,0,43645,3107
2006:Q4,108048,20766,87282,108048,3638,692,3212,947,40149,0,12001,0,44226,3183
2007:Q1,109191,21161,88030,109191,3085,730,3186,1004,40577,0,12186,0,45021,3402
2007:Q2,110346,21600,88746,110346,1482,767,3204,972,41009,0,12372,0,45861,4679
2007:Q3,111514,22039,89475,111514,1160,804,3204,1028,41447,0,12561,0,46692,4618
2007:Q4,112682,22541,90141,112682,803,841,3266,1034,41884,0,12750,0,47561,4543
2008:Q1,118148,23767,94381,118148,573,826,3228,1024,44042,0,13307,0,50695,4453
2008:Q2,123614,25115,98499,123614,1146,812,3271,1013,46200,0,13864,0,53001,4307
2008:Q3,129141,26636,102505,129141,669,797,3460,988,48382,41,14428,0,55653,4723
2008:Q4,134700,28375,106325,134700,675,782,3490,942,50600,51,15000,0,58487,4673
2009:Q1,137486,29257,108229,137486,2900,776,3454,904,49022,50,14581,0,61182,4617
2009:Q2,140304,30362,109942,140304,4875,770,3478,978,47426,47,14157,0,64004,4569
2009:Q3,143152,31478,111674,143152,6602,764,3733,1014,45813,35,13728,0,66959,4504
2009:Q4,146000,32335,113665,146000,8461,758,3878,1031,44200,26,13300,0,69860,4486
2010:Q1,147997,33056,114941,147997,9020,779,3959,1057,45926,44,13078,0,70787,3347
2010:Q2,150017,33783,116234,150017,8042,799,3961,1029,47671,43,12854,0,71791,3827
2010:Q3,152058,34512,117546,152058,7370,820,4179,1075,49436,36,12627,0,72713,3802
2010:Q4,154100,35268,118832,154100,6691,841,4260,1112,51200,34,12400,0,73803,3759
2011:Q1,157330,36238,121092,157330,9088,812,4206,1100,51619,35,12548,0,74692,3230
2011:Q2,160596,37227,123369,160596,10911,783,4342,1073,52043,38,12698,0,75504,3204
2011:Q3,163898,38302,125596,163898,14339,754,4429,1056,52472,41,12849,0,76263,1695
2011:Q4,167200,39513,127687,167200,16187,725,4523,1100,52900,32,13000,0,77083,1650
2012:Q1,168742,40002,128740,168742,13942,713,4558,1084,55809,31,12627,0,78376,1602
2012:Q2,170283,40603,129680,170283,11150,701,4585,1071,58718,30,12254,0,79740,2034
2012:Q3,171842,41359,130483,171842,8875,689,4590,1101,61659,23,11877,0,81033,1995
2012:Q4,173400,42177,131223,173400,6516,677,4593,1074,64600,38,11500,0,82478,1924
2013:Q1,176310,43100,133210,176310,7118,682,4483,1112,65660,22,11623,0,83745,1865
2013:Q2,179252,43962,135290,179252,7426,687,4529,1100,66732,21,11748,0,85176,1833
2013:Q3,182226,44938,137288,182226,7693,692,4582,1102,67816,186,11874,0,86476,1805
2013:Q4,185200,46024,139176,185200,8562,697,4245,1136,68900,23,12000,0,87870,1767
2014:Q1,188060,47094,140966,188060,9062,695,4311,1144,69985,220,12099,0,88805,1739
2014:Q2,190952,48399,142553,190952,9682,693,4555,1124,71082,202,12198,0,89707,1709
2014:Q3,193876,49544,144332,193876,10067,691,5075,1083,72191,181,12299,0,90608,1681
2014:Q4,196800,50210,146590,196800,10661,689,5190,1113,73300,177,12400,0,91633,1637
2015:Q1,199759,51659,148100,199759,9740,724,5363,1144,74755,180,12425,0,93830,1598
2015:Q2,202751,52627,150124,202751,9051,760,5527,1133,76226,160,12450,0,95871,1573
2015:Q3,205775,53196,152579,205775,7592,795,5702,1112,77713,159,12475,0,97858,2369
2015:Q4,208800,53707,155093,208800,6753,830,5862,1156,79200,209,12500,0,99958,2332
2016:Q1,213077,54867,158210,213077,7415,820,5998,1163,80493,186,12674,0,101644,2684
2016:Q2,217353,55827,161526,217353,8697,810,5702,1171,81786,165,12848,0,103459,2715
2016:Q3,221677,56902,164775,221677,9161,800,6332,1202,83093,163,13024,0,105240,2662
2016:Q4,226000,58095,167905,226000,9993,790,6459,1214,84400,183,13200,0,107080,2681
2017:Q1,228515,58721,169794,228515,10017,833,6584,1236,85386,145,13644,0,107995,2675
2017:Q2,231058,59500,171558,231058,11800,875,5702,1236,86384,139,14093,0,109102,1727
2017:Q3,233629,60308,173321,233629,10602,917,6950,1246,87392,138,14546,0,110123,1715
2017:Q4,236200,61047,175153,236200,10560,959,7092,1284,88400,125,15000,0,111074,1706
2018:Q1,238542,61857,176685,238542,10182,964,7237,1261,89485,97,15222,0,112497,1597
2018:Q2,240911,62453,178458,240911,9470,969,7458,1294,90582,87,15446,0,113992,1613
2018:Q3,243305,63059,180246,243305,8758,975,7655,1317,91691,198,15673,0,115423,1615
2018:Q4,245700,63676,182024,245700,8201,980,7854,1293,92800,200,15900,0,117005,1467
2019:Q1,251174,64981,186193,251174,8391,993,7934,1290,94058,191,16368,0,120489,1460
2019:Q2,256709,66417,190292,256709,8541,1005,8238,1274,95329,212,16842,0,123810,1458
2019:Q3,262304,68027,194277,262304,8733,1021,8551,1275,96615,216,17321,0,127124,1448
2019:Q4,267900,69771,198129,267900,9098,1035,8864,1282,97900,217,17800,0,130591,1113
2020:Q1,273047,71104,201943,273047,9668,1068,9173,1265,97627,234,18148,0,134793,1071
2020:Q2,278193,72544,205649,278193,9771,1110,9567,1366,97353,203,18496,0,139278,1049
2020:Q3,283397,74044,209353,283397,10465,1123,9896,1402,97077,109,18848,0,143499,978
2020:Q4,288600,75676,212924,288600,10952,1120,10255,1433,96800,139,19200,0,147762,939
2021:Q1,291830,76824,215006,291830,11068,1151,10515,1448,97883,87,19415,0,149415,848
2021:Q2,295096,77696,217400,295096,10544,1155,10918,1463,98979,70,19632,0,151460,875
