1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3530,-18,3073,647,-447,264,0,-711,0,275,51,224,0,3530,0,3482,48,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1818,5,684,13,1078,586,0,492,0,38,-8,46,0,1818,0,1766,52,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,-1066,16,-1894,-132,971,499,0,472,0,-27,-12,-15,0,-1066,0,-1201,135,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,5769,142,3688,910,1285,1182,0,103,0,-256,80,-336,0,5769,0,5659,110,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1965:Q2,21976,-68,8632,1472,12792,7380,0,5412,0,-852,-160,-692,0,21976,0,22132,-156,0,0
1965:Q3,2976,-1452,9608,1312,-6620,2028,0,-8648,0,128,156,-28,0,2976,0,2668,308,0,0
1965:Q4,28428,3112,11428,1788,12124,5892,0,6232,0,-24,-36,12,0,28428,0,29468,-1040,0,0
1966:Q1,-284,-4644,9548,2164,-6940,-3244,0,-3696,0,-412,-440,28,0,-284,0,-396,112,0,0
1966:Q2,32496,6984,13752,2804,8948,4800,0,4148,0,8,132,-124,0,32496,0,32404,92,0,0
1966:Q3,-4812,-2340,10720,672,-13480,-6040,0,-7440,0,-384,-120,-264,0,-4812,0,-5172,360,0,0
1966:Q4,17704,2684,276,3360,11320,1956,0,9364,0,64,12,52,0,17704,0,16648,1056,0,0
1967:Q1,-5432,-3560,8080,392,-10100,-7156,0,-2944,0,-244,-288,44,0,-5432,0,-5528,96,0,0
1967:Q2,13500,2228,7916,1992,2108,4104,0,-1996,0,-744,12,-756,0,13500,0,13360,140,0,0
1967:Q3,2424,-6052,3524,400,3988,-312,0,4300,0,564,316,248,0,2424,0,2312,112,0,0
1967:Q4,55788,39488,6700,2656,6336,1916,0,4420,0,608,20,588,0,55788,0,55636,152,0,0
1968:Q1,-38452,-33712,5656,464,-10144,-8020,420,-2544,0,-716,-192,-524,0,-38452,0,-38756,304,0,0
1968:Q2,20760,5200,9784,2500,3852,6284,408,-2840,0,-576,-284,-292,0,20760,0,20100,660,0,0
1968:Q3,8844,-3408,9324,368,2996,-1556,512,4040,0,-436,-152,-284,0,8844,0,8524,320,0,0
1968:Q4,35460,5536,14584,2520,12928,7720,924,4284,0,-108,-176,68,0,35460,0,35360,100,0,0
1969:Q1,264,-7768,11824,2944,-6112,-4064,236,-2284,0,-624,-56,-568,0,264,0,-352,616,0,0
1969:Q2,26552,4104,12584,3180,7164,8872,340,-2048,0,-480,36,-516,0,26552,0,25480,1072,0,0
1969:Q3,-3364,-3396,5120,2944,-6960,-7672,264,448,0,-1072,-288,-784,0,-3364,0,-4672,1308,0,0
1969:Q4,27172,7940,8696,1920,8260,6856,716,688,0,356,272,84,0,27172,0,25708,1464,0,0
1970:Q1,-19312,-9432,-384,-60,-9516,-4572,-656,-4288,0,80,192,-112,0,-19312,0,-23244,3932,0,0
1970:Q2,16556,2208,7124,1276,5912,10080,424,-4592,0,36,-36,72,0,16556,0,14428,2128,0,0
1970:Q3,16040,-472,12788,-144,4516,-64,-12,4592,0,-648,-632,-16,0,16040,0,12460,3580,0,0
1970:Q4,20936,7440,4640,580,8308,3196,556,4556,0,-32,-92,60,0,20936,0,21640,-704,0,0
