1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,33199,0,84,2028,6928,8619,-1691,4900,1408,3492,-2028,814,2843,86,-2,33144,33112,12053,12928,49,1961,235,5885,0,-2,-30,267425
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,15704,0,4822,7326,13144,10385,2759,5817,1550,4267,-7326,-56,7270,4821,1,10938,10962,4479,5930,28,1961,72,-1508,0,-2,-57,283128
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,1740,0,1413,2886,9306,10002,-696,6420,1589,4831,-2886,171,3057,1414,-1,326,325,2562,1067,-64,123,-7,-3356,0,-2,0,284868
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,16909,0,2104,4847,11806,11596,210,6959,1654,5305,-4847,1628,6475,2102,2,14805,14799,7680,3184,85,2127,131,1592,0,-6,0,301777
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1964:Q4,9115,0,1743,2283,5535,5472,63,3252,783,2470,-2283,-70,2213,1741,2,7372,7373,4081,3283,-7,138,37,-160,0,0,0,458291
1965:Q1,5032,0,634,2957,6261,5597,665,3304,800,2504,-2957,369,3326,633,1,4395,4395,132,3365,-8,349,41,517,0,0,2,463323
1965:Q2,4886,0,-38,3029,6385,5725,660,3356,814,2541,-3029,-48,2981,-40,2,4925,4925,559,3109,-16,227,79,967,0,0,-1,468209
1965:Q3,3869,0,1128,3038,6449,5819,630,3411,832,2579,-3038,371,3409,1126,2,2741,2742,459,2815,-36,412,95,-1002,0,0,-1,472078
1965:Q4,13112,0,2049,3107,6579,5997,582,3472,854,2618,-3107,-50,3057,2046,3,11064,11064,5409,4144,-22,34,45,1454,0,0,-1,485190
1966:Q1,2701,0,98,3167,6707,6058,649,3541,859,2682,-3167,489,3656,98,0,2604,2603,-749,2041,-4,373,87,855,0,0,0,487891
1966:Q2,13982,0,-104,2534,6139,6011,128,3605,885,2721,-2534,-107,2427,-105,1,14084,14084,8823,4358,0,580,64,260,0,0,1,501873
1966:Q3,6004,0,1656,2630,6297,5964,333,3667,911,2756,-2630,690,3320,1655,1,4348,4349,767,2544,5,585,29,419,0,0,0,507877
1966:Q4,10812,0,1845,2596,6323,5790,533,3727,939,2789,-2596,-21,2575,1844,1,8968,8967,6291,3810,-2,872,45,-2047,0,0,0,518690
1967:Q1,4280,0,1439,2717,6505,5615,891,3788,917,2872,-2717,501,3218,1436,3,2842,2841,1200,2426,-1,488,25,-1296,0,0,-1,522970
1967:Q2,5512,0,-738,2557,6406,5749,658,3849,944,2905,-2557,108,2665,-742,4,6250,6251,1643,2984,4,523,102,996,0,0,0,528482
1967:Q3,5336,0,248,2369,6280,5851,429,3911,971,2940,-2369,586,2955,244,4,5088,5088,2247,3172,12,620,125,-1088,0,0,0,533818
1967:Q4,9551,0,5,2259,6235,6124,112,3977,998,2979,-2259,101,2360,1,4,9546,9547,4965,4273,18,722,162,-592,0,0,-1,543368
1968:Q1,13077,0,2424,3209,7261,6355,906,4052,1014,3038,-3209,-1152,2057,2421,3,10654,10654,5555,3302,20,459,164,1156,0,0,0,556446
1968:Q2,8224,0,-126,3688,7815,6468,1347,4127,1039,3088,-3688,224,3912,-129,3,8349,8349,3857,3445,19,793,48,188,0,0,1,564670
1968:Q3,7057,0,544,2765,6977,6670,307,4212,1061,3151,-2765,671,3436,540,4,6513,6513,1925,3538,18,804,37,192,0,0,0,571727
1968:Q4,16752,0,337,2581,6883,7093,-210,4303,1080,3223,-2581,63,2644,333,4,16416,16415,10977,4888,24,930,83,-487,0,0,0,588479
1969:Q1,11440,0,1130,3824,8231,7494,737,4407,1137,3270,-3824,603,4427,1126,4,10309,10309,5241,3365,17,648,145,894,0,0,1,599919
1969:Q2,8951,0,-1201,3772,8275,7689,585,4502,1163,3340,-3772,582,4354,-1205,4,10158,10158,3870,3878,16,750,91,1555,0,0,-7,608870
1969:Q3,3973,0,-152,3481,8073,7976,96,4592,1199,3393,-3481,720,4201,-156,4,4124,4124,1321,2972,17,980,144,-1309,0,0,1,612842
1969:Q4,10623,0,388,3078,7756,7954,-197,4679,1243,3436,-3078,70,3148,383,5,10235,10235,4128,3720,19,984,89,1296,0,0,0,623466
