date,Mutual funds; total financial assets,Mutual funds; money market fund shares; asset,Mutual funds; security repurchase agreements (net); asset,Mutual funds; debt securities; asset (market value),Mutual funds; commercial paper; asset,Mutual funds; Treasury securities; asset (market value),Mutual funds; agency- and GSE-backed securities; asset (market value),Mutual funds; municipal securities; asset (market value),Mutual funds; corporate and foreign bonds; asset (market value),Mutual funds; syndicated loans to nonfinancial corporate business; asset,Mutual funds; corporate equities; asset,Mutual funds; unidentified miscellaneous assets,Mutual funds; total financial assets,Variable annuity mutual funds; total financial assets (market value),Mutual funds; total financial assets in domestic equity funds,Mutual funds; total financial assets in world equity funds,Mutual funds; total financial assets in hybrid funds,Mutual funds; total financial assets in taxable bond funds,Mutual funds; total financial assets in municipal bond funds
1973:Q3,51927,0,1980,6823,1980,682,0,0,4161,0,43124,0,51927,0,ND,ND,ND,ND,ND
1973:Q4,46635,0,1671,6643,1671,660,0,0,4312,0,38321,0,46635,0,ND,ND,ND,ND,ND
1974:Q1,44521,0,1757,7132,1757,859,0,0,4516,0,35632,0,44521,0,ND,ND,ND,ND,ND
1974:Q2,40662,0,1871,7068,1871,495,0,0,4702,0,31723,0,40662,0,ND,ND,ND,ND,ND
1974:Q3,32320,0,1693,7212,1693,826,0,0,4693,0,23415,0,32320,0,ND,ND,ND,ND,ND
1974:Q4,35152,0,1407,7398,1407,1109,0,0,4882,0,26347,0,35152,0,ND,ND,ND,ND,ND
1975:Q1,40968,0,1543,7453,1543,785,0,0,5125,0,31972,0,40968,0,ND,ND,ND,ND,ND
1975:Q2,46061,0,1345,7619,1345,949,0,0,5325,0,37097,0,46061,0,ND,ND,ND,ND,ND
1975:Q3,40876,0,1076,8030,1076,1493,0,0,5461,0,31770,0,40876,0,ND,ND,ND,ND,ND
1975:Q4,43034,0,1341,8029,1341,1066,0,0,5622,0,33664,0,43034,0,ND,ND,ND,ND,ND
1976:Q1,46920,0,723,7672,723,1435,0,0,5514,0,38525,0,46920,0,ND,ND,ND,ND,ND
1976:Q2,47003,0,742,7624,742,1196,0,23,5663,0,38637,0,47003,0,ND,ND,ND,ND,ND
1976:Q3,45799,0,570,7795,570,1368,0,111,5746,0,37434,0,45799,0,ND,ND,ND,ND,ND
1976:Q4,46510,0,823,8405,823,1086,0,525,5971,0,37282,0,46510,0,ND,ND,ND,ND,ND
1977:Q1,43037,0,790,9243,790,1368,0,984,6101,0,33004,0,43037,0,ND,ND,ND,ND,ND
1977:Q2,45901,0,1167,10338,1167,1485,0,1403,6283,0,34396,0,45901,0,ND,ND,ND,ND,ND
1977:Q3,45617,0,1360,11807,1360,1740,0,1875,6832,0,32450,0,45617,0,ND,ND,ND,ND,ND
1977:Q4,45491,0,1335,12290,1335,1763,0,2155,7037,0,31866,0,45491,0,ND,ND,ND,ND,ND
1978:Q1,44493,0,1788,13090,1788,1833,0,2587,6882,0,29615,0,44493,0,ND,ND,ND,ND,ND
1978:Q2,46687,0,1815,13025,1815,1818,0,2640,6752,0,31847,0,46687,0,ND,ND,ND,ND,ND
1978:Q3,48619,0,1429,12593,1429,1748,0,2783,6633,0,34597,0,48619,0,ND,ND,ND,ND,ND
1978:Q4,46050,0,1883,12508,1883,1584,0,2683,6358,0,31659,0,46050,0,ND,ND,ND,ND,ND
1979:Q1,47697,0,1842,13179,1842,1722,0,3013,6602,0,32676,0,47697,0,ND,ND,ND,ND,ND
1979:Q2,48943,0,1844,14194,1844,1502,0,3660,7188,0,32905,0,48943,0,ND,ND,ND,ND,ND
1979:Q3,51166,0,1925,14585,1925,1379,0,4069,7212,0,34656,0,51166,0,ND,ND,ND,ND,ND
1979:Q4,51789,0,1808,14545,1808,1536,0,4039,7162,0,35436,0,51789,6410,ND,ND,ND,ND,ND
1980:Q1,53772,0,1936,14211,1936,1679,0,3654,6942,0,37625,0,53772,6720,ND,ND,ND,ND,ND
1980:Q2,59434,0,1710,16506,1710,2592,0,4169,8035,0,41218,0,59434,7039,ND,ND,ND,ND,ND
1980:Q3,66091,0,2157,17136,2157,1939,0,4439,8601,0,46798,0,66091,7865,ND,ND,ND,ND,ND
1980:Q4,70395,0,2306,17057,2306,1853,0,4420,8478,0,51032,0,70395,8586,ND,ND,ND,ND,ND
1981:Q1,71227,0,1764,17830,1764,2651,0,4730,8685,0,51633,0,71227,9020,ND,ND,ND,ND,ND
1981:Q2,71535,0,2031,18888,2031,2363,0,5010,9484,0,50616,0,71535,9091,ND,ND,ND,ND,ND
1981:Q3,65157,0,2149,19102,2149,2443,0,5035,9475,0,43906,0,65157,8262,ND,ND,ND,ND,ND
1981:Q4,68834,0,2233,20184,2233,2775,0,5102,10074,0,46417,0,68834,8992,ND,ND,ND,ND,ND
1982:Q1,66089,0,2289,20866,2289,3512,0,5487,9578,0,42934,0,66089,8507,ND,ND,ND,ND,ND
1982:Q2,67525,0,2546,21916,2546,3895,0,5924,9551,0,43063,0,67525,8557,ND,ND,ND,ND,ND
1982:Q3,75941,0,2125,23773,2125,4594,0,6757,10297,0,50043,0,75941,9601,ND,ND,ND,ND,ND
1982:Q4,88353,0,2074,25360,2074,5087,0,7972,10227,0,60919,0,88353,11501,ND,ND,ND,ND,ND
1983:Q1,101710,0,2685,28234,2685,4611,349,9715,10874,0,70587,204,101710,12881,ND,ND,ND,ND,ND
1983:Q2,119852,0,2989,31653,2989,5170,852,10862,11780,0,84987,223,119852,14424,ND,ND,ND,ND,ND
1983:Q3,123236,0,2947,32722,2947,4395,1192,12216,11972,0,87342,225,123236,14615,ND,ND,ND,ND,ND
1983:Q4,126973,0,2855,34910,2855,4059,1620,13424,12952,0,88931,277,126973,14852,ND,ND,ND,ND,ND
1984:Q1,129465,0,4201,39164,4201,4720,2288,14867,13088,0,85899,201,129465,14928,ND,ND,ND,ND,ND
1984:Q2,129412,0,4652,41727,4652,5267,3062,15678,13068,0,82832,201,129412,14378,ND,ND,ND,ND,ND
1984:Q3,145397,0,5719,46920,5719,6194,4289,17529,13189,0,92559,199,145397,15740,ND,ND,ND,ND,ND
1984:Q4,153337,0,4912,50845,4912,6688,5489,19327,14429,0,97111,469,153337,16211,ND,ND,ND,ND,ND
1985:Q1,174257,0,4577,63647,4577,12127,9476,21942,15525,0,105672,361,174257,17645,ND,ND,ND,ND,ND
1985:Q2,205015,0,4930,79975,4930,17226,12810,26911,18098,0,119895,215,205015,18767,ND,ND,ND,ND,ND
1985:Q3,221441,0,5603,95010,5603,23706,16761,29926,19014,0,120627,201,221441,18304,ND,ND,ND,ND,ND
1985:Q4,272965,0,4744,129592,4744,39719,26690,35709,22730,0,137156,1473,272965,21382,ND,ND,ND,ND,ND
1986:Q1,340693,0,8152,162931,8152,48660,35079,43678,27362,0,167512,2098,340693,25718,ND,ND,ND,ND,ND
1986:Q2,382490,0,8007,193260,8007,57395,44384,49787,33687,0,178592,2631,382490,26922,ND,ND,ND,ND,ND
1986:Q3,407139,0,8344,224394,8344,66178,54902,58116,36854,0,171286,3115,407139,25707,ND,ND,ND,ND,ND
1986:Q4,450367,0,9588,252046,9588,70773,62962,66492,42231,0,184410,4323,450367,26851,ND,ND,ND,ND,ND
1987:Q1,539434,0,12597,294154,12597,84051,72575,77454,47477,0,227452,5231,539434,33079,ND,ND,ND,ND,ND
1987:Q2,550400,0,12338,290508,12338,85954,72003,74029,46184,0,243473,4081,550400,34412,ND,ND,ND,ND,ND
1987:Q3,556224,0,14418,282446,14418,82623,67121,72650,45634,0,253974,5386,556224,36123,ND,ND,ND,ND,ND
1987:Q4,481466,0,11301,267780,11301,79334,62493,70603,44049,0,196632,5753,481466,28390,ND,ND,ND,ND,ND
1988:Q1,502572,0,16459,272177,16459,78617,61833,70898,44370,0,207680,6256,502572,30181,ND,ND,ND,ND,ND
1988:Q2,511551,0,13390,276416,13390,80019,62839,74456,45712,0,215376,6369,511551,31278,ND,ND,ND,ND,ND
1988:Q3,504894,0,16432,277215,16432,78147,61268,76083,45285,0,205769,5478,504894,31081,ND,ND,ND,ND,ND
1988:Q4,503097,0,16159,276008,16159,75604,59180,78122,46943,0,205473,5457,503097,31680,ND,ND,ND,ND,ND
1989:Q1,515301,0,16020,278528,16020,74304,58326,82156,47722,0,214570,6183,515301,33178,ND,ND,ND,ND,ND
1989:Q2,549881,0,17346,287690,17346,74163,58378,87732,50071,0,237550,7295,549881,35197,ND,ND,ND,ND,ND
1989:Q3,576895,0,17026,292106,17026,75471,59577,90061,49971,0,259737,8026,576895,38325,ND,ND,ND,ND,ND
1989:Q4,591345,0,15766,296256,15766,76364,60454,92456,51216,0,270649,8674,591345,58421,ND,ND,ND,ND,ND
1990:Q1,585636,0,16071,306031,16071,78153,62663,96868,52276,0,254332,9202,585636,58867,ND,ND,ND,ND,ND
1990:Q2,620236,0,16094,314179,16094,78958,64126,99946,55055,0,280257,9706,620236,63149,ND,ND,ND,ND,ND
1990:Q3,568041,0,16987,313906,16987,77820,64019,101163,53917,0,227514,9634,568041,55161,ND,ND,ND,ND,ND
1990:Q4,603053,0,16681,325997,16681,81297,67741,104908,55370,0,250395,9980,603053,59691,ND,ND,ND,ND,ND
1991:Q1,669138,0,17692,365298,17692,88809,76056,117714,65027,0,277623,8525,669138,66359,288576,32195,39759,181932,125736
1991:Q2,700414,0,17276,390682,17276,92517,81440,125811,73638,0,283802,8654,700414,69482,295257,34072,42739,193696,133631
1991:Q3,769566,0,16970,425634,16970,100784,91217,134946,81717,0,318328,8634,769566,74403,323419,36624,47319,215871,145303
1991:Q4,850744,0,12837,486059,12837,114872,106893,154497,96960,0,341543,10305,850744,82989,365212,39520,52045,238746,154202
1992:Q1,889980,0,7655,464474,7655,93841,95413,161639,105926,0,393898,23953,889980,84206,378749,40948,56014,253621,159654
1992:Q2,952243,0,8637,508162,8637,98970,109948,173453,117154,0,407327,28117,952243,88149,393936,45220,62483,275629,174017
1992:Q3,1019928,0,12194,541276,12194,97310,118280,186180,127312,0,427945,38513,1019928,93639,415679,44281,70196,302885,185937
1992:Q4,1096342,0,8801,571309,8801,103193,137348,197781,124186,0,486710,29522,1096342,102203,468405,45682,77630,307413,196259
1993:Q1,1201180,0,9022,634134,9022,115482,152474,215151,142005,0,527101,30923,1201180,112010,519663,52799,91548,322139,214071
1993:Q2,1302226,0,9742,677266,9742,119104,155984,234084,158352,0,584350,30868,1302226,120625,557701,64331,105240,343007,230971
1993:Q3,1419318,0,10118,713579,10118,124577,161818,247241,169825,0,663614,32007,1419318,132270,597567,84297,128184,360722,247550
1993:Q4,1504644,0,8468,752418,8468,137595,177268,255298,173789,0,714292,29466,1504644,145025,626537,114130,142331,366031,254597
1994:Q1,1495186,0,13369,702237,13369,115969,148899,239395,184605,0,735708,43872,1495186,147618,625889,130045,149746,347086,241379
1994:Q2,1504264,0,13755,677415,13755,111973,143273,224671,183743,0,755005,58089,1504264,154729,637683,140165,156404,329437,239394
1994:Q3,1580774,0,15540,675872,15540,108965,138941,232832,179594,0,832137,57225,1580774,164373,689447,164146,162915,319719,243195
1994:Q4,1544320,0,14818,650510,14818,109734,139434,216584,169940,0,824545,54447,1544320,165051,691570,161194,161404,301212,227307
1995:Q1,1649397,0,14987,670972,14987,112879,141152,234866,167088,0,912377,51061,1649397,179243,767361,161095,170023,308223,240762
1995:Q2,1800550,0,17618,683957,17618,108707,133757,234949,188926,0,1039083,59892,1800550,208956,872140,176452,184884,323643,241071
1995:Q3,1954042,0,15833,718407,15833,120459,145817,238088,198210,0,1164882,54920,1954042,230632,988119,189475,195562,333055,244870
1995:Q4,2058275,0,17180,758138,17180,133489,158980,250641,197848,10170,1216013,56774,2058275,247900,1052572,196505,206705,345520,253287
1996:Q1,2201626,0,16871,761903,16871,130537,167718,243577,203200,10369,1356843,55640,2201626,269709,1160448,225486,217650,347078,246536
1996:Q2,2351651,0,17891,774865,17891,125202,173671,244562,213539,10568,1486729,61598,2351651,290503,1258525,250609,224977,365905,246780
1996:Q3,2461780,0,19655,794514,19655,119699,179580,245767,229813,10767,1574794,62050,2461780,309033,1332969,263309,233482,377471,249404
1996:Q4,2623994,0,18696,814396,18696,114145,185448,250373,245734,10966,1719141,60795,2623994,334148,1440811,285198,248358,391050,253068
1997:Q1,2686387,0,21046,814851,21046,114055,183568,245708,250474,11824,1769891,68775,2686387,346103,1478332,306780,254718,390673,249995
1997:Q2,3051401,0,23765,843887,23765,117530,187376,253428,261788,12682,2088152,82915,3051401,404654,1740099,356719,283939,409031,255359
1997:Q3,3368362,0,23623,893328,23623,122307,193136,261528,292734,13541,2358218,79652,3368362,450156,1983229,378509,305372,431106,263639
1997:Q4,3409315,0,24497,927807,24497,128943,201680,269819,302868,14399,2360738,81874,3409315,456857,2021583,346368,311713,450748,271867
1998:Q1,3840596,0,23125,969838,23125,133268,211717,274344,327384,14965,2754174,78494,3840596,525502,2333288,400124,342952,480177,277029
1998:Q2,3977323,0,25921,1007170,25921,131729,212607,282032,354881,15874,2843666,84692,3977323,550692,2425642,409652,351224,499841,283007
1998:Q3,3622978,0,27795,1026616,27795,126400,207302,292780,372339,16459,2461506,90602,3622978,494382,2138405,340329,327364,513094,295230
