1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1967:Q2,2579,15,75,0,36,-18,0,-112,-33,127,-15,1002,14,1470,0,27,1326,117,2581
1967:Q3,2618,43,78,0,35,289,0,-24,-21,334,83,874,0,1216,0,71,1046,99,2619
1967:Q4,2639,12,98,0,32,100,0,15,-20,105,24,912,25,1436,0,19,1309,108,2641
1968:Q1,2689,-23,65,0,30,488,0,165,17,306,8,795,78,1248,0,-27,1157,118,2692
1968:Q2,2871,79,89,0,28,13,0,-19,16,16,-41,918,-33,1818,0,123,1645,50,2874
1968:Q3,3233,33,96,0,26,152,0,-46,17,181,21,1007,8,1890,0,55,1762,73,3235
1968:Q4,3678,32,103,0,26,189,0,179,-3,13,-4,1137,30,2165,0,50,2041,74,3680
1969:Q1,4042,-10,63,0,26,-27,0,76,28,-131,12,1169,67,2742,0,-4,2654,92,4045
1969:Q2,4442,4,128,0,24,-114,0,-202,27,61,-10,954,69,3387,0,7,3297,83,4445
1969:Q3,4662,-5,96,0,23,471,0,-24,64,431,65,893,43,3076,0,-2,2992,86,4665
1969:Q4,4617,20,110,0,26,193,0,18,46,129,82,1290,50,2846,0,38,2732,76,4620
1970:Q1,4325,5,115,0,26,208,0,-76,-24,308,14,853,27,3077,0,10,2976,91,4328
1970:Q2,4098,-111,117,0,28,98,0,-73,64,107,-17,694,201,3088,0,-160,3087,161,4101
1970:Q3,3844,110,123,0,28,724,0,126,200,398,-20,776,-54,2157,0,170,1954,33,3847
1970:Q4,3583,78,115,0,29,620,0,-21,-10,651,-22,1102,2,1659,0,128,1476,55,3586
1971:Q1,3334,93,134,0,31,-564,0,101,-113,-552,-91,1433,-26,2324,0,146,2127,51,3337
1971:Q2,3325,6,104,0,31,-640,0,-193,-129,-318,-166,1770,82,2138,0,25,2010,103,3328
1971:Q3,3478,37,142,0,34,-342,0,32,-3,-371,-146,1841,105,1807,0,68,1647,92,3482
1971:Q4,3733,63,126,0,35,652,0,61,13,578,-110,1643,35,1289,0,102,1099,88,3737
1972:Q1,3982,108,129,0,153,595,185,311,197,-98,-326,2173,50,1100,0,151,461,488,3986
1972:Q2,4202,58,163,0,233,1204,291,-67,272,708,-199,2582,102,59,0,76,-825,808,4206
1972:Q3,4310,106,177,0,241,1848,317,129,416,986,-268,2469,98,-361,0,111,-1296,824,4314
1972:Q4,4220,213,189,0,182,1088,260,569,263,-4,-137,1832,10,843,0,185,80,578,4224
1973:Q1,4014,99,201,0,130,1637,209,258,406,764,-214,1259,244,658,0,-27,205,480,4018
1973:Q2,4048,127,181,0,88,916,167,214,148,387,-75,750,207,1854,0,-61,1573,342,4052
1973:Q3,4305,324,237,0,79,1590,177,525,140,748,-78,509,-79,1723,0,192,1324,207,4309
1973:Q4,4719,115,184,0,103,721,241,501,175,-196,15,534,238,2809,0,-129,2520,418,4723
1974:Q1,5040,149,221,0,115,849,285,548,47,-31,17,378,134,3177,0,94,2705,378,5042
1974:Q2,5352,236,228,0,120,1083,309,602,9,163,-16,35,187,3479,0,-73,3094,458,5354
1974:Q3,5332,253,242,0,129,2224,361,992,193,678,-9,163,501,1829,0,-259,1517,571,5334
1974:Q4,4931,273,332,0,147,2313,440,243,619,1011,4,760,-31,1133,0,211,479,443,4933
1975:Q1,4353,260,285,0,170,3323,555,798,287,1683,37,1326,-107,-941,0,365,-1771,465,4354
1975:Q2,4087,289,348,0,364,2779,708,670,177,1224,-31,1398,-24,-1036,0,401,-2588,1151,4088
1975:Q3,4202,268,361,0,467,2849,563,1035,63,1188,-12,1305,569,-1605,0,-5,-3282,1682,4203
1975:Q4,4668,217,330,0,304,2553,372,375,379,1427,17,1405,90,-248,0,234,-1484,1002,4669
1976:Q1,5230,217,339,0,39,2212,495,913,378,426,0,1585,90,748,0,300,429,19,5231
1976:Q2,5736,87,292,0,-245,2203,329,1198,293,383,0,1205,-57,2251,0,19,3119,-887,5737
1976:Q3,5970,-85,239,0,246,3,190,870,149,-1206,-10,883,193,4501,0,48,3587,866,5970
1976:Q4,5795,-109,288,0,350,113,117,1278,-345,-937,41,852,282,3978,0,98,2661,1219,5795
1977:Q1,5402,-11,350,0,583,651,112,-151,791,-101,6,1110,122,2591,0,10,489,2092,5402
1977:Q2,5351,68,389,0,16,2966,80,1563,422,901,119,1390,345,58,0,144,-90,3,5351
1977:Q3,5693,127,417,0,468,1137,22,92,764,259,-53,1681,-200,2116,0,64,393,1659,5693
1977:Q4,6287,141,436,0,-86,3227,3,921,-85,2388,11,1622,55,881,0,111,1125,-355,6287
1978:Q1,6611,109,503,0,551,768,22,127,-23,642,62,1788,40,2790,0,92,750,1948,6612
1978:Q2,6592,87,529,0,-132,3771,-9,531,-38,3287,88,1717,272,260,0,294,559,-593,6593
1978:Q3,5610,88,487,0,352,2126,-97,-822,1210,1835,59,1698,-454,1254,0,369,-235,1119,5611
1978:Q4,3917,65,610,0,447,1535,-7,1567,-1009,984,15,1822,-351,-226,0,56,-1869,1587,3918
1979:Q1,2621,23,565,0,318,2454,259,411,947,837,77,1893,600,-3309,0,301,-4633,1023,2624
1979:Q2,2979,-18,504,0,237,4697,543,901,655,2598,-48,1943,48,-4384,0,201,-5359,774,2982
1979:Q3,5942,-47,549,0,42,5042,837,631,990,2584,218,2622,235,-2719,0,323,-3061,19,5945
1979:Q4,11179,-87,626,0,236,4048,902,169,433,2544,171,2885,11,3289,0,101,2380,808,11182
1980:Q1,16755,-136,496,0,211,5344,735,906,612,3091,52,3039,322,7427,0,44,6639,744,16759
1980:Q2,21147,-198,460,0,210,6322,630,1638,1313,2741,72,2547,996,10738,0,521,9672,545,21150
1980:Q3,22828,-274,436,0,296,5747,587,887,1108,3165,208,3336,183,12896,0,480,11542,874,22831
1980:Q4,21040,-285,692,0,-107,5472,529,1234,1480,2229,93,3168,-99,12106,0,325,12294,-513,21044
1981:Q1,17014,-231,581,0,-141,4400,453,853,1529,1565,184,3004,-297,9514,0,131,9942,-559,17018
1981:Q2,13200,-191,426,0,118,4731,900,893,2044,894,123,3047,-452,5398,0,56,4940,402,13204
1981:Q3,10229,-169,654,0,170,4317,864,159,2174,1120,7,3569,-1206,2887,0,-153,2368,672,10234
1981:Q4,8841,-145,803,0,-267,6317,767,8947,-4301,904,35,3222,-875,-250,0,353,501,-1103,8846
1982:Q1,9058,-502,1648,0,-530,10962,-1518,7013,2889,2578,0,805,-143,-3182,0,262,-1430,-2014,9065
1982:Q2,11340,-106,1828,0,112,8463,-821,4504,2868,1912,1473,1550,536,-2516,0,319,-3111,276,11346
1982:Q3,15449,-249,1650,0,808,7250,-1684,4398,1651,2885,975,2346,914,1755,0,876,-1679,2557,15454
1982:Q4,20450,-310,1732,0,57,7830,-1558,5450,1795,2143,1409,11317,1602,-3187,0,461,-3669,21,20455
1983:Q1,24336,-146,2160,0,586,7002,-576,3419,961,3198,1286,1896,-127,11679,0,859,9054,1766,24344
1983:Q2,26921,133,2946,0,1092,5216,635,2491,945,1145,653,1730,-100,15251,0,1008,10715,3528,26928
1983:Q3,26064,339,92,0,-11,10990,1017,4540,1974,3459,860,1570,332,11892,0,130,11855,-93,26072
1983:Q4,21544,144,875,0,224,7191,150,3171,1496,2374,-445,314,341,12900,0,143,12007,750,21552
1984:Q1,15399,347,-374,0,-430,4039,1401,1268,322,1048,-232,-2068,-7,14124,0,-382,15899,-1393,15411
1984:Q2,10063,403,-78,0,-272,-5060,1519,-2175,-693,-3711,-523,-3333,-120,19046,0,-370,20248,-832,10077
1984:Q3,7183,-13,2573,0,699,13881,35,4980,2331,6535,-328,2600,586,-12815,0,930,-15888,2143,7197
1984:Q4,6992,-169,1669,0,316,16690,-1538,7230,2508,8490,694,260,678,-13147,0,724,-14720,849,7006
1985:Q1,8220,239,2740,0,739,-1177,-167,2813,1324,-5147,1306,2474,334,1565,0,848,-1607,2323,8239
1985:Q2,9991,245,3392,0,800,5680,-57,5464,2851,-2578,763,3168,331,-4388,0,957,-7842,2497,10010
1985:Q3,10873,40,-408,0,-405,784,365,2651,1620,-3852,-443,1746,204,9355,0,-173,10916,-1388,10892
1985:Q4,10355,-540,-814,0,1854,9017,2466,4183,11746,-9378,2655,94,1162,-3073,0,4162,-21182,13947,10374
1986:Q1,8943,-160,1064,0,-50,11318,487,2211,1201,7419,188,-3727,321,-11,992,-10,6236,-7229,8966
1986:Q2,7828,-150,2527,0,413,-265,1018,-3487,-1879,4083,-435,-979,240,6477,465,-15,6722,-695,7849
1986:Q3,7277,-135,1570,0,85,6703,695,-1259,-583,7850,16,-8394,188,7244,155,-15,7447,-343,7297
1986:Q4,7462,-128,3497,0,654,-23138,1408,-4663,-3043,-16840,-939,3610,135,23771,1744,-24,10384,11667,7482
1987:Q1,8068,-90,475,0,2,-7884,1214,-3477,-1873,-3748,-1388,13981,342,2630,3320,-100,-13527,12937,8090
1987:Q2,9278,-60,2076,0,491,2780,1965,-6073,6944,-56,-758,-9412,350,13811,531,-300,9100,4480,9300
1987:Q3,10626,-40,655,0,81,4732,1543,1427,951,811,-638,-8480,297,14019,1348,-450,7007,6114,10649
1987:Q4,11784,-8,-2112,0,-714,6144,420,2394,1597,1733,-518,-3781,-123,12896,-303,-647,35195,-21349,11808
1988:Q1,12551,50,-3297,0,-183,1497,-1884,-5779,7921,1239,1100,6257,-233,7360,-4363,-700,15219,-2796,12573
1988:Q2,13050,250,1533,0,1346,881,324,157,128,272,1051,-6,-117,8112,-2709,-400,2285,8936,13072
1988:Q3,13180,800,-3473,0,-264,16258,-1840,9293,2148,6657,2011,-7358,-169,5375,-4971,-350,3278,7418,13202
1988:Q4,12709,828,1777,0,720,3846,-476,-2011,3317,3016,1703,697,-125,3263,-3118,1106,714,4561,12732
1989:Q1,11809,400,3814,0,575,6432,-37,-4976,10164,1281,1065,-9533,-61,9117,-107,1100,7697,427,11833
1989:Q2,11436,-200,1723,0,-185,8883,-913,3949,3532,2315,1353,-4086,-30,3978,-511,1125,5220,-1856,11460
