1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2001:Q2,53380111,18740860,34639251,5084758,3082491,1914999,1167492,134116,382886,39691,39566,571233,632866,10903051,6781692,4121359,610994,1454071,52733,129785,1873776,14936085,7699307,45680804,5.774605887265658,8.898838570410046,20.42530633329724,31.47600154185625
2001:Q3,52604968,19168612,33436356,5215777,3177239,2013860,1163379,130860,377049,42579,42285,570606,727581,9131338,5689797,3441541,492866,1250981,43796,114107,1539791,15184421,7955307,44649661,6.039808075754923,9.502348630013174,17.35831856242945,27.30960860712732
2001:Q4,54276141,19547538,34728603,5372452,3088736,1903286,1185450,137787,370826,46877,40679,589281,687019,10278420,6398936,3879484,571977,1370620,49091,121903,1765893,15301976,8082313,46193828,5.690780448391964,8.893925307368782,18.93727122497737,29.5964107784065
2002:Q1,55045061,19981955,35063106,5441497,3100771,1873103,1227668,145038,396968,48367,40432,596863,678581,10382352,6422255,3960097,599235,1425542,50618,119571,1765131,15459905,8217263,46827797,5.633149928339234,8.843400305649027,18.86155046022576,29.6104742864799
2002:Q2,54624287,20397322,34226965,5399561,3255734,1985641,1270093,144814,407843,50144,42204,625088,648797,9276465,5763205,3513260,516082,1251303,44338,107617,1593920,15646409,8408852,46215435,5.960230870478657,9.512189023299014,16.98230842239072,27.10279706879382
2002:Q3,53746726,20834858,32911868,5494793,3393453,2059170,1334283,147632,437030,55119,46309,648193,649328,7508273,4672989,2835284,401838,1039904,35591,90547,1267404,15866021,8627417,45119309,6.313785788478351,10.3107278263813,13.96973017736462,22.81326774336221
2002:Q4,54953949,21288996,33664953,5607570,3517263,2159032,1358231,153854,446529,57896,45101,654851,651397,8012505,4970585,3041920,446194,1117177,39036,92754,1346759,15876218,8878092,46075857,6.400382696001556,10.44784774611194,14.58039941893125,23.80073199398821
2003:Q1,55404686,21768285,33636401,5754997,3399346,2042735,1356612,158555,451343,12152,48854,685708,666734,7598358,4626423,2971935,421717,1114842,37454,92973,1304949,16216967,9066454,46338233,6.135484893097518,10.10615292095936,13.71428665871785,22.58968616006215
2003:Q2,57687676,22213003,35474673,5800664,3523549,2035275,1488274,171016,467189,62491,50083,737495,769878,8978974,5450752,3528222,497176,1310750,46052,106467,1567777,16401608,9458594,48229082,6.107976096254416,9.932577673688224,15.56480511711283,25.31094316108201
2003:Q3,58858718,22673047,36185671,5762411,3500140,2021204,1478937,173423,460636,61692,50208,732978,758239,9524415,5793595,3730820,541117,1347272,51171,114834,1676426,16640466,9719982,49138737,5.946680989444808,9.672724260218887,16.18182455142482,26.32095570470237
2003:Q4,61061825,23157570,37904255,5785454,3753181,2253391,1499791,179849,465864,61232,49983,742863,742732,10767446,6506891,4260555,623042,1528897,62138,129016,1917462,16855442,9975252,51086574,6.146526782722748,9.901741665302497,17.6336777126601,28.40695688673426
2004:Q1,63751310,23982868,39768442,5884069,4545444,3062286,1483158,177359,452715,61595,48655,742834,785070,11275211,6811207,4464004,650972,1561394,66566,134322,2050750,17278648,10181333,53569977,7.129961702737378,11.42977640177692,17.68624141362517,28.35215575813993
2004:Q2,64861083,24742468,40118615,5925366,4389365,2891868,1497497,182387,461584,62929,50497,740100,814274,11264801,6759564,4505236,665782,1586511,68678,139513,2044752,17724810,10499939,54361145,6.767332109682584,10.94096815883248,17.3675802901386,28.07873765770979
2004:Q3,66462238,25615246,40846992,5924679,4611071,3060798,1550273,187950,468963,65824,52467,775069,807105,11211072,6705288,4505784,665902,1561271,68803,140106,2069702,18293065,10777976,55684262,6.937881183883278,11.28864304409971,16.86833357463037,27.44650584607192
2004:Q4,69153088,26451355,42701733,6057494,4750173,3178159,1572014,192433,479578,66404,51623,781976,877179,12260792,7220951,5039842,749730,1751152,79884,152284,2306792,18756095,11152371,58000717,6.869067842549923,11.12407431042897,17.72992694336956,28.71263311956237
2005:Q1,70178328,27213090,42965238,6132724,4673822,3103234,1570587,189672,486665,68468,51951,773831,867498,12241544,7269266,4972277,735879,1722210,80842,153084,2280262,19049650,11365559,58812769,6.659921493823083,10.87814654651909,17.44348178741022,28.49173993131543
2005:Q2,72051703,28037021,44014682,6169283,4871400,3248028,1623372,199116,509696,71601,53415,789544,879865,12649867,7531289,5118578,780424,1783919,82908,156597,2314730,19444267,11698134,60353569,6.76097803763578,11.06767012752049,17.5566522218645,28.74010745982898
2005:Q3,74043832,28930097,45113735,6298931,4696090,3038419,1657671,202214,528198,73460,53468,800331,874599,13342574,7923979,5418595,818631,1890809,88813,164095,2456247,19901541,12048298,61995534,6.342311432456022,10.4094471754041,18.01983182172817,29.57541417755757
2005:Q4,75912822,29760139,46152683,6438741,4863751,3186077,1677674,204403,546162,74707,53927,798475,872015,13659980,8065191,5594788,843481,1980544,93102,169402,2508259,20318197,12342220,63570602,6.407021286345733,10.5383920543956,17.9942983723271,29.5973686548359
2006:Q1,78107893,29977421,48130472,6664593,4842962,3205452,1637510,206060,491647,75938,53519,810346,969730,14924084,9156976,5767108,861917,1925275,101060,178354,2700502,20729103,12704575,65403318,6.200349107362682,10.06215362065013,19.10701185877041,31.00755864314687
2006:Q2,78622576,30472855,48149721,6760849,4797875,3144781,1653094,207364,496345,80411,55117,813857,1011810,14543847,8886478,5657369,845992,1888130,98868,179144,2645235,21035340,13052811,65569765,6.102414002361937,9.964492018697888,18.49830888516701,30.20546478398736
2006:Q3,80172191,30884396,49287795,6913516,4887909,3164300,1723609,217927,515651,82547,57280,850204,1023270,15041965,9168108,5873856,883132,1952044,105248,185157,2748275,21421135,13388353,66783838,6.096763531893282,9.917077666608446,18.7620728147849,30.51864031095273
2006:Q4,81922913,31070395,50852518,7101743,4793985,3005494,1788491,230195,525917,83889,58300,890190,1024784,16214256,9856675,6357582,959997,2089525,116666,196162,2995232,21717749,13664502,68258411,5.851824624203455,9.42723268659204,19.79208973202437,31.88486450635909
2007:Q1,83171493,30964920,52206573,7366608,4960015,3112724,1847291,233568,536353,87735,59272,930363,1069755,16849072,10296717,6552356,970687,2121886,119001,200087,3140695,21961122,13840826,69330667,5.963600281086836,9.500748884796915,20.25823012103705,32.27385273302148
2007:Q2,84030025,30973035,53056990,7415197,4857160,2964987,1892173,240076,544673,88593,60920,957911,1133932,17420271,10407944,7012327,1037515,2251806,129098,214895,3379013,22230430,14145912,69884113,5.780267524726048,9.154609516352942,20.73100740662073,32.83313045224981
2007:Q3,85111969,30895988,54215981,7659437,5380080,3427159,1952921,249749,561460,93162,62237,986313,1137981,17584341,10412155,7172185,1069625,2290850,130417,218505,3462788,22454143,14397397,70714572,6.321178735007446,9.923420354144289,20.660244163659,32.43386970215184
2007:Q4,84685651,30640696,54044955,8009766,5541260,3516779,2024481,259507,578345,96777,64285,1025567,1251831,16662420,9739457,6922963,1026219,2197628,127761,210657,3360698,22579678,14613261,70072390,6.543327783291257,10.25305639282145,19.6756119638262,30.83066685785236
2008:Q1,82824001,29914782,52909219,8412947,5600449,3557068,2043381,255197,587583,107047,63315,1030239,1381755,15175831,8908602,6267228,928858,1989868,109491,187532,3051479,22338237,14735990,68088011,6.761867631066636,10.58501601188497,18.32298641747827,28.68277156498615
2008:Q2,81296411,29277499,52018912,8183810,5754080,3668920,2085160,258008,596037,108802,64277,1058036,1367565,14520769,8301672,6219097,896858,1967103,109307,185894,3059935,22192688,14669138,66627273,7.0779017274068,11.06151563190836,17.86151250670478,27.9144028006771
2008:Q3,79218819,28799368,50419451,8372855,5881634,3867137,2014497,245610,587108,115640,61818,1004321,1384031,12583756,7236986,5346770,781043,1735397,94676,158623,2577031,22197176,14813350,64405469,7.424541207207971,11.66540636783102,15.88480619360753,24.95813736514432
2008:Q4,75726933,28165707,47561226,8747496,6102997,4211136,1891861,226644,580651,122086,57509,904971,1105084,9732881,5723060,4009821,597931,1337514,73242,119569,1881565,21872768,14508710,61218223,8.059215488660186,12.83187423881995,12.85260188658831,20.46389890956236
2009:Q1,73891905,27565198,46326707,8693446,6386226,4426852,1959374,234078,601451,126130,58568,939147,1034792,8613000,5029377,3583623,537192,1195262,63949,104913,1682307,21599244,14406024,59485881,8.642659755067207,13.78519293021009,11.65621555606833,18.59186695187315
2009:Q2,74304858,26842555,47462303,8575183,6245611,4099310,2146301,257254,644216,126796,63904,1054131,1045566,10401028,6062448,4338580,642248,1408828,80373,126154,2080977,21194915,14384325,59920533,8.405387160505963,13.15909802597207,13.99777683089603,21.91429305349853
2009:Q3,75775343,26341810,49433533,8398382,6755961,4381720,2374241,287985,700642,128221,70376,1187017,1073917,12190079,7080603,5109476,751842,1635806,96518,146939,2478371,21015194,14388312,61387031,8.915777860224182,13.66675786160096,16.0871313307714,24.65953414634525
2009:Q4,76083313,26137874,49945439,8537711,6685815,4195688,2490127,302878,724380,131110,73866,1257893,1074834,12587644,7193335,5394310,801000,1707689,105253,154213,2626155,21059435,14383603,61699710,8.787491593992637,13.38623684269538,16.54455329436367,25.20279040794195
2010:Q1,77103203,26005866,51097337,8297394,7147355,4493163,2654192,320438,766083,132905,78334,1356432,1077642,13299180,7601022,5698158,837996,1796838,112993,161079,2789252,21275765,14275858,62827345,9.269855335357541,13.98772578875821,17.24854475818627,26.02714989654437
