date,Monetary authority; SDR certificates issued by federal government; asset,Monetary authority; SDR certificates issued by federal government; asset,Federal government; Treasury currency; liability,Monetary authority; Treasury currency; asset,Instrument discrepancies; Treasury currency (seigniorage)
1945:Q4,0,0,2310,4183,-1873
1946:Q1,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND
1946:Q4,0,0,2436,4406,-1970
1947:Q1,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND
1947:Q4,0,0,2408,4406,-1998
1948:Q1,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND
1948:Q4,0,0,2403,4433,-2030
1949:Q1,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND
1949:Q4,0,0,2384,4442,-2058
1950:Q1,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND
1950:Q4,0,0,2374,4480,-2106
1951:Q1,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND
2015:Q4,5200,5200,24772,47567,-22795
2016:Q1,5200,5200,24772,47726,-22954
2016:Q2,5200,5200,24772,48043,-23271
2016:Q3,5200,5200,24222,48370,-24148
2016:Q4,5200,5200,24222,48536,-24314
2017:Q1,5200,5200,24222,48781,-24559
2017:Q2,5200,5200,24222,48986,-24764
2017:Q3,5200,5200,23972,49175,-25203
2017:Q4,5200,5200,23972,49381,-25409
2018:Q1,5200,5200,23972,49517,-25545
2018:Q2,5200,5200,23972,49617,-25645
2018:Q3,5200,5200,23706,49691,-25985
2018:Q4,5200,5200,23706,49762,-26056
2019:Q1,5200,5200,23706,49865,-26159
2019:Q2,5200,5200,23706,49930,-26224
2019:Q3,5200,5200,23166,49994,-26828
2019:Q4,5200,5200,23166,50071,-26905
2020:Q1,5200,5200,23166,50180,-27014
2020:Q2,5200,5200,23166,50256,-27090
2020:Q3,5200,5200,23126,50374,-27248
2020:Q4,5200,5200,23126,50455,-27329
2021:Q1,5200,5200,23126,50530,-27404
2021:Q2,5200,5200,23126,50586,-27460
2021:Q3,5200,5200,23006,50674,-27668
2021:Q4,5200,5200,23006,50827,-27821
