1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1958:Q1,278912,2890,18426,866,95523,973,69928,4275,304,0,0,0,3971,15229,5118,0,0,0,0,5118,154419,47054,1223,84678,21464,1056,0,0,134,5598,256745,-1641,704,118,-2309,-154,112363,5560,10629,94950,1224,136976,587,1235,1235,0,696,1020,5509,0,5509,0,ND
1958:Q2,288613,3017,18568,804,99878,1013,72954,3785,264,0,0,0,3521,16533,5593,0,0,0,0,5593,158475,48358,1082,87126,21909,1155,0,0,137,6579,266056,-1926,796,128,-2677,-173,116532,9460,11976,93623,1473,142319,587,1093,1093,0,929,824,5698,0,5698,0,ND
1958:Q3,291686,3140,18101,867,102696,1013,75134,4089,258,0,0,0,3831,17080,5380,0,0,0,0,5380,159934,46684,1025,90039,22186,1279,0,0,140,5529,268714,-670,949,337,-1700,-256,114180,4220,10294,98588,1078,144702,917,1035,1035,0,1010,899,6641,0,6641,0,ND
1958:Q4,300520,3249,18504,210,104496,818,76727,4396,249,0,0,0,4147,17234,5321,0,0,0,0,5321,166531,50087,955,92980,22509,1400,0,0,144,5986,277409,-744,1296,46,-1664,-422,120791,4250,10928,104084,1529,147772,20,965,965,0,1298,934,6373,0,6373,0,ND
1959:Q1,299687,3090,18194,1043,101596,822,74034,4046,295,0,0,0,3751,17476,5218,0,0,0,0,5218,168355,49117,843,95318,23077,1402,0,0,147,5860,276384,-334,746,572,-1434,-218,115552,3590,11889,98651,1422,150200,1109,852,852,0,1087,813,7105,0,7105,0,ND
1959:Q2,306087,3260,18188,962,98941,656,71638,3756,323,0,0,0,3433,17633,5258,0,0,0,0,5258,176700,52689,786,98755,24470,1445,0,0,151,6440,282380,394,846,892,-1091,-253,116495,4420,11868,98621,1586,153573,1364,794,794,0,1537,571,7652,0,7652,0,ND
1959:Q3,310462,3240,17760,619,97526,752,69983,3849,357,0,0,0,3492,17747,5195,0,0,0,0,5195,183246,54615,763,102184,25684,1371,0,0,154,6546,286336,414,951,329,-518,-348,118585,6140,11207,99759,1479,154979,811,771,771,0,1795,528,8453,0,8453,0,ND
1959:Q4,315159,3012,18174,140,96473,711,69166,3846,324,0,0,0,3522,17679,5071,0,0,0,0,5071,190685,58565,921,104899,26300,1400,0,0,158,5117,290673,728,1590,453,-1060,-255,121941,5050,11458,103908,1525,156970,122,930,930,0,2134,475,7373,0,7373,0,ND
1960:Q1,312195,3360,17716,1121,91585,755,64111,4109,393,0,0,0,3716,17654,4956,0,0,0,0,4956,192489,57727,1093,106715,26954,1290,0,0,162,4472,287461,400,823,815,-1148,-90,115409,4410,11606,98307,1086,158733,1856,1104,1104,0,1520,595,7844,0,7844,0,ND
1960:Q2,317888,3490,17528,1109,91081,826,63794,4112,403,0,0,0,3709,17411,4938,0,0,0,0,4938,198512,60129,1106,109210,28067,1306,0,0,165,4697,292501,95,868,267,-1218,178,117845,7030,11418,98043,1354,162643,1427,1117,1117,0,1770,772,6832,0,6832,0,ND
