1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q3,3668,0,0,15,1078,160,680,0,94,144,2330,1846,484,0,16,229,3545,2233,2457,-224,1192,323,9,489,66,-767,0,-767,253,ND
1961:Q4,3407,0,0,15,892,151,536,0,81,124,2307,1770,537,0,16,177,3266,1969,2215,-246,1229,330,7,542,71,-882,0,-882,273,ND
1962:Q1,3457,0,0,14,1106,128,682,0,117,179,2147,1647,500,0,16,174,3314,2022,2256,-234,1280,334,5,505,72,-904,0,-904,275,ND
1962:Q2,3531,0,0,13,1389,145,827,0,165,252,1949,1481,468,0,17,163,3386,2044,2265,-221,1323,334,3,473,72,-863,0,-863,278,ND
1962:Q3,3499,0,0,13,1265,139,693,0,171,262,2044,1588,456,0,17,160,3357,2045,2287,-242,1242,333,2,461,73,-799,0,-799,280,ND
1962:Q4,3539,0,0,13,1054,148,506,0,158,242,2131,1601,530,0,16,325,3418,2091,2281,-190,1194,335,3,535,68,-808,0,-808,262,ND
1963:Q1,3578,0,0,15,1071,163,521,0,153,234,2275,1757,518,0,17,200,3461,2156,2365,-209,1113,348,6,523,69,-754,0,-754,264,ND
1963:Q2,3686,0,0,16,1037,165,538,0,132,202,2442,1903,539,0,17,174,3575,2216,2447,-231,1127,365,9,545,69,-756,0,-756,264,ND
1963:Q3,3679,0,0,18,804,157,422,0,89,136,2646,2104,542,0,17,194,3574,2257,2505,-248,1055,382,5,547,69,-741,0,-741,264,ND
1963:Q4,3731,0,0,18,735,159,399,0,70,107,2626,2048,578,0,17,335,3617,2249,2475,-226,1097,397,10,584,72,-792,0,-792,276,ND
1964:Q1,3820,0,0,18,745,180,398,0,66,101,2696,2076,620,0,17,344,3710,2297,2508,-211,1133,405,14,627,72,-838,0,-838,276,ND
1964:Q2,3971,0,0,18,742,176,396,0,67,103,2759,2129,630,0,18,434,3863,2351,2546,-195,1334,411,18,636,72,-959,0,-959,278,ND
1964:Q3,4186,0,0,14,883,188,485,0,83,127,2829,2194,635,0,19,441,4069,2434,2689,-255,1604,418,17,641,73,-1118,0,-1118,279,ND
1964:Q4,4224,0,0,74,811,167,442,0,80,122,2738,2061,677,0,20,581,4230,2540,2837,-297,1832,423,22,684,77,-1348,0,-1348,294,ND
1965:Q1,4588,0,0,32,854,221,433,0,79,121,2794,2129,665,0,24,884,4501,2773,3029,-256,1987,442,18,672,77,-1468,0,-1468,296,ND
1965:Q2,4812,0,0,47,823,196,425,0,80,122,2723,2052,671,0,27,1192,4763,3018,3273,-255,1852,460,13,678,76,-1334,0,-1334,294,ND
1965:Q3,4477,0,0,49,906,199,482,0,89,136,2850,2187,663,0,28,644,4441,2593,2954,-361,1632,477,13,669,76,-1019,0,-1019,291,ND
1965:Q4,4202,0,0,58,930,183,509,0,94,144,2570,1892,678,0,30,614,4187,2284,2616,-332,1661,498,20,685,76,-1037,0,-1037,293,ND
1966:Q1,4234,0,0,48,885,204,458,0,88,135,2632,1954,678,0,33,636,4204,2139,2467,-328,1649,516,16,684,76,-876,0,-876,290,ND
1966:Q2,4559,0,0,66,814,201,408,0,81,124,2614,1930,684,0,36,1029,4568,2144,2492,-348,1956,536,12,691,76,-847,0,-847,294,ND
1966:Q3,4767,0,0,46,955,229,483,0,96,147,2754,2080,674,0,38,974,4733,2331,2646,-315,1948,535,24,681,77,-863,0,-863,297,ND
1966:Q4,4831,0,0,38,977,240,459,0,110,168,3018,2297,721,0,41,757,4801,2508,2788,-280,1844,536,34,728,73,-922,0,-922,279,ND
1967:Q1,4492,0,0,11,1017,278,435,0,120,184,3121,2380,741,0,44,299,4404,2298,2727,-429,1780,562,33,748,73,-1090,0,-1090,283,ND
1967:Q2,4870,0,0,24,1050,266,407,0,149,228,3183,2357,826,0,46,567,4813,2195,2604,-409,2188,587,33,834,74,-1098,0,-1098,284,ND
1967:Q3,4902,0,0,31,1252,275,491,0,192,294,3265,2436,829,0,49,305,4865,2243,2909,-666,2100,615,30,837,74,-1034,0,-1034,286,ND
