1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q3,1302486,0,94876,177733,0,114750,72300,244,31180,11026,38206,-602,36010,2798,412628,21007,0,87588,326229,29469,312761,150179,48929,61082,19171,33400
1961:Q4,1349087,0,95088,182845,0,115882,71944,592,32506,10840,39224,-740,36834,3130,443217,22875,0,88631,332393,28932,319926,154027,50225,63435,19480,32759
1962:Q1,1349182,0,93352,189204,0,116090,73081,567,31469,10973,39054,-1100,37377,2777,433050,22981,0,89663,335857,29931,323754,156488,51684,62038,19629,33916
1962:Q2,1250767,0,91226,196080,0,115856,73108,410,31384,10954,40545,-450,37975,3020,329789,18257,0,90651,338921,29442,333019,160237,53567,65435,19656,34124
1962:Q3,1284526,0,93580,201423,0,117167,74836,286,31852,10193,41087,-338,38406,3019,348408,18796,0,91563,342790,29712,341155,164345,55275,66626,20191,34719
1962:Q4,1382740,0,95311,208828,0,116251,73718,235,32087,10211,41457,-864,39006,3315,431230,20909,0,92398,347129,29227,349538,168307,56834,69344,20546,34507
1963:Q1,1408557,0,96486,215765,0,112897,70567,9,31665,10656,40826,-1464,39324,2966,443950,22156,0,93355,352974,30148,354845,171352,58382,68935,21303,34873
1963:Q2,1445765,0,95299,223030,0,112595,70564,0,31642,10389,42363,-908,40093,3178,465276,23306,0,94378,359556,29962,366723,175801,60532,72217,22454,35719
1963:Q3,1482064,0,97969,227746,0,112981,71976,0,31128,9877,42549,-994,40319,3224,485143,24118,0,95473,365855,30230,375857,180662,62450,74362,23121,35262
1963:Q4,1473802,0,99995,234936,0,115129,72892,0,32094,10143,42935,-1146,40528,3553,457229,24819,0,96635,372399,29725,385781,185106,64118,77870,23565,35123
1964:Q1,1519109,0,97291,240745,0,116675,74239,0,32475,9961,43993,-153,40880,3266,486216,26433,0,97719,379389,30648,392108,188776,65482,78041,24039,35770
1964:Q2,1551466,0,97878,247988,0,117118,74497,0,33112,9509,43185,-1377,41158,3404,501513,27156,0,98806,386971,30851,404555,193368,67702,81812,24542,37132
