date,Mutual funds; undistributed corporate profits; gross saving; net saving,Mutual funds; total financial assets,Mutual funds; money market fund shares; asset,Mutual funds; security repurchase agreements (net); asset,Mutual funds; debt securities; asset (market value),Mutual funds; commercial paper; asset,Mutual funds; Treasury securities; asset (market value),Mutual funds; agency- and GSE-backed securities; asset (market value),Mutual funds; municipal securities; asset (market value),Mutual funds; corporate and foreign bonds; asset (market value),Mutual funds; syndicated loans to nonfinancial corporate business; asset,Mutual funds; corporate equities; asset,Mutual funds; unidentified miscellaneous assets,Mutual funds; mutual fund shares; liability,Mutual funds; sector discrepancy,Variable annuity mutual funds; total financial assets (market value),Mutual funds; total financial assets in domestic equity funds,Mutual funds; total financial assets in world equity funds,Mutual funds; total financial assets in hybrid funds,Mutual funds; total financial assets in taxable bond funds,Mutual funds; total financial assets in municipal bond funds
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2019:Q1,21551,91525,56732,-4304,2321,-2275,12229,-26457,29435,-10611,-7534,-29570,73880,91525,21551,-23487,-12156,1575,-3692,75304,30495
2019:Q2,30920,26542,112716,-8352,80677,19867,1733,14678,24782,19617,-9475,-32498,-116526,26542,30920,-26498,-49814,-12037,-5568,69405,24556
2019:Q3,35852,7052,-83595,-7514,122668,21819,44009,18609,24644,13587,-9444,-54700,39637,7052,35852,-27770,-75387,-7329,-8617,72625,25760
2019:Q4,43529,83153,-11348,1842,145434,2288,62013,24219,26960,29954,-7240,-102394,56859,83153,43529,-26382,-68071,11901,2789,107669,28865
2020:Q1,6118,-290205,-43,-13809,-292335,-14069,-265687,17596,-21995,-8180,-30002,-63141,109125,-290205,6118,-44775,-96085,11475,-46848,-141636,-17111
2020:Q2,18963,23803,15310,31401,118694,7640,101511,-120398,13189,116752,-44,-66624,-74934,23803,18963,-16017,-63907,-45929,4388,112068,17183
2020:Q3,19384,7685,-35664,-29567,322045,-1232,55723,119230,36950,111374,-698,-170422,-78009,7685,19384,-28979,-134995,-54091,-6071,172722,30119
2020:Q4,14760,33923,11685,38559,173010,4973,61984,39376,21552,45125,1750,-181296,-9785,33923,14760,-26325,-86659,-51891,-5234,152444,25262
2021:Q1,15000,102369,23790,18946,292852,4050,74670,18231,30940,164961,15322,-119640,-128901,102369,15000,-32442,-56573,-40397,2210,167053,30075
2021:Q2,17500,51923,-7393,15385,79945,-4170,90314,-43795,33323,4273,16447,-34986,-17475,51923,17500,-52588,-105088,10907,7138,111595,27371
2021:Q3,17500,60894,21923,-12422,151433,-3037,48098,18790,31201,56381,9288,-29160,-80168,60894,17500,-34375,-75677,18863,12519,76252,28937
2021:Q4,17500,13334,12031,454,137930,1823,26316,12384,10602,86805,12362,-133345,-16098,13334,17500,-30952,-90556,44100,3290,43749,12751
