1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1958:Q4,1415097,1110169,256474,48454,0,36087,12367,1415097,394216,404415,219777,191377,189731,15581,117,4350,4090,105,16,139,660,503,36,4,5,0,1206,487,312,7904,0,172608,119700
1959:Q1,1428442,1119161,259721,49560,2,37174,12384,1428442,399056,406578,220794,192907,193453,15654,118,4370,4109,105,16,140,673,513,36,4,7,0,1218,495,312,7910,0,176561,120700
1959:Q2,1443357,1129216,263111,51030,3,38269,12758,1443357,404549,412157,222655,194597,193512,15887,119,4434,4170,106,16,142,692,528,37,4,7,0,1241,507,312,8004,0,178396,122100
1959:Q3,1458098,1138827,266790,52481,7,39352,13122,1458098,409547,417370,224289,196426,194355,16111,120,4497,4230,106,16,145,712,544,39,5,8,0,1265,520,313,8088,0,179627,121500
1959:Q4,1471198,1147724,269547,53927,13,40444,13470,1471198,414618,421511,225630,198000,195147,16292,122,4547,4277,107,16,147,731,560,40,5,8,0,1285,531,314,8151,0,180221,121400
1960:Q1,1485343,1159017,271164,55162,29,41541,13592,1485343,418387,425326,229124,198836,197145,16525,124,4611,4335,110,15,151,743,570,40,5,9,0,1301,540,316,8265,0,181679,124800
1960:Q2,1497782,1166798,274585,56399,60,42684,13655,1497782,421693,427769,232329,199945,199370,16676,125,4652,4373,110,15,154,755,583,41,5,11,0,1315,547,321,8324,0,183333,124400
1960:Q3,1511044,1176003,277226,57815,100,43833,13882,1511044,423479,429986,234931,203794,202031,16823,127,4687,4407,111,13,156,767,593,41,5,13,0,1328,553,322,8386,0,184433,126000
1960:Q4,1520548,1182575,278745,59228,143,44975,14110,1520548,425533,431126,237390,205213,204358,16928,128,4714,4431,113,12,158,777,603,41,5,14,0,1335,557,324,8432,0,185421,124900
1961:Q1,1530072,1189024,280472,60576,175,46089,14312,1530072,426743,433312,240021,205643,207217,17136,129,4772,4486,114,12,160,789,613,41,4,24,0,1320,566,327,8549,0,185416,124400
1961:Q2,1547211,1203315,281874,62022,207,47271,14544,1547211,430821,436175,243810,208956,210077,17372,130,4838,4549,115,12,162,801,626,42,4,33,0,1307,577,332,8680,0,186497,123700
1961:Q3,1560589,1213253,283717,63619,239,48512,14868,1560589,433696,438916,247182,210214,212982,17599,132,4904,4611,117,12,164,814,637,43,4,42,0,1293,587,337,8804,0,187779,126300
1961:Q4,1580199,1228790,286184,65225,276,49808,15141,1580199,436417,442647,250700,215738,216826,17871,133,4983,4686,119,12,166,830,652,45,5,52,0,1282,598,343,8950,0,188388,128200
1962:Q1,1597197,1241657,288909,66631,302,51061,15268,1597197,439865,446156,254728,217177,221114,18157,133,5076,4775,120,12,169,843,664,46,5,51,0,1297,608,350,9085,0,189692,130900
1962:Q2,1615824,1254913,292755,68156,332,52339,15485,1615824,442821,450493,258764,220171,225090,18485,134,5182,4875,123,12,172,857,678,47,5,50,0,1316,618,357,9240,0,191450,131900
1962:Q3,1635143,1268607,296906,69630,367,53636,15627,1635143,445497,453687,262517,226509,228173,18760,136,5272,4961,124,12,175,870,689,48,5,50,0,1331,627,364,9365,0,193610,134900
1962:Q4,1652809,1280709,300897,71203,413,54970,15820,1652809,447857,457267,266191,230254,232175,19065,136,5371,5055,126,12,178,886,705,49,5,50,0,1346,637,371,9513,0,194719,135400
1963:Q1,1667724,1292349,302581,72794,457,56424,15913,1667724,452514,460897,267832,231593,235562,19326,137,5456,5146,123,12,175,894,712,49,4,48,0,1341,648,379,9655,0,196663,135900
1963:Q2,1683779,1303458,305529,74792,521,58060,16211,1683779,455725,464405,268928,235393,239747,19581,136,5541,5235,122,12,172,904,722,50,4,45,0,1334,659,388,9794,0,199334,136400
1963:Q3,1694778,1309802,307901,77075,631,59860,16584,1694778,455985,468592,269087,237895,243351,19868,137,5634,5333,119,12,170,917,733,51,4,42,0,1329,671,400,9947,0,202006,137200
1963:Q4,1717520,1326273,311742,79505,730,61797,16978,1717520,463789,472713,272087,240733,248056,20142,137,5724,5429,117,12,166,931,745,53,5,40,0,1323,683,411,10090,0,204841,137700
1964:Q1,1731576,1334735,315097,81744,819,63729,17196,1731576,466010,476530,273394,243250,251895,20497,137,5844,5542,119,12,171,959,768,54,5,37,0,1354,695,425,10221,0,207779,138500
1964:Q2,1766924,1363482,319391,84051,902,65595,17554,1766924,479260,484440,279550,246568,256035,21071,139,6024,5713,122,13,176,993,798,55,5,33,0,1395,715,441,10469,0,210473,139200
1964:Q3,1789434,1380422,322801,86211,983,67376,17852,1789434,486551,489508,282988,248647,260245,21495,139,6163,5846,124,13,180,1025,824,56,5,31,0,1429,729,456,10636,0,213350,141400
1964:Q4,1829691,1414817,326651,88223,1054,69064,18105,1829691,502626,498831,290340,250988,264751,22155,141,6372,6044,128,13,187,1062,856,58,6,28,0,1478,751,474,10931,0,215400,143000
1965:Q1,1851108,1430116,330696,90296,1101,70781,18414,1851108,507148,505188,292971,252626,270614,22561,142,6485,6150,130,15,190,1093,882,58,5,24,0,1526,772,490,11084,0,219247,147100
