date,Property-casualty insurance companies; total financial assets,Property-casualty insurance companies; checkable deposits and currency, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; money market fund shares, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; security repurchase agreements, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; debt securities; asset,Property-casualty insurance companies; commercial paper, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; Treasury securities, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; agency- and GSE-backed securities, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; municipal securities, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; corporate and foreign bonds, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; commercial mortgages, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; corporate equities, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; mutual fund shares, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; trade receivables, including receivables for claims from reinsurers; asset,Property-casualty insurance companies; U.S. direct investment abroad (market value); asset,Property-casualty insurance companies; total miscellaneous assets,Property-casualty insurance companies; equity in FHLB; asset,Property-casualty insurance companies; policy payables due from reinsurers; asset,Property-casualty insurance companies; unidentified miscellaneous assets,Property-casualty insurance companies; total liabilities,Property-casualty insurance companies; security repurchase agreements; liability,Property-casualty insurance companies; FHLB advances; liability,Property-casualty insurance companies; trade payables to reinsurers; liability,Property-casualty insurance companies; total taxes payable; liability,Property-casualty insurance companies; foreign direct investment in U.S.: intercompany debt; liability (market value),Property-casualty insurance companies; total miscellaneous liabilities,Property-casualty insurance companies; net transactions due to holding companies; liability,Property-casualty insurance companies; policy payables, including from reinsurers; liability,Property-casualty insurance companies; unidentified miscellaneous liabilities,Property-casualty insurance companies; foreign direct investment in U.S.: equity; liability (market value),Property-casualty insurance companies; securities lending; liability,Property-casualty insurance companies; total assets of financial guaranty insurers,Property-casualty insurance companies; total assets of mortgage guaranty insurers,Property-casualty insurance companies; direct reserve for policy payables; liability,Property-casualty insurance companies; policy payables reinsured to U.S. reinsurers; liability,Rest of the world; policy payables of non-U.S. reinsurers; liability,Rest of the world; assumed policy payables by U.S. reinsurers from non-U.S. insurers; liability
1975:Q2,77345,1455,0,0,49392,0,3509,2914,31835,11134,172,16322,0,7359,2645,0,0,0,0,56149,0,0,0,297,163,55689,0,55061,628,628,0,ND,ND,55061,0,0,0
1975:Q3,76977,1527,0,0,51145,0,3995,2829,32480,11841,191,13760,0,7526,2828,0,0,0,0,57759,0,0,0,312,172,57275,0,56611,664,664,0,ND,ND,56611,0,0,0
1975:Q4,80281,1681,0,0,53487,0,4720,3302,33273,12192,221,14200,0,7668,3024,0,0,0,0,59693,0,0,0,308,182,59203,0,58502,701,701,0,ND,ND,58502,0,0,0
1976:Q1,86109,1486,0,0,57269,0,5460,3574,34636,13599,221,15974,0,7925,3234,0,0,0,0,62012,0,0,0,340,192,61480,0,60744,736,736,0,ND,ND,60744,0,0,0
1976:Q2,89171,1615,0,0,59493,0,5750,3887,35250,14606,245,16127,0,8232,3459,0,0,0,0,64656,0,0,0,316,205,64135,0,63347,788,788,0,ND,ND,63347,0,0,0
1976:Q3,93481,1739,0,0,62789,0,6585,4021,36459,15724,244,16451,0,8559,3699,0,0,0,0,67507,0,0,0,349,218,66940,0,66100,840,840,0,ND,ND,66100,0,0,0
1976:Q4,97861,1910,0,0,65944,0,7300,3859,38679,16106,273,16900,0,8878,3956,0,0,0,0,70296,0,0,0,362,236,69698,0,68792,906,906,0,ND,ND,68792,0,0,0
1977:Q1,101874,1765,0,0,70252,0,8486,4311,41791,15664,327,16107,0,9193,4230,0,0,0,0,73330,0,0,0,386,249,72695,0,71737,958,958,0,ND,ND,71737,0,0,0
1977:Q2,107627,1895,0,0,74458,0,7633,4326,43509,18990,368,16872,0,9510,4524,0,0,0,0,76503,0,0,0,416,255,75832,0,74852,980,980,0,ND,ND,74852,0,0,0
1977:Q3,112568,1828,0,0,79044,0,8770,4225,46227,19822,395,16627,0,9836,4838,0,0,0,0,79796,0,0,0,448,261,79087,0,78085,1002,1002,0,ND,ND,78085,0,0,0
1977:Q4,118341,2183,0,0,83324,0,9760,4386,49390,19788,384,17100,0,10176,5174,0,0,0,0,83117,0,0,0,480,258,82379,0,81385,994,994,0,ND,ND,81385,0,0,0
1978:Q1,122291,1678,0,0,87659,0,9754,4362,53070,20473,375,16698,0,10530,5351,0,0,0,0,86568,0,0,0,513,264,85791,0,84775,1016,1016,0,ND,ND,84775,0,0,0
1978:Q2,127802,1821,0,0,90860,0,9222,4525,56471,20642,365,18325,0,10897,5534,0,0,0,0,90185,0,0,0,550,279,89356,0,88282,1074,1074,0,ND,ND,88282,0,0,0
1978:Q3,135206,2219,0,0,95438,0,9895,4313,60132,21098,366,20185,0,11274,5724,0,0,0,0,93865,0,0,0,583,294,92988,0,91856,1132,1132,0,ND,ND,91856,0,0,0
1978:Q4,139800,2602,0,0,99831,0,10450,4887,62931,21563,391,19400,0,11656,5920,0,0,0,0,97548,0,0,0,604,309,96635,0,95447,1188,1188,0,ND,ND,95447,0,0,0
1979:Q1,145673,2125,0,0,103644,0,10896,5124,65766,21858,448,21227,0,12107,6122,0,0,0,0,101368,0,0,0,615,348,100405,0,99066,1339,1339,0,ND,ND,99066,0,0,0
1979:Q2,149832,2453,0,0,105697,0,10741,5355,67217,22384,428,22317,0,12605,6332,0,0,0,0,105220,0,0,0,619,387,104214,0,102724,1490,1490,0,ND,ND,102724,0,0,0
1979:Q3,157031,2581,0,0,109524,0,10694,5674,70053,23103,458,24806,0,13113,6549,0,0,0,0,109109,0,0,0,615,427,108067,0,106427,1640,1640,0,ND,ND,106427,0,0,0
1979:Q4,161672,2852,0,0,113006,0,10665,5971,72811,23559,650,24800,0,13591,6773,0,0,0,0,113022,0,0,0,600,462,111960,0,110182,1778,1778,0,ND,ND,110182,0,0,0
1980:Q1,164353,3105,0,0,115578,0,11158,5909,75353,23158,774,23810,0,14081,7005,0,0,0,0,117069,0,0,0,627,501,115941,0,114012,1929,1929,0,ND,ND,114012,0,0,0
1980:Q2,169909,3026,0,0,117057,0,10161,5836,77080,23980,821,27179,0,14581,7245,0,0,0,0,120552,0,0,0,674,522,119356,0,117350,2006,2006,0,ND,ND,117350,0,0,0
1980:Q3,176234,2985,0,0,119732,0,11082,5775,78962,23913,865,30079,0,15080,7493,0,0,0,0,123905,0,0,0,720,539,122646,0,120571,2075,2075,0,ND,ND,120571,0,0,0
1980:Q4,182096,2947,0,0,122530,0,12248,6178,80533,23571,994,32300,0,15575,7750,0,0,0,0,127768,0,0,0,744,680,126344,0,123727,2617,2617,0,ND,ND,123727,0,0,0
1981:Q1,186561,2976,0,0,125229,0,13203,6296,81607,24123,1055,33097,0,16189,8015,0,0,0,0,130936,0,0,0,746,697,129493,0,126814,2679,2679,0,ND,ND,126814,0,0,0
1981:Q2,189067,3003,5,0,126784,5,12959,6505,82699,24616,1147,32959,0,16879,8290,0,0,0,0,133994,0,0,0,727,716,132551,0,129799,2752,2752,0,ND,ND,129799,0,0,0
1981:Q3,189835,3019,20,0,129241,25,13614,6797,83862,24943,1249,30150,0,17583,8573,0,0,0,0,136924,0,0,0,706,748,135470,0,132592,2878,2878,0,ND,ND,132592,0,0,0
1981:Q4,194449,2982,42,0,130707,50,13491,6982,83923,26261,1341,32393,0,18117,8867,0,0,0,0,139474,0,0,0,699,723,138052,0,135270,2782,2782,0,ND,ND,135270,0,0,0
1982:Q1,194927,3097,84,0,132201,102,13665,7298,84687,26449,1406,30158,0,18674,5707,3600,0,0,3600,141728,0,0,0,711,740,140277,0,137461,2816,1686,0,ND,ND,137461,0,0,0
1982:Q2,196461,3057,216,0,133746,246,13495,7662,85885,26458,1448,29310,0,19206,5878,3600,0,0,3600,143892,0,0,0,738,747,142407,0,139615,2792,1662,0,ND,ND,139615,0,0,0
1982:Q3,202856,2964,489,0,135575,540,14125,8069,86588,26253,1501,32921,0,19725,6081,3600,0,0,3600,146049,0,0,0,765,728,144556,0,141792,2764,1634,0,ND,ND,141792,0,0,0
1982:Q4,212342,2774,1678,0,138027,2038,14712,8515,86968,25794,1600,38500,0,20242,6069,3452,0,0,3452,150859,0,0,0,778,673,149408,0,146102,3306,2135,0,ND,ND,146102,0,0,0
1983:Q1,219332,2402,2517,0,140018,2822,16069,9010,87144,24973,1749,42304,0,20753,6137,3452,0,0,3452,153293,0,0,0,778,651,151864,0,148572,3292,2121,0,ND,ND,148572,0,0,0
1983:Q2,227280,2204,3219,0,140729,3720,16781,9566,86988,23674,1954,47958,0,21254,6510,3452,0,0,3452,155435,0,0,0,766,683,153986,0,150698,3288,2117,0,ND,ND,150698,0,0,0
1983:Q3,231925,1744,4530,0,142558,5108,18173,10143,86747,22387,2160,48930,0,21751,6800,3452,0,0,3452,158855,0,0,0,752,792,157311,0,153812,3499,2328,0,ND,ND,153812,0,0,0
1983:Q4,235197,1183,6246,0,145247,6859,19424,10700,86667,21597,2311,48112,0,22239,7820,2039,0,0,2039,163721,0,0,0,742,827,162152,0,158322,3830,2859,0,ND,ND,158322,0,0,0
1984:Q1,236733,1087,6904,0,147842,7552,20686,11473,86081,22050,2414,45769,0,22871,7807,2039,0,0,2039,167289,0,0,0,742,828,165719,0,161848,3871,2900,0,ND,ND,161848,0,0,0
1984:Q2,239902,1898,6987,0,151675,8563,22002,12266,85528,23316,2490,43229,0,23603,7981,2039,0,0,2039,170901,0,0,0,744,886,169271,0,165451,3820,2849,0,ND,ND,165451,0,0,0
1984:Q3,247836,1649,7574,0,155807,8807,24137,13158,85108,24597,2580,45688,0,24321,8178,2039,0,0,2039,174320,0,0,0,750,849,172721,0,169030,3691,2720,0,ND,ND,169030,0,0,0
1984:Q4,250927,1713,7675,0,159311,8957,25955,13912,84742,25745,2664,44658,0,25000,7928,1978,0,0,1978,177944,0,0,0,762,756,176426,0,173138,3288,2362,0,ND,ND,173138,0,0,0
1985:Q1,260506,2319,7717,0,163689,9434,26749,15462,84943,27101,2869,48796,0,25644,7494,1978,0,0,1978,182258,0,0,0,779,743,180736,0,177502,3234,2308,0,ND,ND,177502,0,0,0
1985:Q2,271709,2338,8405,0,169628,9830,27024,17656,85523,29595,3047,52313,0,26253,7747,1978,0,0,1978,191280,0,0,0,799,735,189746,0,186584,3162,2236,0,ND,ND,186584,0,0,0
1985:Q3,280837,2949,8700,0,179107,10603,30004,19627,87176,31697,3197,50047,0,26759,8100,1978,0,0,1978,204058,0,0,0,826,808,202424,0,199049,3375,2449,0,ND,ND,199049,0,0,0
1985:Q4,298590,6519,6059,0,188482,11809,32338,22157,88248,33930,3339,56969,0,27190,10409,-377,0,0,-377,215584,0,0,0,864,864,213856,0,210175,3681,3180,0,ND,ND,210175,0,0,0
1986:Q1,312332,6872,6067,0,198257,11836,35771,22820,90732,37098,3623,58656,0,28457,10777,-377,0,0,-377,224971,0,0,0,910,864,223197,0,219607,3590,3089,0,ND,ND,219607,0,0,0
1986:Q2,325018,7416,5871,0,207983,11764,38585,22721,93885,41028,3843,59592,0,29549,11141,-377,0,0,-377,234965,0,0,0,962,878,233125,0,229527,3598,3097,0,ND,ND,229527,0,0,0
1986:Q3,339137,7915,5705,0,218916,11731,42240,22367,97642,44936,4075,60265,0,31005,11633,-377,0,0,-377,246674,0,0,0,1027,884,244763,0,241131,3632,3131,0,ND,ND,241131,0,0,0
1986:Q4,353597,8751,5188,0,230237,11872,46127,22262,101937,48039,4348,61163,0,32062,15240,-3392,0,0,-3392,259475,0,0,0,1111,1224,257140,0,252382,4758,4511,0,ND,ND,252382,0,0,0
1987:Q1,366788,8802,5262,0,240407,11933,48663,22281,107141,50389,4444,62121,0,33097,16047,-3392,0,0,-3392,270099,0,0,0,1215,1289,267595,0,262972,4623,4376,0,ND,ND,262972,0,0,0
1987:Q2,379330,9421,4629,0,250627,11992,50679,22293,113625,52038,4750,62974,0,33842,16479,-3392,0,0,-3392,281618,0,0,0,1340,1418,278860,0,273839,5021,4774,0,ND,ND,273839,0,0,0
1987:Q3,391248,9906,4126,0,260504,12100,52561,22309,119972,53562,4868,63894,0,34607,16735,-3392,0,0,-3392,292502,0,0,0,1477,1625,289400,0,284329,5071,4824,0,ND,ND,284329,0,0,0
1987:Q4,405003,10231,3912,0,269647,12310,54693,22340,124765,55539,4994,65056,0,35651,18947,-3435,0,0,-3435,305913,0,0,0,1617,2377,301919,0,293788,8131,7555,0,ND,ND,293788,0,0,0
1988:Q1,417503,8910,5432,0,278031,12654,56939,22365,128262,57811,5139,66358,0,37137,19931,-3435,0,0,-3435,314545,0,0,0,1696,2265,310584,0,302176,8408,7832,0,ND,ND,302176,0,0,0
1988:Q2,429263,8560,6072,0,285635,13164,59163,22366,130723,60219,5269,67697,0,39068,20397,-3435,0,0,-3435,322047,0,0,0,1775,2282,317990,0,309455,8535,7959,0,ND,ND,309455,0,0,0
1988:Q3,441124,7825,7110,0,292942,13659,61526,22409,132529,62819,5406,69308,0,40996,20972,-3435,0,0,-3435,329295,0,0,0,1854,2372,325069,0,316433,8636,8060,0,ND,ND,316433,0,0,0
1988:Q4,453924,6547,8621,0,300435,13958,64187,22563,134060,65667,5574,71424,0,42460,25153,-6290,0,0,-6290,337578,0,0,0,1933,2547,333098,0,323916,9182,8883,0,ND,ND,323916,0,0,0
1989:Q1,466001,7503,7831,0,307659,14055,66858,23133,134751,68862,5779,74344,0,43489,25686,-6290,0,0,-6290,345624,0,0,0,1761,2927,340936,0,331848,9088,8789,0,ND,ND,331848,0,0,0
1989:Q2,478726,8539,6890,0,314893,13944,69746,23925,134774,72504,6027,78367,0,44171,26129,-6290,0,0,-6290,354141,0,0,0,1589,3048,349504,0,340175,9329,9030,0,ND,ND,340175,0,0,0
1989:Q3,491029,9700,5841,0,322050,13831,72603,24897,134580,76139,6270,82064,0,44701,26693,-6290,0,0,-6290,362827,0,0,0,1417,3121,358289,0,348311,9978,9679,0,ND,ND,348311,0,0,0
1989:Q4,503049,14413,1343,0,329181,13921,75176,26007,134766,79311,6460,84005,0,45276,33323,-10952,0,0,-10952,371104,0,0,0,1246,3392,366466,0,355670,10796,12823,0,ND,ND,355670,0,0,0
1990:Q1,511852,13084,3055,0,336211,14253,77401,27244,135208,82105,6615,84005,0,45835,33999,-10952,0,0,-10952,378197,0,0,0,1409,3439,373349,0,362296,11053,13080,0,ND,ND,362296,0,0,0
1990:Q2,517603,12063,4688,0,343050,14865,79209,28594,135776,84606,6752,81878,0,46317,33807,-10952,0,0,-10952,384525,0,0,0,1571,3491,379463,0,368235,11228,13255,0,ND,ND,368235,0,0,0
1990:Q3,524015,10091,7164,0,349980,15399,81120,30149,136382,86930,6849,79798,0,46769,34316,-10952,0,0,-10952,390644,0,0,0,1734,3505,385405,0,373891,11514,13541,0,ND,ND,373891,0,0,0
1990:Q4,533470,7470,9841,0,357274,15497,83649,32000,136936,89192,6885,79940,0,47238,29359,-4537,0,0,-4537,398817,0,0,0,1897,4035,392885,0,379667,13218,14387,0,ND,ND,379667,0,0,0
1991:Q1,544102,6284,10638,0,365315,15197,88802,34361,135084,91871,6859,82218,0,47734,29591,-4537,0,0,-4537,405096,0,0,0,2063,4298,398735,0,383448,15287,16456,0,ND,ND,383448,0,0,0
1991:Q2,556159,5914,10085,0,373473,14407,96038,37412,131523,94093,6766,86539,0,48290,29629,-4537,0,0,-4537,407796,0,0,0,2229,4573,400994,0,385780,15214,16383,0,ND,ND,385780,0,0,0
1991:Q3,567517,5537,9559,0,381120,13656,103184,40291,128130,95859,6640,91089,0,48786,29323,-4537,0,0,-4537,410847,0,0,0,2395,4491,403961,0,388067,15894,17063,0,ND,ND,388067,0,0,0
1991:Q4,575773,5334,9428,0,387614,13469,108064,42135,126778,97168,6511,94054,0,49102,30375,-6645,0,0,-6645,418982,0,0,0,2561,5275,411146,0,391713,19433,25720,0,ND,ND,391713,0,0,0
1992:Q1,584637,5298,9690,0,394153,13843,112270,42989,127215,97836,6388,95673,0,49210,30870,-6645,0,0,-6645,423591,0,0,0,2136,5193,416262,0,396645,19617,25904,0,ND,ND,396645,0,0,0
1992:Q2,591213,5409,10340,0,399421,14772,114895,42897,129179,97678,6267,96186,0,49085,31150,-6645,0,0,-6645,429494,0,0,0,1710,5302,422482,0,402793,19689,25976,0,ND,ND,402793,0,0,0
1992:Q3,589602,5544,11026,0,400805,15751,113244,42546,131829,97435,6113,96448,0,48953,27358,-6645,0,0,-6645,435254,0,0,0,1285,5189,428780,0,409039,19741,26028,0,ND,ND,409039,0,0,0
1992:Q4,597905,5576,11393,0,404695,16276,113628,42621,134324,97846,5889,97312,0,49040,28797,-4797,0,0,-4797,440787,0,0,0,860,5471,434456,0,414265,20191,27596,0,ND,ND,414265,0,0,0
1993:Q1,607315,5525,11476,0,411987,16395,116805,42985,136948,98854,5588,98628,0,49327,29581,-4797,0,0,-4797,445864,0,0,0,1390,5654,438820,0,418557,20263,27668,0,ND,ND,418557,0,0,0
1993:Q2,618311,5405,11309,0,421065,16155,121038,43496,139982,100394,5192,100242,0,49790,30105,-4797,0,0,-4797,449886,0,0,0,1921,5925,442040,0,422000,20040,27445,0,ND,ND,422000,0,0,0
1993:Q3,629786,5275,11109,0,430487,15870,125475,44030,143137,101975,4792,101911,0,50291,30718,-4797,0,0,-4797,453941,0,0,0,2452,6141,445348,0,425370,19978,27383,0,ND,ND,425370,0,0,0
1993:Q4,642476,5189,11095,0,438809,15850,129266,44463,146124,103106,4472,103392,0,50693,42283,-13457,0,0,-13457,459102,0,0,0,2983,6472,449647,0,429441,20206,28079,0,ND,ND,429441,0,0,0
1994:Q1,648919,5145,10850,0,443678,15500,131274,44791,147250,104863,4303,105477,85,51253,41585,-13457,0,0,-13457,463076,0,0,0,2879,6484,453713,0,433000,20713,28586,0,ND,ND,433000,0,0,0
1994:Q2,656460,5101,10675,0,448801,15250,133312,45119,148500,106620,4134,107566,166,51812,41662,-13457,0,0,-13457,466814,0,0,0,2775,6535,457504,0,436500,21004,28877,0,ND,ND,436500,0,0,0
1994:Q3,665021,5057,10500,0,454672,15000,135349,45447,150500,108376,3964,109646,255,52372,42012,-13457,0,0,-13457,470703,0,0,0,2672,6626,461405,0,440000,21405,29278,0,ND,ND,440000,0,0,0
1994:Q4,678080,5013,10297,0,461774,14710,137375,45774,153782,110133,3795,111735,336,52931,45627,-13428,0,0,-13428,474448,0,0,0,2568,6047,465833,0,443988,21845,28158,0,ND,ND,443988,0,0,0
1995:Q1,694794,4973,11007,0,468741,15724,137717,46400,155400,113500,3550,119313,416,54023,46199,-13428,0,0,-13428,483771,0,0,0,2745,5853,475173,0,453000,22173,28486,0,ND,ND,453000,0,0,0
1995:Q2,709664,4932,11717,0,475723,16739,138222,46962,157100,116700,3306,125623,503,55115,46173,-13428,0,0,-13428,494221,0,0,0,2922,6103,485196,0,461890,23306,29619,0,ND,ND,461890,0,0,0
1995:Q3,725313,4892,12427,0,482980,17753,138676,47500,159050,120001,3050,131418,594,56206,47174,-13428,0,0,-13428,492446,0,0,0,3100,6119,483227,0,459591,23636,29949,0,ND,ND,459591,0,0,0
1995:Q4,740320,4851,13137,0,490309,18767,139066,48150,161036,123290,2816,133479,671,57298,58154,-20395,0,0,-20395,504906,0,0,0,3277,7337,494292,0,464792,29500,47140,0,ND,ND,464792,0,0,0
1996:Q1,750142,4811,13847,0,496220,19782,139488,48262,163004,125684,2571,135245,755,58390,58698,-20395,0,0,-20395,508817,0,0,0,3437,7749,497631,0,467493,30138,47778,0,ND,ND,467493,0,0,0
1996:Q2,757005,3756,11832,0,500114,16903,133899,47714,166999,134599,2567,139484,841,59474,59332,-20395,0,0,-20395,511209,0,0,0,3598,7917,499694,0,468940,30754,48394,0,ND,ND,468940,0,0,0
1996:Q3,767739,4089,12881,0,505628,18401,130504,48071,168247,140405,2539,142296,927,59609,60165,-20395,0,0,-20395,517033,0,0,0,3759,7892,505382,0,474150,31232,48872,0,ND,ND,474150,0,0,0
1996:Q4,774164,3938,12404,0,511823,17722,126166,50986,175366,141583,2431,147528,1040,59338,54671,-19009,0,0,-19009,513770,0,0,0,7761,7730,498279,0,471354,26925,55729,0,12310,8722,471354,0,0,0
1997:Q1,785708,4233,13334,0,513436,19050,94300,68827,187643,143616,2509,150124,1140,63455,56429,-18952,0,0,-18952,516510,0,0,0,7725,8162,500623,0,473775,26848,55498,0,12638,9058,473775,0,0,0
1997:Q2,808586,4062,12792,0,519524,18274,94749,69362,188632,148507,2392,165233,1365,64036,58068,-18886,0,0,-18886,518865,0,0,0,7688,8541,502636,0,475131,27505,56000,0,12973,9407,475131,0,0,0
1997:Q3,827002,4168,13125,0,528244,18751,95735,70022,189950,153786,2384,172431,1573,64117,59774,-18814,0,0,-18814,527509,0,0,0,7652,8841,511016,0,480640,30376,58717,0,13318,9770,480640,0,0,0
1997:Q4,848076,4235,12328,0,535969,17610,96414,70820,191625,159500,2246,184332,1674,62229,75253,-30190,0,0,-30190,526702,0,0,0,7615,10052,509035,0,476153,32882,81654,0,13672,10146,476153,0,0,0
1998:Q1,870559,3709,12666,0,542469,18095,92355,71581,196617,163821,2219,198022,1902,64934,74875,-30237,0,0,-30237,530984,0,0,0,7914,10233,512837,0,480131,32706,82048,0,14205,10578,480131,0,0,0
1998:Q2,876600,3594,12989,0,542746,18557,87195,71487,199293,166214,2176,200628,1989,65738,77014,-30274,0,0,-30274,532239,0,0,0,8213,10478,513548,0,481274,32274,82186,0,14759,11028,481274,0,0,0
1998:Q3,859344,3801,14752,0,544341,21073,82459,71206,201438,168165,1919,178310,1873,66416,78239,-30307,0,0,-30307,535683,0,0,0,8512,10713,516458,0,484650,31808,82291,0,15335,11497,484650,0,0,0
1998:Q4,881012,4014,14936,0,546927,21339,76766,69668,208089,171065,1970,197908,2201,63954,89494,-40392,0,0,-40392,531034,0,0,0,8811,10726,511497,0,480414,31083,101330,0,15933,11987,480414,0,0,0
1999:Q1,881155,3219,15033,0,542543,21475,73680,70677,204214,172497,1922,198219,2268,66193,92063,-40305,0,0,-40305,532492,0,0,0,9010,11614,511868,0,480882,30986,101419,0,16319,12373,480882,0,0,0
1999:Q2,887758,3661,11440,0,542830,16343,70529,73313,204839,177806,1949,204532,2423,68053,93077,-40207,0,0,-40207,539311,0,0,0,9209,11838,518264,0,483829,34435,105054,0,16714,12771,483829,0,0,0
1999:Q3,875233,3145,12104,0,540702,17291,67873,74474,201454,179610,2001,190371,2350,68819,95842,-40101,0,0,-40101,549611,0,0,0,9408,13098,527105,0,487850,39255,110060,0,17119,13183,487850,0,0,0
1999:Q4,1040280,4652,10096,32,546379,14317,66509,77305,203264,184984,1969,208169,2806,98392,95186,72599,0,148919,-76320,703846,0,0,36241,9607,12501,645497,0,647920,-2423,115951,0,17533,13608,539190,103630,45289,5100
2000:Q1,1051417,3553,12393,35,547906,17592,65276,79386,199268,186384,2601,205680,3045,103445,95916,76843,0,155461,-78618,713581,0,0,39540,9621,12692,651728,0,656391,-4663,116936,0,17672,14069,543637,107179,48282,5575
2000:Q2,1056965,3154,12573,37,545099,17845,63116,81371,195160,187607,1905,204542,3057,107151,98347,81100,0,162005,-80905,726499,0,0,42845,9635,12930,661089,0,667490,-6401,118429,0,17812,14545,550709,110730,51275,6051
2000:Q3,1065369,3530,12759,39,547847,18103,61578,84210,193139,190817,1737,200100,3174,111271,99537,85375,0,168547,-83172,738272,0,0,46143,9649,14738,667742,0,676858,-9116,118939,0,17953,15038,556054,114279,54268,6525
2000:Q4,1059324,4170,13646,41,547303,19364,59856,86305,189432,192346,1699,195106,3044,109764,83184,101367,0,175089,-73722,742857,0,0,49442,9663,13945,669807,0,677180,-7373,102175,0,18096,15548,552352,117828,57261,7000
2001:Q1,1053383,11089,9992,2121,539969,12057,58252,88670,186710,194280,1709,173257,2811,115275,83926,113234,0,187143,-73909,763566,765,0,53558,12919,15395,680929,0,692829,-11900,104890,0,18678,16440,561511,123768,63375,7550
2001:Q2,1077059,12333,9610,2409,539992,11216,58227,88813,187115,194621,1742,181252,3038,119580,83640,123463,0,199199,-75736,781699,707,0,57678,11948,15233,696133,0,713123,-16990,102818,0,19367,17126,575314,129708,69491,8101
2001:Q3,1086646,14239,11382,1495,546467,14653,58797,93453,181324,198241,1786,166181,2750,124845,83635,133866,0,211251,-77385,813060,350,0,61792,11912,15721,723285,0,743436,-20151,103606,0,19955,17728,599140,135646,75605,8650
2001:Q4,1239604,13733,10613,1795,562571,13035,61234,98657,184537,205108,1954,176575,3974,124082,66021,278286,0,223305,54981,922261,1655,0,65910,11279,16647,826770,0,757589,69181,91474,0,20497,18286,606803,141586,81719,9200
2002:Q1,1267385,17635,9982,2707,573041,10741,63953,103536,188065,206746,1956,179378,3984,130771,70983,276948,0,227874,49074,941461,1195,0,70044,10727,16775,842720,0,770655,72065,91645,0,20580,19084,617420,143535,84339,9700
2002:Q2,1282350,17910,10161,2697,585844,10490,67176,108494,191465,208219,1979,167061,3623,138244,72555,282276,0,232442,49834,961959,1350,0,74183,9332,16155,860939,0,789694,71245,95158,0,21514,19691,634010,145483,86959,10201
2002:Q3,1297136,26319,13441,2853,600948,13945,72155,112823,193719,208306,1982,149007,3182,141716,72333,285355,0,237009,48346,981771,1784,0,78316,9216,15443,877012,0,810482,66530,96001,0,22288,20205,652351,147431,89578,10700
2002:Q4,1347919,26671,15633,2740,625823,16026,77966,119598,199644,212589,2066,155573,3326,141918,82858,291311,0,241577,49734,1007139,941,0,82451,10098,14573,899076,0,823570,75506,66536,0,22904,20292,662991,149379,92198,11200
2003:Q1,1372269,30958,14076,3446,637952,13383,79434,119843,208331,216961,2072,150011,3543,145716,83820,300675,0,243904,56771,1034640,3458,0,82790,8160,13558,926674,0,841746,84928,65422,0,23446,20803,680553,149417,94487,11776
2003:Q2,1415627,37113,15343,3689,654812,14587,83421,119577,216562,220665,2015,165631,4282,147504,86305,298933,0,246232,52701,1056133,6309,0,83133,8295,13597,944799,0,855754,89045,66554,0,24403,20938,693949,149455,96777,12350
2003:Q3,1439857,36181,15078,3616,674091,14259,86829,120201,226762,226040,2008,169813,4716,147393,88355,298606,0,248559,50047,1072998,3112,0,83472,8610,12813,964991,0,876857,88134,66914,0,25244,21131,714438,149493,99066,12926
2003:Q4,1484429,35553,14691,3297,699615,14025,90827,121775,239499,233489,2179,185024,5443,143554,108769,286304,0,250885,35419,1095447,2134,0,83816,8188,13099,988210,0,881685,106525,87912,0,25451,21725,718655,149530,101355,13500
2004:Q1,1511480,32101,13770,3517,727547,12400,94991,122954,253993,243209,2239,190324,5826,146066,114854,275236,0,251487,23749,1104594,1224,0,83250,9917,13398,996805,0,893412,103393,88376,0,26380,22592,730062,149858,101629,13492
2004:Q2,1533835,32091,12489,3619,744024,10496,97249,122035,265024,249220,2315,193003,6063,148431,117967,273833,0,252089,21744,1116883,2598,0,82683,9257,12705,1009640,0,907458,102182,87807,0,27290,22885,743788,150185,101904,13485
2004:Q3,1570980,35356,13595,4085,770282,10882,104838,121200,277293,256069,2430,192982,6281,149124,121099,275746,0,252690,23056,1151695,1297,0,82111,8987,12320,1046980,0,933370,113610,86705,0,27480,23215,769380,150513,102177,13477
2004:Q4,1593572,26825,13837,2091,791013,12684,110862,119201,287510,260756,2511,202674,7017,141856,115190,290558,0,253291,37267,1159877,1156,0,81546,10045,10692,1056438,0,933998,122440,80486,0,27862,22847,769689,150840,102451,13469
2005:Q1,1622008,24940,13984,2477,813783,13634,112239,121385,300438,266087,2560,196692,7077,143737,116224,300534,121,261095,39318,1173159,1862,661,82558,9384,10949,1067745,0,950404,117341,83100,0,28394,23332,783250,152352,108743,14802
