1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1972:Q4,51263,199,0,752,1900,414,1245,241,0,0,47050,16373,0,8394,7979,30677,19464,0,19464,2119,0,2119,9094,0,1362,49922,0,43542,0,43542,0,6380
1973:Q1,54043,234,0,1214,1336,159,935,242,0,0,49595,17715,0,9295,8420,31880,19939,0,19939,2374,0,2374,9567,0,1664,52602,0,45546,0,45546,0,7056
1973:Q2,59088,210,0,1943,837,190,337,310,0,0,54387,20828,0,9683,11145,33559,20534,0,20534,2948,0,2948,10077,0,1711,57570,0,50584,0,50584,0,6986
1973:Q3,65822,214,0,2393,855,94,448,313,0,0,60051,24205,0,9907,14298,35846,21840,0,21840,3481,0,3481,10525,0,2309,64201,0,56671,0,56671,0,7530
1973:Q4,70039,297,0,3033,1688,221,1145,322,0,0,62672,24922,0,9775,15147,37750,22839,0,22839,3963,0,3963,10948,0,2349,68371,0,59837,0,59837,0,8534
1974:Q1,70321,271,0,1625,1780,343,1124,313,0,0,64537,25658,0,10663,14995,38879,23056,0,23056,4524,0,4524,11299,0,2108,68553,0,59877,0,59877,0,8676
1974:Q2,76014,217,0,1954,1329,261,756,312,0,0,71079,28929,0,11287,17642,42150,24865,0,24865,5108,0,5108,12177,0,1435,74132,0,65391,0,65391,0,8741
1974:Q3,83969,239,0,2255,1396,267,819,310,0,0,78334,32795,0,12023,20772,45539,26980,0,26980,5682,0,5682,12877,0,1745,81918,0,73048,0,73048,110,8760
1974:Q4,88189,284,0,2064,2987,1097,1441,449,0,0,82321,34227,0,12423,21804,48094,28441,0,28441,6169,0,6169,13484,0,533,86047,0,76439,0,76439,695,8913
1975:Q1,88832,234,0,1458,6431,1799,4248,384,0,0,80247,30716,0,12552,18164,49531,28444,0,28444,6388,0,6388,14699,0,462,86636,0,76072,0,76072,953,9611
1975:Q2,90048,230,0,2136,5639,1717,3523,399,0,0,81157,30195,0,13392,16803,50962,29027,0,29027,6428,0,6428,15507,0,886,87629,0,76022,0,76022,1247,10360
1975:Q3,90691,204,0,1213,4290,867,3024,399,0,0,83193,30982,0,13500,17482,52211,30197,0,30197,6407,0,6407,15607,0,1791,88074,0,76956,0,76956,1408,9710
1975:Q4,93378,281,0,1777,4545,1186,2935,424,0,0,85279,31819,0,13974,17845,53460,30934,0,30934,6410,0,6410,16116,0,1496,90967,0,78781,0,78781,1559,10627
1976:Q1,94191,285,0,2083,6058,1595,4093,370,0,0,84478,30357,0,14600,15757,54121,31064,0,31064,6275,0,6275,16782,0,1287,91724,0,79029,0,79029,1534,11161
1976:Q2,94434,265,0,1702,6085,1860,3847,378,0,0,85498,30878,0,15604,15274,54620,30856,0,30856,6279,0,6279,17485,0,884,91753,0,79556,0,79556,1534,10663
1976:Q3,96520,217,0,1310,5891,1330,4205,356,0,0,88018,32112,0,16050,16062,55906,31540,0,31540,6284,0,6284,18082,0,1084,93709,0,80871,0,80871,1490,11348
