1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1969:Q3,77271,10871,38699,27448,253,77271,9871,201,200,343,0,39235,0,201,197,23488,1150,713,428,0,179,1065
1969:Q4,79051,11020,39293,28450,288,79051,9756,236,300,365,0,39776,0,236,200,24370,1172,696,444,0,199,1301
1970:Q1,78950,11335,51390,15935,290,78950,9019,194,400,389,92,40082,0,194,208,24662,1178,714,459,0,135,1224
1970:Q2,81253,11521,52021,17411,300,81253,9781,202,500,411,117,40498,0,202,220,25145,1176,764,474,0,337,1426
1970:Q3,84057,11739,52988,18982,348,84057,10869,208,600,425,165,41280,0,208,233,25495,1203,806,486,0,440,1639
1970:Q4,86503,11907,54052,20178,366,86503,10838,214,700,439,187,42494,0,214,245,26018,1176,911,496,0,541,2030
1971:Q1,87700,12186,54948,20176,390,87700,10189,219,800,453,251,43401,0,219,245,26422,1178,908,507,0,661,2247
1971:Q2,90090,12116,55648,21913,413,90090,9647,199,900,465,300,45277,0,199,240,26847,1148,921,518,0,844,2585
1971:Q3,93327,12351,56286,24266,424,93327,9157,220,1000,501,397,47616,0,220,233,27497,1136,913,554,0,984,2899
1971:Q4,96983,12482,58057,25988,456,96983,8604,239,1100,539,413,49960,0,239,223,28503,1269,924,589,0,1141,3240
1972:Q1,100034,12696,60818,26032,488,100034,8567,237,1200,550,504,51987,0,237,215,28853,1276,949,506,0,1498,3455
1972:Q2,104306,12882,61725,29075,624,104306,8726,199,1300,544,593,54804,0,199,204,29353,1210,948,542,0,1771,3913
1972:Q3,108330,13096,63088,31447,699,108330,8841,271,1400,537,599,57598,0,271,193,30060,1155,988,582,0,1547,4288
1972:Q4,114168,13249,65492,34656,771,114168,9307,226,1500,320,664,60601,0,226,181,31608,1096,1070,867,0,1535,4967
1973:Q1,118253,13526,67475,36398,854,118253,8931,264,1567,314,752,63363,20,264,176,32307,1092,1178,867,0,1699,5459
1973:Q2,124008,13559,73412,36091,946,124008,9150,300,1626,263,783,66767,14,300,173,33363,1055,1335,970,0,1739,6170
1973:Q3,129035,13796,83765,30525,949,129035,8458,312,1665,331,816,69917,30,312,171,34651,1020,1393,950,0,1889,7120
1973:Q4,133706,13862,94595,24277,972,133706,8253,324,1688,218,857,72208,52,324,166,36496,1071,1544,1124,0,1905,7476
1974:Q1,137455,14154,96319,25965,1017,137455,8228,397,1764,272,925,74282,60,397,164,37397,1081,1622,1118,0,2018,7730
1974:Q2,142377,14185,96664,30505,1023,142377,8190,471,1830,419,977,77421,66,471,162,38579,1068,1733,1065,0,2226,7699
1974:Q3,145045,14432,93865,35706,1042,145045,7178,617,1869,1524,982,79205,82,617,161,39739,1057,1784,0,0,2362,7868
1974:Q4,148279,14474,93104,39642,1059,148279,7152,746,1888,1629,1198,80061,100,746,157,41256,1064,2013,0,0,2597,7672
1975:Q1,150411,14686,93178,41490,1057,150411,8016,813,1860,1700,1254,80755,215,807,151,42268,1107,2120,0,0,2542,6803
1975:Q2,153431,14703,93999,43691,1039,153431,8707,860,1836,1863,1254,82660,348,822,172,43265,1102,2236,0,0,2438,5868
1975:Q3,157058,14986,95509,45554,1010,157058,9601,944,1820,1946,1251,85457,286,874,191,44042,1123,2319,0,0,2539,4665
1975:Q4,161019,14997,96996,48014,1012,161019,10021,1035,1811,2138,1242,88282,185,928,221,45196,1166,2313,0,0,2677,3804
1976:Q1,163221,15185,96332,50651,1053,163221,9758,1353,1812,2218,1244,89854,165,902,221,45887,1166,2346,0,0,2795,3500
1976:Q2,166345,15356,98307,51548,1134,166345,9704,1351,1842,2255,1243,92226,162,875,245,46479,1158,2421,-10,0,3203,3191
1976:Q3,170146,15497,100682,52762,1205,170146,9704,1327,1940,2424,1264,94994,128,855,244,47336,1158,2506,0,0,3391,2875
1976:Q4,174189,15558,102590,54701,1340,174189,9386,1329,2096,2512,1245,97521,89,838,273,48864,1228,2559,0,0,3697,2552
1977:Q1,177453,15708,103331,57087,1327,177453,9275,1336,2166,2634,1288,99504,91,804,327,49557,1270,2579,0,0,4243,2379
1977:Q2,180348,15943,105322,57818,1265,180348,8768,1352,2271,2806,1281,101510,102,770,368,50447,1359,2714,0,0,4393,2207
1977:Q3,185795,16093,109046,59429,1227,185795,8772,1492,2461,2966,1281,104926,81,860,395,51797,1336,2772,0,0,4622,2034
1977:Q4,193261,16318,114462,61268,1213,193261,8848,1612,2722,3094,1282,108960,55,930,384,54435,1334,2925,0,0,4819,1861
1978:Q1,197958,16583,117465,62902,1008,197958,8745,1473,2910,3746,1296,112104,67,770,375,55652,1328,2919,0,0,4742,1831
1978:Q2,203343,16910,121171,64157,1105,203343,8734,1347,3138,3405,1293,116469,86,594,365,57245,1377,2851,0,0,4641,1798
