1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1973:Q1,263742,612,304,0,0,52185,0,3687,2284,1622,44592,6632,21487,0,182522,0,182522,0,263742,263742,81220,182522,263742,0
1973:Q2,265008,664,429,0,0,53471,0,3460,2480,1536,45995,6821,20326,0,183297,0,183297,0,265008,265008,81711,183297,265008,0
1973:Q3,266472,600,660,0,0,54945,0,3028,2840,1650,47427,6888,22451,0,180928,0,180928,0,266472,266472,85544,180928,266472,0
1973:Q4,268073,544,800,0,0,55970,0,2508,3334,1691,48437,7141,20200,0,183418,0,183418,0,268073,268073,84655,183418,268073,0
1974:Q1,275895,359,887,0,0,57235,0,1840,3817,1845,49733,7277,21039,0,189098,0,189098,0,275995,275995,86897,189098,275895,0
1974:Q2,284028,305,1183,0,0,58908,0,1886,4145,1444,51433,7330,19295,0,197007,0,197007,0,284137,284137,87130,197007,284028,0
1974:Q3,292410,270,1373,0,0,60758,0,1515,4401,1248,53594,7423,14477,0,208109,0,208109,0,292529,292529,84420,208109,292410,0
1974:Q4,301001,254,1543,0,0,61684,0,1585,4583,983,54533,7702,16400,0,213418,0,213418,0,301131,301131,87713,213418,301001,0
1975:Q1,310055,317,1811,0,0,63492,0,1559,4719,789,56425,7705,20263,0,216467,0,216467,0,310199,310199,93732,216467,310055,0
1975:Q2,319353,332,1688,0,0,65872,0,2215,4836,728,58093,7810,24371,0,219280,0,219280,0,319510,319510,100230,219280,319353,0
1975:Q3,328849,296,1342,0,0,67748,0,2548,5045,906,59249,7875,22267,0,229321,0,229321,0,329018,329018,99697,229321,328849,0
1975:Q4,338425,275,1171,0,0,70714,0,2540,5254,1940,60980,7542,24300,0,234423,0,234423,0,338607,338607,104184,234423,338425,0
1976:Q1,339424,265,1065,0,0,73056,0,3058,5536,2193,62269,7543,28204,0,229291,0,229291,0,339620,339620,110329,229291,339424,0
1976:Q2,340510,285,1133,0,0,76687,0,3632,5855,3150,64050,7623,28717,0,226065,0,226065,0,340723,340723,114658,226065,340510,0
1976:Q3,341818,254,1055,0,0,78968,0,3900,6275,3383,65410,7625,29254,0,224662,0,224662,0,342048,342048,117386,224662,341818,0
1976:Q4,343332,266,1148,0,0,79959,0,4057,6836,3360,65706,7732,30100,0,224127,0,224127,0,343580,343580,119453,224127,343332,0
1977:Q1,351267,236,1098,0,0,81459,0,4712,8412,2872,65463,7684,28699,0,232091,0,232091,0,351540,351540,119449,232091,351267,0
1977:Q2,359513,300,1401,0,0,84540,0,6568,8619,3628,65725,7864,29936,0,235472,0,235472,0,359809,359809,124337,235472,359513,0
1977:Q3,368040,320,1483,0,0,87795,0,6757,8839,3556,68643,7622,29322,0,241498,0,241498,0,368361,368361,126863,241498,368040,0
1977:Q4,376726,280,1416,0,0,91175,0,6760,9585,3544,71286,8041,30000,0,245814,0,245814,0,377074,377074,131260,245814,376726,0
1978:Q1,386059,332,1758,0,0,94464,0,7624,10968,3386,72486,8082,29203,0,252220,0,252220,0,386437,386437,134217,252220,386059,0
1978:Q2,395629,387,2043,0,0,98950,0,9095,11351,3732,74772,8246,32043,0,253960,0,253960,0,396043,396043,142083,253960,395629,0
1978:Q3,405478,419,2436,0,0,102405,0,9543,11921,3668,77273,8407,35155,0,256656,0,256656,0,405931,405931,149275,256656,405478,0
1978:Q4,415548,385,2354,0,0,107409,0,9454,13965,3951,80039,8586,33300,0,263514,0,263514,0,416043,416043,152529,263514,415548,0
1979:Q1,426542,459,2747,0,0,109371,0,10677,14432,4073,80189,8797,35504,0,269664,0,269664,0,427095,427095,157431,269664,426542,0
1979:Q2,437853,479,2844,0,0,113753,0,13327,14496,3867,82063,9017,35908,0,275852,0,275852,0,438469,438469,162617,275852,437853,0
1979:Q3,449456,484,3055,0,0,114725,0,13287,14065,3880,83493,9322,38316,0,283554,0,283554,0,450141,450141,166587,283554,449456,0
1979:Q4,464630,566,3458,0,0,116955,0,14706,15360,3910,82979,9604,37100,3397,293550,0,293550,0,465383,461986,168436,293550,461233,3397
1980:Q1,469952,616,3569,0,0,122397,0,16159,15981,4101,86156,10054,34654,3562,295100,0,295082,18,470757,467195,172113,295082,466390,3562
1980:Q2,475483,664,3556,0,0,129872,0,17582,17783,4025,90482,10295,38460,3731,288905,0,288870,35,476343,472612,183742,288870,471752,3731
1980:Q3,481668,589,3559,0,0,133641,0,19999,18052,3921,91669,10597,41618,4168,287496,0,287443,53,482586,478418,190975,287443,477500,4168
1980:Q4,488134,603,3684,0,0,136284,0,20927,19083,4059,92215,10890,44300,4551,287822,0,287752,70,489123,484572,196820,287752,483583,4551
1981:Q1,504466,784,4107,0,0,139477,0,22432,20201,3920,92924,11166,45689,4781,298462,0,298374,88,505533,500752,202378,298374,499685,4781
1981:Q2,521112,716,3761,0,0,146259,0,24531,20948,3995,96785,11602,46506,4818,307450,0,307345,105,522254,517436,210091,307345,516294,4818
1981:Q3,537777,743,4296,0,0,149946,0,25215,22121,3859,98751,12200,43646,4379,322567,0,322444,123,538991,534612,212168,322444,533398,4379
1981:Q4,555599,624,3813,0,0,156449,0,27564,24250,3856,100779,12519,47800,4766,329628,0,329487,141,556899,552133,222646,329487,550833,4766
1982:Q1,571038,652,3972,0,0,162435,0,29545,27237,3651,102002,12990,45088,4509,341392,0,341221,171,572410,567901,226680,341221,566529,4509
1982:Q2,587282,760,4610,0,0,168574,0,32417,27893,3848,104416,13226,44136,4535,351441,0,351239,202,588710,584175,232936,351239,582747,4535
1982:Q3,604646,836,5083,0,0,174283,0,35849,31339,3550,103545,13667,50162,5089,355526,0,355293,233,606118,601029,245736,355293,599557,5089
1982:Q4,622960,981,5992,0,0,176919,0,36898,34310,3131,102580,13773,60200,6096,358999,0,358735,264,624464,618368,259633,358735,616864,6096
1983:Q1,635255,1202,7350,0,164,180066,164,39812,35339,2363,102388,13983,68737,6827,356926,0,356627,299,636840,630013,273386,356627,628428,6827
1983:Q2,648181,1226,7757,0,406,184530,406,43672,36156,2483,101813,14099,81807,7645,350711,0,350360,351,649850,642205,291845,350360,640536,7645
1983:Q3,660806,1161,7305,0,695,182817,695,46278,36406,2423,97015,14149,87559,7746,359374,0,358952,422,662574,654828,295876,358952,653060,7746
