1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2019:Q1,-19676,-2368,-3096,-868,-28,-204,-636,-13344,-19760,24480,-15920,-8208,-7712,-4692,-3020,-28320
2019:Q2,19236,14644,1788,5768,-24,80,5712,-2964,59220,52152,-9564,-6360,-3204,-1228,-1976,16632
2019:Q3,35964,27560,-96,5580,-24,544,5060,2920,73448,56072,-3248,-5424,2176,-2240,4416,20624
2019:Q4,-2144,-13732,1532,4352,-312,1524,3140,5704,30124,11324,12776,-3376,16152,3608,12544,6024
2020:Q1,159380,127504,792,3084,48,-760,3796,28000,185240,22816,154044,150976,3068,2528,540,8380
2020:Q2,-4560,-9968,1904,780,12,108,660,2724,-3456,109428,-116844,-111644,-5200,1424,-6624,3960
2020:Q3,-30912,-48792,584,18916,56,208,18652,-1620,-20368,8288,-40032,-48132,8100,-3336,11436,11376
2020:Q4,5100,-21860,1576,1348,0,2664,-1316,24036,46920,29872,7012,4408,2604,3280,-676,10036
2021:Q1,27820,-8,9160,9740,28,2212,7500,8928,6348,30400,-19572,2856,-22428,528,-22956,-4480
2021:Q2,60376,5744,8548,-2352,24,-120,-2256,48436,71248,47864,-11416,-4744,-6672,-1388,-5284,34800
2021:Q3,33044,10008,11892,-1028,32,-368,-692,12172,18144,15796,-7448,-14732,7284,768,6516,9796
2021:Q4,33492,-15460,-2068,6068,1296,-752,5524,44952,68556,51140,6804,25464,-18660,-4668,-13992,10612
