1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1958:Q2,26876,0,1693,1945,3524,0,0,6346,911,4811,0,0,624,0,ND,6840,0,630,0,0,5898,0,26006,2084,132,0,4427,0,4427,ND,14436,1757,12679,863,0,0,1026,3038,670,2368,0,0,0,2514,25359,0,0
1958:Q3,28095,0,1654,1596,3534,0,0,7141,868,5649,0,0,624,0,ND,7537,0,643,0,0,5990,0,26539,2031,172,0,4515,0,4515,ND,14776,1923,12853,860,0,0,1041,3144,670,2474,0,0,0,2786,25736,0,0
1958:Q4,29455,0,1473,2006,3414,0,0,7523,843,6035,0,0,645,0,ND,8305,0,619,0,0,6115,0,26962,1958,149,0,4734,0,4734,ND,15114,1991,13123,871,0,0,1066,3070,670,2400,0,0,0,3095,26343,0,0
1959:Q1,30368,0,1636,1950,3444,0,0,7946,753,6542,0,0,651,0,ND,8475,0,673,0,0,6244,0,26952,1793,143,0,4903,0,4903,ND,15059,1894,13165,840,0,0,1088,3126,670,2456,0,0,0,3193,26883,0,0
1959:Q2,32798,0,1544,2122,3084,0,0,9867,744,8454,0,0,669,0,ND,9039,0,734,0,0,6408,0,27846,2111,137,0,4968,0,4968,ND,15346,1929,13417,910,0,0,1119,3255,670,2585,0,0,0,3451,27650,0,0
1959:Q3,33591,0,1416,2046,2873,0,0,11068,729,9635,0,0,704,0,ND,8906,0,748,0,0,6534,0,27991,2085,145,0,5098,0,5098,ND,15527,2010,13517,914,0,0,1139,3083,670,2413,0,0,0,3452,28156,0,0
1959:Q4,34574,0,1415,2140,2575,0,0,11706,757,10360,0,0,589,0,ND,9363,0,771,0,0,6604,0,28019,1997,132,0,5207,0,5207,ND,15477,2139,13338,964,0,0,1160,3082,670,2412,0,0,0,3689,28667,0,0
1960:Q1,34309,0,1703,1576,2475,0,0,12092,1083,10387,0,0,622,0,ND,8811,0,945,0,0,6707,0,28441,1888,121,0,5486,0,5486,ND,15576,2050,13526,964,0,0,1183,3223,670,2553,0,0,0,3544,29233,0,0
1960:Q2,35235,0,2059,1873,2603,0,0,11990,1041,10296,0,0,653,0,ND,9081,0,847,0,0,6782,0,29178,1807,140,0,5611,0,5611,ND,15870,2021,13849,1100,0,0,1197,3453,750,2703,0,0,0,3753,29576,0,0
1960:Q3,35471,0,2293,1836,2822,0,0,12336,1234,10429,0,0,673,0,ND,8460,0,841,0,0,6883,0,29591,1705,191,0,5687,0,5687,ND,16135,2030,14105,1114,0,0,1211,3548,750,2798,0,0,0,3580,29927,0,0
