1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1971:Q4,204451,1305,7270,0,1321,31345,0,2125,606,28614,3658,88651,1150,69751,0,2199,57859,9693,205877,168094,110235,57859,166668,37783
1972:Q1,211278,1413,7513,0,1474,32197,308,2540,858,28491,3332,96231,1237,67881,0,2350,54616,10915,212862,172080,117464,54616,170496,40782
1972:Q2,217384,1471,7821,0,1707,33828,794,2451,1207,29376,3133,97083,1330,71011,0,2426,55649,12936,219066,176286,120637,55649,174604,42780
1972:Q3,224179,1577,8155,0,1948,36295,1322,2623,1741,30609,2865,99365,1419,72555,0,2537,55020,14998,225963,180600,125580,55020,178816,45363
1972:Q4,231909,1790,8511,0,2130,37818,1755,3381,2078,30604,2728,107817,1494,69621,0,2722,50454,16445,233770,184824,134370,50454,182963,48946
1973:Q1,235864,1889,8891,0,2260,39986,2104,3725,2598,31559,2514,102259,1555,76510,0,2695,56170,17645,237829,188842,132672,56170,186877,48987
1973:Q2,239107,2016,9232,0,2348,41224,2382,4011,2788,32043,2439,95599,1603,84646,0,2634,63511,18501,241212,192894,129383,63511,190789,48318
1973:Q3,246596,2340,9680,0,2427,43334,2677,4711,2968,32978,2361,104779,1647,80028,0,2826,58182,19020,248858,197203,139021,58182,194941,51655
1973:Q4,249473,2455,10027,0,2530,44383,3079,5379,3192,32733,2376,93557,1695,92450,0,2697,69686,20067,251894,201926,132240,69686,199505,49968
1974:Q1,256356,2604,10444,0,2645,45609,3554,6109,3252,32694,2393,96863,1734,94064,0,2791,70258,21015,258905,206968,136710,70258,204419,51937
1974:Q2,260809,2840,10873,0,2765,47142,4069,6912,3264,32897,2377,88565,1751,104496,0,2718,79617,22161,263523,212322,132705,79617,209608,51201
1974:Q3,262224,3093,11331,0,2894,50161,4670,8235,3511,33745,2368,66279,1790,124308,0,2459,98259,23590,265154,217656,119397,98259,214726,47498
1974:Q4,270820,3366,11957,0,3041,53276,5403,8559,4305,35009,2372,74755,1895,120158,0,2670,92791,24697,273966,222589,129798,92791,219443,51377
1975:Q1,284013,3626,12495,0,3211,57738,6329,9623,4673,37113,2409,91897,2065,110572,0,3035,81676,25861,287453,226943,145267,81676,223503,60510
1975:Q2,296025,3915,13151,0,3575,61567,7508,10516,4900,38643,2378,110006,2301,99132,0,3436,66956,28740,299697,231031,164075,66956,227359,68666
1975:Q3,301087,4183,13832,0,4042,65452,8447,11896,4981,40128,2366,99892,2559,108761,0,3431,72385,32945,304947,235234,162849,72385,231374,69713
1975:Q4,310442,4400,14454,0,4346,68839,9066,12396,5466,41911,2383,107999,2795,105226,0,3665,66111,35450,314515,239903,173792,66111,235830,74612
1976:Q1,321167,4617,15095,0,4385,71900,9892,13613,5951,42444,2383,123664,2795,96328,0,3965,56866,35497,325311,245134,188268,56866,240990,80177
1976:Q2,326526,4704,15646,0,4140,74899,10440,15211,6326,42922,2383,123557,3033,98164,0,3984,60902,33278,330742,250871,189969,60902,246655,79871
1976:Q3,334078,4619,16096,0,4386,75059,10756,16371,6517,41415,2373,123523,3297,104725,0,4032,65248,35445,338370,256841,191593,65248,252549,81529
1976:Q4,342610,4510,16639,0,4736,75346,10952,18075,6075,40244,2414,125501,3534,109930,0,4130,67307,38493,346977,262636,195329,67307,258269,84341
1977:Q1,349659,4499,17300,0,5319,76217,11138,17873,7089,40117,2420,118706,3692,121506,0,4140,73641,43725,354147,268038,194397,73641,263550,86109
1977:Q2,357429,4567,18034,23,5335,80103,11272,19957,7630,41244,2539,123183,3771,119874,0,4284,71857,43733,362044,273389,201532,71857,268774,88655
1977:Q3,365449,4694,18821,53,5803,81566,11309,20080,8610,41567,2486,120475,3771,127780,0,4348,75551,47881,370194,279082,203531,75551,274337,91112
1977:Q4,373256,4835,19644,94,5717,85675,11314,21308,8501,44552,2497,123610,3746,127438,0,4459,75987,46992,378135,285369,209382,75987,280490,92766
1978:Q1,382884,4944,20592,150,6268,86654,11350,21477,8472,45355,2559,122074,3750,135893,0,4551,79480,51862,387951,291981,212501,79480,286914,95970
1978:Q2,394100,5031,21590,212,6136,91407,11335,22185,8423,49464,2647,137026,3750,126301,0,4845,71078,50378,399353,298574,227496,71078,293321,100779
1978:Q3,406998,5119,22509,272,6488,93994,11173,21089,9974,51758,2706,154397,3708,117805,0,5214,59414,53177,412460,304185,244771,59414,298723,108275
1978:Q4,413048,5184,23660,359,6935,96009,11162,23179,8681,52987,2721,150308,3715,124157,0,5270,61741,57146,418723,308103,246362,61741,302428,110620
1979:Q1,424819,5207,24727,500,7253,99249,11593,23727,9895,54034,2798,162540,3862,118683,0,5571,53407,59705,430987,310727,257320,53407,304559,120260
1979:Q2,431607,5189,25677,688,7490,105441,12498,24928,10734,57281,2750,165969,4152,114251,0,5772,46839,61640,438288,313709,266870,46839,307028,124579
1979:Q3,443206,5142,26714,913,7532,112178,13894,25769,12004,60511,2968,178516,4585,104658,0,6095,36875,61688,450434,319654,282779,36875,312426,130780
1979:Q4,459357,5055,27894,1182,7768,117641,15396,25995,12559,63691,3139,175437,8079,113162,0,6196,43256,63710,467156,330836,287580,43256,323037,136320
1980:Q1,472095,4919,28830,1500,7979,124722,16621,27203,13343,67555,3191,167538,8658,124758,0,6240,52946,65572,480601,347595,294649,52946,339089,133006
1980:Q2,502887,4721,29699,1845,8189,133066,17671,29387,15027,70981,3263,190278,9302,122524,0,6761,48827,66936,512096,368745,319918,48827,359536,143351
1980:Q3,534557,4447,30520,2195,8485,140604,18650,30569,16447,74938,3471,210012,10352,124471,0,7241,48109,69121,544499,391576,343467,48109,381634,152923
1980:Q4,560725,4162,31827,2633,8378,147815,19531,32215,18345,77724,3564,223468,11184,127694,0,7566,52291,67837,571432,412620,360329,52291,401913,158812
1981:Q1,579272,3931,32923,3244,8237,153623,20286,33352,20305,79680,3748,226132,11378,136056,0,7697,61919,66440,590849,429638,367719,61919,418061,161211
1981:Q2,593569,3740,33727,4134,8355,160053,21787,34543,22926,80797,3871,221214,10829,147646,0,7753,72448,67445,606133,442842,370394,72448,430278,163291
1981:Q3,601773,3571,34960,5413,8525,165892,23227,34755,25713,82197,3878,202367,9209,167958,0,7600,91231,69127,615291,453076,361845,91231,439558,162215
1981:Q4,616832,3426,36476,6564,8258,174716,24505,46684,20199,83328,3913,218479,8297,156703,0,7953,82382,66368,631519,461922,379540,82382,447235,169597
1982:Q1,627746,2924,39585,7030,7728,188462,21975,56035,23902,86550,3913,224417,7926,145761,0,8215,76213,61333,644158,470987,394774,76213,454575,173171
1982:Q2,643231,2818,43034,6030,7840,199167,20607,62040,27580,88940,5386,229366,8486,141104,0,8534,70545,62025,660256,482333,411788,70545,465308,177923
1982:Q3,674851,2569,46147,5071,8648,207946,17800,67904,29696,92546,6361,266987,9890,121232,0,9410,43404,68418,692625,497787,454383,43404,480013,194838
1982:Q4,702148,2259,49416,4688,8705,217596,15203,75171,31997,95225,7770,282916,11240,117558,0,9871,39216,68471,720443,518242,479026,39216,499947,202201
1983:Q1,741924,2113,53491,4877,9291,226423,14243,79729,33229,99222,9056,319549,12410,104714,0,10730,21096,72888,762165,542586,521490,21096,522345,219579
1983:Q2,788690,2246,59049,5228,10383,233448,15302,83051,34441,100654,9709,361655,13627,93345,0,11738,-101,81708,811447,569514,569615,-101,546757,241933
1983:Q3,816350,2585,59222,5602,10372,248051,16997,89104,36972,104978,10569,354062,13732,112155,0,11868,18812,81475,839127,595586,576774,18812,572809,243541
1983:Q4,840629,2729,60873,5929,10596,257414,17247,93332,38890,107945,10124,350266,13889,128809,0,12011,33448,83350,863921,617138,583690,33448,593846,246783
1984:Q1,875109,3076,60168,6191,10166,263161,19581,95023,39302,109255,9892,323747,13796,184912,0,11629,93417,79866,896874,644883,551466,93417,623118,251991
1984:Q2,891442,3479,60020,6388,9894,257266,22113,92123,38414,104616,9369,308011,13274,223741,0,11259,134697,77785,912081,667294,532597,134697,646655,244787
1984:Q3,930331,3466,64875,6770,10593,275121,22171,98763,41402,112785,9041,339365,14673,206427,0,12189,111095,83143,951873,686825,575730,111095,665283,265048
1984:Q4,963415,3297,68025,6938,10909,296028,19609,108403,44618,123398,9735,358978,15515,193990,0,12913,95811,85266,985048,706165,610354,95811,684532,278883
1985:Q1,1017423,3536,73195,7429,11648,295012,19330,112153,46315,117214,11041,408196,16888,190478,0,13761,85642,91075,1039940,726782,641140,85642,704265,313158
1985:Q2,1039674,3781,79595,8015,12448,301886,19235,119439,49971,113241,11804,419105,18211,184829,0,14718,72794,97317,1063099,749170,676376,72794,725745,313929
1985:Q3,1056063,3821,78824,8239,12043,303540,19843,122973,52048,108676,11361,398654,18015,221566,0,14545,113176,93845,1078140,772440,659264,113176,750363,305700
1985:Q4,1191485,3281,76601,9087,19181,314830,21969,128551,67106,97204,14016,494946,21105,238438,131774,18707,-23961,111918,1215574,795192,819153,-23961,771103,420382
1986:Q1,1231306,2821,78044,9517,19264,329103,22481,131499,68646,106477,13862,549920,24969,203806,138808,18707,-63525,109816,1257137,811686,875211,-63525,785855,445451
1986:Q2,1247348,2431,78969,9427,19513,327777,23110,126849,66237,111581,12992,556234,25457,214548,140989,18707,-55625,110477,1274613,827063,882688,-55625,799798,447550
1986:Q3,1248970,2106,81702,10106,19857,336055,24000,125171,65490,121394,12609,486489,23831,276215,141730,18712,2447,113326,1277828,841888,839441,2447,813030,435940
1986:Q4,1281525,1902,86920,10990,20867,321538,25718,112795,59135,123890,11255,499172,24712,304169,146862,18742,10026,128539,1312364,856898,846872,10026,826059,455466
1987:Q1,1338660,1787,83688,11194,20680,325035,27248,112961,61479,123347,10096,622684,31727,231769,161214,19042,-87868,139381,1370002,870453,958321,-87868,839111,499549
1987:Q2,1377519,1707,83821,12008,21281,325972,29989,107248,68626,120109,9308,656616,36335,230471,171248,19492,-100382,140113,1409173,885218,985600,-100382,853564,523955
1987:Q3,1437123,1652,81144,12337,21224,332763,31972,110202,70435,120154,8725,693040,40555,245683,184348,20142,-116598,157791,1469351,901332,1017930,-116598,869104,568019
1987:Q4,1422181,1636,76103,12832,20444,338234,32975,112999,72258,120002,8205,507411,33224,424092,186265,20250,83270,134307,1454222,918605,835335,83270,886564,535617
1988:Q1,1459469,1836,76495,13450,20449,331869,30459,103552,80809,117049,9614,529276,35767,440713,184762,19750,99713,136488,1489282,933710,833997,99713,903897,555572
1988:Q2,1492330,2436,82766,14631,22142,333028,30414,104488,81456,116670,11269,541172,37444,447442,187501,19050,97605,143286,1520871,949314,851709,97605,920773,571557
1988:Q3,1506027,3536,82649,15113,21940,348593,27818,114250,83917,122608,13983,496969,36276,486968,183436,17800,130916,154816,1532485,965048,834132,130916,938590,567437
