1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1986:Q4,10556,530,10061,-4,-30,10556,736,736,316,492,1875,5350,0,150,-13,-12,-709,1709,165,-48,-191
1987:Q1,3509,174,3314,-9,30,3509,-1827,2074,-197,-30,3203,737,0,-18,-1034,-150,-531,1839,9,-638,72
1987:Q2,4749,238,4513,-2,1,4749,-450,744,-311,86,3144,-465,0,729,-139,-14,276,1150,19,-12,-8
1987:Q3,4452,222,4221,-3,12,4452,239,-331,-288,47,515,2791,0,305,159,-78,-123,1004,190,-97,119
1987:Q4,4143,204,3878,-1,62,4143,0,-471,-133,266,133,2915,0,556,-82,-114,72,520,146,188,147
1988:Q1,11952,598,11358,0,-4,11952,0,1556,4280,96,209,3339,0,178,270,-57,171,1350,253,217,90
1988:Q2,-2365,-119,-2253,1,6,-2365,0,2473,-8561,-236,201,1595,0,493,429,-31,313,798,9,140,12
1988:Q3,3307,166,3151,-2,-8,3307,0,-6681,6462,256,215,45,0,533,257,-40,247,1509,55,286,163
1988:Q4,5268,259,4917,-4,96,5268,0,-456,348,218,468,1557,0,832,136,-44,372,1572,121,-106,250
1989:Q1,3305,164,3125,-1,16,3305,0,2278,-2243,326,360,720,0,441,-3,-37,315,1452,-33,-191,-80
1989:Q2,5165,258,4901,-1,7,5165,0,220,-310,235,239,1337,0,547,698,-60,491,1574,-15,229,-20
1989:Q3,824,39,744,-1,42,824,0,-387,-333,-336,59,-414,0,579,184,-93,541,925,35,110,-46
1989:Q4,1187,57,1086,0,43,1187,0,-96,-314,227,557,-1678,0,780,431,-73,1154,133,-1,17,50
1990:Q1,1910,93,1772,1,43,1910,0,2007,953,1704,338,-3271,0,648,-2830,-107,75,1099,39,1278,-23
1990:Q2,-5984,-301,-5723,-3,43,-5984,0,-3404,-41,2763,277,-6143,0,472,44,-2,-17,335,-33,-226,-9
1990:Q3,2325,112,2137,-1,76,2325,0,-36,-57,5210,136,-3583,0,73,22,-65,606,-191,-45,262,-7
1990:Q4,521,24,454,0,43,521,0,-289,-75,969,262,-3488,0,879,14,-9,526,1795,-46,152,-168
1991:Q1,1532,75,1433,1,23,1532,0,-317,-111,4412,393,-1603,0,514,-76,-30,-108,-1779,83,295,-141
1991:Q2,1246,61,1159,-1,27,1246,0,87,-142,3695,88,-2777,0,513,-100,-68,277,233,-28,-532,0
1991:Q3,-7547,-379,-7200,0,32,-7547,0,-1012,-212,-169,339,-6320,0,-44,-69,-78,101,-1250,1215,-48,0
1991:Q4,1451,69,1311,0,71,1451,0,209,-91,1007,146,-1706,0,-620,-89,-52,709,170,1642,127,0
1992:Q1,-180,-13,-238,0,71,-180,0,-106,6,1759,120,-2684,0,-250,-49,-165,504,-471,1138,66,-47
1992:Q2,-3847,-193,-3659,-2,7,-3847,0,-80,-14,-2865,332,-1708,0,-425,-58,-204,256,-631,1453,-30,127
1992:Q3,-3490,-176,-3350,0,36,-3490,0,-4,2,-1915,69,-602,0,-630,-33,-187,326,-591,-76,323,-172
1992:Q4,-5656,-286,-5441,0,71,-5656,0,22,-39,-1211,189,-4013,0,-816,-44,-127,544,-579,282,30,105
1993:Q1,-2097,-111,-2100,0,114,-2097,0,-47,-551,-1509,144,297,0,-132,6,-130,332,-628,206,-18,-67
1993:Q2,-2826,-147,-2791,0,112,-2826,0,83,-172,-1323,202,-1615,0,-267,-16,57,218,-651,762,10,-115
1993:Q3,-1274,-89,-1692,-1,508,-1274,0,82,-120,-1014,145,-287,0,-528,24,-32,514,-223,275,-85,-26
1993:Q4,1607,58,1099,-1,451,1607,0,-48,-259,-661,-16,15,0,1251,-17,36,625,129,553,72,-73
1994:Q1,-111,-46,-875,0,810,-111,0,179,-339,-527,173,-340,0,16,28,44,446,-149,107,-9,260
1994:Q2,1159,7,129,0,1023,1159,0,71,600,-597,160,-687,0,615,51,20,200,-16,593,40,108
1994:Q3,-108,-55,-1043,0,990,-108,0,42,85,684,255,-1010,0,-471,50,79,82,-243,256,89,-6
1994:Q4,-201,-30,-575,0,405,-201,0,76,301,-2120,355,-107,0,138,166,49,131,393,491,52,-125
1995:Q1,-586,-43,-820,0,277,-586,0,-198,-258,-585,270,229,0,-9,-1,51,243,-234,-40,150,-204
1995:Q2,2220,79,1493,0,648,2220,0,-197,-117,-1551,296,1682,0,36,-1,61,-43,1649,342,142,-79
1995:Q3,1133,38,725,0,370,1133,0,-198,-187,-1530,109,987,0,294,-2,55,161,820,348,365,-89
1995:Q4,3565,155,2948,0,462,3565,0,-194,-119,-648,211,-616,0,550,-1,57,178,2215,1454,685,-207
1996:Q1,888,21,405,0,462,888,0,451,-132,-723,251,-552,0,458,-1,59,173,910,252,73,-331
1996:Q2,3228,129,2452,-1,648,3228,0,51,-186,-155,229,834,0,435,-1,58,-405,1135,649,764,-180
1996:Q3,2438,83,1584,-1,772,2438,0,94,-63,-935,433,1687,0,-831,-1,60,-243,1767,957,-454,-33
1996:Q4,5777,253,4815,-2,711,5777,0,93,-71,-1039,924,544,0,1974,5,62,-289,1794,1939,-338,179
1997:Q1,312,-53,-1002,-2,1369,312,0,174,-232,-702,-2,68,0,-693,7,62,-372,1250,-37,779,10
1997:Q2,4041,135,2569,0,1337,4041,0,150,-90,-159,199,1030,0,628,8,62,-538,1418,1127,-92,298
1997:Q3,2218,83,1583,0,552,2218,0,150,-126,57,141,374,0,314,9,63,-300,1205,598,-445,178
1997:Q4,5456,190,3605,0,1661,5456,0,150,-97,-109,360,720,0,-597,-53,62,-277,1422,2904,560,411
1998:Q1,6619,293,5575,0,751,6619,0,-77,661,5,220,1919,0,-8,-12,243,-776,1201,3531,-363,75
1998:Q2,7290,283,5369,0,1638,7290,0,-77,661,-67,309,311,0,224,-11,563,-213,1398,4013,112,67
1998:Q3,8518,263,4988,0,3268,8518,0,-79,662,-158,2446,-1138,0,-53,-10,229,186,4187,2037,48,161
1998:Q4,13300,539,10237,0,2524,13300,0,-79,661,-50,2929,1365,0,1192,-79,255,763,3675,3206,-288,-250
1999:Q1,9543,394,7489,0,1660,9543,0,-42,-207,-17,462,3347,0,-478,60,107,974,2381,2977,86,-107
1999:Q2,6446,373,7085,0,-1012,6446,0,-42,-208,21,181,756,0,285,60,329,1544,2086,1657,-125,-98
1999:Q3,10614,492,9349,0,773,10614,0,-42,-207,14,146,5697,0,198,60,-32,1170,2092,1572,47,-101
1999:Q4,13840,659,12528,0,652,13840,0,-42,-207,-21,1087,5504,0,820,61,513,634,2664,2320,30,477
2000:Q1,6810,302,5729,0,780,6810,0,-17,-57,67,161,3485,0,-163,7,-398,1252,1624,987,52,-190
2000:Q2,8419,390,7408,0,621,8419,0,-17,-57,58,-308,4513,0,495,2,161,559,1927,1136,-17,-33
2000:Q3,5322,236,4480,0,606,5322,0,-17,-58,62,56,2263,0,328,8,-817,755,1953,756,144,-111
2000:Q4,8780,386,7339,0,1055,8780,0,-17,-57,123,-417,1826,0,203,0,99,1888,3007,2537,-167,-245
2001:Q1,4776,223,4243,0,310,4776,0,15,295,-609,-254,3617,0,-123,-251,-43,1812,3275,-2848,-102,-8
2001:Q2,11339,556,10563,0,220,11339,0,15,294,44,468,1036,0,300,203,-371,2018,4798,2553,-41,22
2001:Q3,9391,504,9582,0,-695,9391,0,16,294,243,-886,4641,0,29,190,141,1851,3246,-308,-67,1
2001:Q4,16099,722,13713,0,1664,16099,0,15,294,127,331,1065,0,1747,160,41,2546,4302,6040,-269,-300
2002:Q1,6193,269,5113,0,811,6193,0,10,-55,67,-621,2421,0,41,143,-10,1833,2858,440,-855,-79
2002:Q2,10346,520,9885,0,-59,10346,0,10,-55,101,-658,4867,0,149,119,241,1519,2160,2024,-200,69
2002:Q3,7117,330,6261,0,527,7117,0,11,-55,-505,-933,2851,0,104,112,201,2042,1843,1609,-115,-48
2002:Q4,16595,809,15369,0,417,16595,0,10,-55,861,1,3234,0,896,86,122,3112,6068,2551,-202,-89
