1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1975:Q4,100693,4956,94166,1073,498,100693,4756,2931,472,5993,6871,45254,0,19629,538,2359,6410,1175,0,1709,2596
1976:Q1,102169,5030,95570,1051,518,102169,4638,3335,495,6064,6733,46611,0,19565,538,2347,6275,1446,0,1813,2309
1976:Q2,103607,5101,96918,1029,559,103607,4313,3688,533,5975,6838,48610,0,19367,561,2364,6279,1469,0,1577,2033
1976:Q3,104909,5166,98153,997,593,104909,4104,4009,607,6327,7001,49552,0,19234,566,2313,6284,1558,0,1586,1768
1976:Q4,105895,5213,99040,982,660,105895,3894,4253,715,6214,7181,50681,0,19178,563,2328,6350,1659,0,1364,1515
1977:Q1,107142,5277,100263,949,653,107142,3762,4657,758,6254,7287,51590,0,18933,554,2315,6351,1924,0,1350,1407
1977:Q2,109746,5410,102794,919,623,109746,3490,5118,813,6321,7288,53640,0,18907,580,2287,6472,1987,0,1544,1299
1977:Q3,111835,5517,104820,894,604,111835,3396,5522,899,6293,7407,55345,0,18851,576,1998,6528,2212,0,1615,1193
1977:Q4,114279,5641,107172,869,597,114279,3273,5930,1014,6511,7469,56763,0,18823,552,2178,6403,2584,0,1691,1088
1978:Q1,116827,5774,109712,845,496,116827,3017,6359,1134,6859,7553,58506,0,18648,555,2213,6370,2885,0,1679,1049
1978:Q2,120272,5946,112965,818,544,120272,2985,6864,1262,6926,7750,60458,0,18688,553,2444,6176,3469,0,1686,1011
1978:Q3,122681,6065,115228,792,596,122681,2921,7261,1411,7332,7631,61605,0,18742,539,2499,6246,3736,0,1795,963
1978:Q4,125152,6187,117546,772,647,125152,2749,7655,1581,7453,7857,62245,0,19000,489,2738,6395,4097,0,1957,936
1979:Q1,127635,6311,119912,746,666,127635,2653,8073,1741,7663,8071,63278,0,19064,481,2891,6460,4353,0,1972,935
1979:Q2,129903,6427,122110,705,661,129903,2514,8539,1888,7760,8390,64130,0,19076,473,3051,6412,4686,0,2050,934
1979:Q3,132396,6553,124514,680,649,132396,2462,8982,2004,7948,8691,64790,0,19064,525,3253,6522,4974,0,2248,933
1979:Q4,135048,6688,127063,654,644,135048,2289,9492,2094,8570,9233,65289,0,19215,523,3305,6583,5318,0,2205,932
1980:Q1,137027,6788,128965,633,641,137027,2186,10112,2042,9005,9496,65797,0,19265,462,3530,6619,5397,0,2205,911
1980:Q2,138408,6859,130312,601,637,138408,2166,10313,2034,9811,9879,65641,0,19292,435,3584,6557,5618,0,2188,890
1980:Q3,140218,6951,132062,572,633,140218,1985,10445,2138,9978,10323,66276,0,19338,359,3745,6643,5832,0,2287,869
1980:Q4,142526,7067,134279,550,630,142526,1890,10538,2333,10428,10689,67005,0,19514,315,3817,6744,5976,0,2428,849
1981:Q1,143948,7140,135658,520,630,143948,1802,10409,2658,10864,10822,67604,0,19527,303,3951,6724,6111,0,2337,836
1981:Q2,144952,7191,136637,493,631,144952,1641,10206,3015,11261,11205,67569,0,19495,311,4164,6705,6201,0,2356,823
1981:Q3,146039,7247,137694,465,633,146039,1543,9934,3453,10873,11601,68011,0,19441,309,4576,6717,6374,0,2397,810
1981:Q4,142377,7065,134234,441,637,142377,1057,9279,3958,11386,11938,68488,0,19283,303,4739,5482,3228,0,2439,797
1982:Q1,143640,7129,135452,415,644,143640,1280,8865,4275,11291,12310,69096,0,19209,215,5091,5459,3267,0,2457,825
1982:Q2,144694,7183,136473,383,655,144694,2229,7710,4570,11613,12512,69485,0,19000,192,5101,5434,3375,0,2620,853
1982:Q3,144215,7160,136035,353,667,144215,2179,7453,4808,10764,12887,69214,0,18977,183,5302,5396,3480,0,2691,881
1982:Q4,146112,7256,137860,322,674,146112,2138,7624,5004,11078,13290,69906,0,18856,361,5378,5361,3589,0,2617,910
1983:Q1,147020,7302,138732,307,679,147020,2542,7184,5168,10756,13588,70273,0,18864,396,5535,5351,3882,0,2561,920
1983:Q2,150761,7490,142314,275,682,150761,3627,6878,5373,10794,14185,72002,0,18778,431,5653,5389,4155,0,2566,930
1983:Q3,155784,7742,147098,261,683,155784,4737,6335,5676,10605,14807,75324,0,18857,412,5703,5293,4606,0,2489,940
1983:Q4,161229,8015,152291,241,682,161229,5740,5423,6061,10731,15686,78749,0,19107,404,5966,5284,4820,0,2309,949
1984:Q1,167158,8312,157932,204,710,167158,5741,5554,6608,10246,16652,82855,0,19061,661,5994,5336,4953,0,2442,1055
1984:Q2,174957,8701,165321,180,755,174957,5697,5806,7141,10240,18060,87478,0,18984,637,6013,6157,5074,0,2516,1154
1984:Q3,180374,8971,170453,152,798,180374,5562,5854,7637,9864,19259,91162,0,18769,686,6024,6281,5501,0,2516,1259
1984:Q4,186145,9259,175927,141,818,186145,5359,6029,8108,10137,20187,94769,0,18938,721,6035,6510,5518,0,2490,1344
1985:Q1,182816,9094,172785,116,821,182816,1262,1262,8415,9898,20700,97969,0,19003,1093,6012,6752,6421,0,2648,1381
