1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2001:Q2,83820,0,51818,50822,640,0,356,3180,0,28823,83820,73948,9872
2001:Q3,79088,0,49875,45615,2728,0,1532,-4560,0,33774,79088,72692,6396
2001:Q4,90458,0,50891,46415,2840,0,1636,2376,0,37190,90458,76422,14036
2002:Q1,90537,0,49337,49573,-148,0,-88,5472,0,35729,90537,78393,12144
2002:Q2,75990,0,42549,41373,744,0,432,2092,0,31349,75990,67594,8396
2002:Q3,85767,0,45416,41440,2528,0,1448,1132,0,39219,85767,72159,13608
2002:Q4,79290,0,3347,683,2244,0,420,35040,0,40904,79290,66318,12972
2003:Q1,85640,0,-182297,-185793,2240,0,1256,36816,198080,33041,85640,71656,13984
2003:Q2,90114,4,253605,253573,20,0,12,10724,-198080,23860,90114,76970,13144
2003:Q3,92213,0,49011,29307,-3140,0,22844,-9684,0,52887,92213,79341,12872
2003:Q4,99553,144,24205,23337,-464,0,1332,13204,0,62000,99553,83145,16408
2004:Q1,90606,140,42586,43582,-780,0,-216,11904,0,35976,90606,77326,13280
2004:Q2,91537,144,59657,59661,-796,0,792,2364,0,29372,91537,79913,11624
2004:Q3,100390,144,60365,57129,4196,0,-960,5232,0,34649,100390,84038,16352
2004:Q4,101943,272,26480,24088,492,0,1900,13204,0,61987,101943,83723,18220
2005:Q1,97720,276,66887,66683,24,0,180,5632,0,24925,97720,82160,15560
2005:Q2,100151,272,74222,73322,488,0,412,2884,0,22774,100151,85159,14992
2005:Q3,100099,272,56910,57518,5380,0,-5988,8496,0,34421,100099,83375,16724
2005:Q4,96146,112,-2691,-4391,1240,0,460,7256,0,91469,96146,82594,13552
2006:Q1,94547,112,64292,62804,312,0,1176,6864,0,23279,94547,78691,15856
2006:Q2,95619,112,72569,72781,-168,0,-44,-3096,0,26033,95619,79651,15968
2006:Q3,95255,108,69239,68535,432,0,272,8428,0,17480,95255,79947,15308
2006:Q4,98972,-52,-21652,-27504,2768,0,3084,9880,0,110796,98972,79612,19360
2007:Q1,94803,-56,88331,87115,580,0,636,-192,0,6720,94803,78415,16388
2007:Q2,94864,-52,4275,2235,544,0,1496,8228,0,82413,94864,79856,15008
2007:Q3,95964,-56,78599,82891,-240,0,-4052,-1836,0,19257,95964,81380,14584
2007:Q4,100360,132,12419,10063,564,0,1792,6116,0,81693,100360,81464,18896
2008:Q1,93567,132,94259,90047,3100,0,1112,-23808,0,22984,93567,78311,15256
2008:Q2,96127,132,117828,118592,-492,0,-272,6844,0,-28677,96127,79563,16564
2008:Q3,96412,128,102042,101526,832,0,-316,-15060,0,9302,96412,79852,16560
2008:Q4,99278,812,30943,40763,-5420,0,-4400,4296,0,63227,99278,77886,21392
2009:Q1,92757,808,35491,37427,-720,0,-1216,-2856,0,59314,92757,77265,15492
2009:Q2,94253,812,117861,116885,1016,0,-40,13752,0,-38171,94253,74353,19900
2009:Q3,89235,808,77026,77526,-124,0,-376,3700,0,7701,89235,75711,13524
2009:Q4,107519,-796,56699,54319,1576,0,804,12860,0,38756,107519,79759,27760
2010:Q1,92277,-800,28606,27078,788,0,740,8324,0,56147,92277,76261,16016
2010:Q2,99851,-800,209791,209935,464,0,-608,4512,0,-113651,99851,80103,19748
2010:Q3,99181,-796,103924,100276,1824,0,1824,-2292,0,-1656,99181,82197,16984
2010:Q4,108063,-68,-30441,-28353,-2452,0,364,13828,0,124744,108063,85079,22984
2011:Q1,101511,-68,57594,57786,-248,0,56,-1232,0,45217,101511,84919,16592
2011:Q2,106473,-68,-571776,-573760,1260,0,724,2688,418296,257332,106473,87257,19216
2011:Q3,102964,-68,901024,899048,-192,0,2168,-17864,-418296,-361832,102964,86032,16932
2011:Q4,107993,-68,-1598,-5598,352,0,3648,-23004,0,132663,107993,88273,19720
2012:Q1,91986,-68,44764,40176,2312,0,2276,3752,0,43538,91986,84550,7436
2012:Q2,106012,-64,228685,225629,2224,0,832,-2576,0,-120034,106012,83908,22104
2012:Q3,98853,-68,113033,110785,884,296,1068,-4156,0,-9956,98853,84457,14396
2012:Q4,101845,60,-162642,-166930,1504,4,2780,-7532,0,271959,101845,85513,16332
2013:Q1,87372,64,151642,154802,-2020,8,-1148,14812,0,-79147,87372,83052,4320
2013:Q2,102736,64,-208432,-205724,-1724,8,-992,8408,51200,251496,102736,85116,17620
2013:Q3,103654,60,-444230,-441346,-1836,-20,-1028,-7748,406820,148753,103654,85626,18028
2013:Q4,152146,364,940004,941208,-3844,12,2628,37548,-458020,-367750,152146,87802,64344
2014:Q1,99847,364,75178,81026,-2848,-8,-2992,6924,0,17381,99847,84563,15284
2014:Q2,97134,360,215260,213756,760,0,744,-976,0,-117510,97134,86746,10388
2014:Q3,114478,364,87896,89132,-912,-44,-280,6500,0,19718,114478,85902,28576
2014:Q4,104273,-20,-31462,-34870,876,-4,2536,-17048,0,152803,104273,84949,19324
2015:Q1,95348,-24,-308131,-308875,492,0,252,5296,243680,154527,95348,81552,13796
2015:Q2,93891,-20,-313132,-314400,396,0,872,-5128,266580,145591,93891,81651,12240
2015:Q3,96484,-20,-377649,-378501,-272,-4,1128,460,289400,184293,96484,80260,16224
2015:Q4,112149,-100,1371384,1368164,164,0,3056,-476,-799660,-458999,112149,78601,33548
2016:Q1,90295,-100,95774,95938,244,-4,-404,-10748,0,5369,90295,76415,13880
2016:Q2,81610,-96,221520,220248,784,-4,492,-8716,0,-131098,81610,75010,6600
2016:Q3,92121,-100,84294,80674,1876,88,1656,-9168,0,17095,92121,75989,16132
2016:Q4,88922,236,2000,2464,-1500,12,1024,6100,0,80586,88922,75954,12968
2017:Q1,87617,240,-443716,-444340,208,4,412,3036,430552,97504,87617,73305,14312
2017:Q2,87376,236,-213725,-214417,316,0,376,4804,135160,160901,87376,73628,13748
2017:Q3,89041,240,1007637,1006417,1012,-44,252,-6024,-517532,-395280,89041,74705,14336
2017:Q4,65254,-200,-683528,-684096,228,4,336,24088,558532,166362,65254,74726,-9472
2018:Q1,95730,-204,811942,812590,-440,0,-208,-1168,-606712,-108128,95730,72158,23572
2018:Q2,110882,-200,244253,243849,52,0,352,-5212,0,-127959,110882,73182,37700
2018:Q3,103605,-200,137118,135954,980,-84,268,-5964,0,-27349,103605,73765,29840
2018:Q4,31023,-160,43478,45322,-1608,-20,-216,-74212,0,61916,31023,75075,-44052
2019:Q1,87431,-156,-848981,-851381,1124,4,1272,-60,861252,75376,87431,73567,13864
2019:Q2,91813,-156,-98162,-100526,1220,0,1144,-9916,5692,194355,91813,77673,14140
2019:Q3,94556,-160,1285084,1282132,1420,-12,1544,-14424,-774556,-401388,94556,79160,15396
2019:Q4,28440,160,116143,114507,1452,8,176,4496,-92388,29,28440,79408,-50968
2020:Q1,87553,156,183182,190642,-2848,-32,-4580,-48832,0,-46953,87553,78573,8980
2020:Q2,151688,156,199491,193759,2904,8,2820,18936,0,-66895,151688,77992,73696
2020:Q3,103557,156,118995,113775,1972,-28,3276,-23432,0,7839,103557,80517,23040
2020:Q4,73698,156,89105,83965,3164,8,1968,-43052,0,27489,73698,79814,-6116
2021:Q1,98583,160,148624,148460,-584,8,740,17508,0,-67709,98583,81491,17092
2021:Q2,103243,156,240509,241417,-396,4,-516,12708,0,-150130,103243,77291,25952
2021:Q3,73569,156,-851981,-851681,-288,4,-16,-16992,722228,220158,73569,83149,-9580
2021:Q4,93101,156,1099995,1099643,-124,4,472,14624,-682780,-338894,93101,81321,11780
