1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1972:Q4,232264,1981,0,0,97413,2981,3827,735,3367,86503,94951,18003,76948,26528,317,0,0,0,623,10451,216227,0,0,0,136343,52063,811,156,26854,601
1973:Q1,235243,1524,0,0,100836,5237,3824,764,3332,87679,95450,18284,77166,25801,321,0,0,0,638,10673,220015,0,0,0,138104,53212,993,157,27549,602
1973:Q2,236741,1501,0,0,101842,4479,3572,815,3374,89602,96695,18713,77982,24798,366,0,0,0,653,10886,223342,0,0,0,139911,54172,786,158,28315,609
1973:Q3,243498,1435,0,0,103134,4100,3466,909,3396,91263,98784,19597,79187,27955,425,0,0,0,668,11097,226539,0,0,0,141728,55084,873,160,28694,615
1973:Q4,244626,2070,0,0,103077,3004,3444,884,3412,92333,101568,20199,81369,25448,470,0,0,0,683,11310,229933,0,0,0,143515,56089,847,183,29299,705
1974:Q1,250251,1493,0,0,106234,4414,3596,932,3485,93807,102823,20643,82180,26889,512,0,0,0,699,11601,233236,0,0,0,145264,57019,1024,185,29744,711
1974:Q2,251210,1451,0,0,106953,3882,3349,937,3577,95208,104530,21305,83225,25073,560,0,0,0,715,11928,236260,0,0,0,146969,57733,809,171,30578,659
1974:Q3,248362,1502,0,0,107782,3874,3327,989,3618,95974,106602,22175,84427,18863,603,0,0,0,732,12278,239577,0,0,0,148697,58695,885,158,31142,606
1974:Q4,254866,1998,0,0,108467,4070,3372,1065,3667,96293,109096,22862,86234,21291,628,0,0,0,749,12637,243759,0,0,0,150519,60372,835,123,31910,474
1975:Q1,263970,1613,0,0,111577,4682,3585,1110,3696,98504,110572,23326,87246,25778,635,0,0,0,766,13029,248693,0,0,0,152422,62694,990,131,32456,505
1975:Q2,271378,1546,0,0,113551,4768,3712,1179,3783,100109,111675,23708,87967,29722,626,0,0,0,784,13474,254264,0,0,0,154392,65593,757,139,33383,536
1975:Q3,272395,1294,0,0,117518,6394,3821,1282,4165,101856,112430,24099,88331,25842,611,0,0,0,802,13898,260356,0,0,0,156412,68877,812,147,34108,567
1975:Q4,279488,1924,0,0,120829,4813,4736,1419,4508,105353,113635,24467,89168,27450,600,0,0,0,820,14230,266848,0,0,0,158463,72349,745,155,35136,597
1976:Q1,289429,1295,155,0,126227,5247,5072,1642,5014,109252,114190,24763,89427,31541,594,0,0,0,839,14588,273663,0,0,0,160550,76120,938,167,35888,640
1976:Q2,295337,1420,89,0,130501,6053,4956,1648,5196,112648,114842,25136,89706,32124,587,0,0,0,859,14915,281096,0,0,0,162676,80343,735,178,37164,684
1976:Q3,302565,1081,99,0,136153,6264,5419,2090,5406,116974,115696,25494,90202,32833,581,0,0,0,879,15243,288646,0,0,0,164844,84666,863,189,38084,728
1976:Q4,310851,1697,305,0,140700,5224,5368,2318,5594,122196,117389,25834,91555,33685,576,0,0,0,899,15600,295812,0,0,0,167059,88740,878,201,38934,771
1977:Q1,315973,956,490,0,146941,6724,5542,2547,5712,126416,118092,26248,91844,31835,578,0,0,0,920,16161,302913,0,0,0,169307,92446,956,212,39992,815
1977:Q2,324362,1119,329,0,152135,6985,5337,2685,5805,131323,119643,26709,92934,32878,584,0,0,0,941,16733,309795,0,0,0,171572,95847,1060,217,41099,833
1977:Q3,331055,1232,324,0,157493,7927,5719,3040,6030,134777,121311,27141,94170,31839,592,0,0,0,963,17301,316864,0,0,0,173908,99313,1171,221,42251,852
1977:Q4,339576,1883,396,0,161167,4896,5315,4002,6051,140903,124405,27556,96849,32299,600,0,0,0,985,17841,324527,0,0,0,176369,103217,1268,220,43453,846
1978:Q1,347418,1123,481,0,168776,7784,5075,4605,6002,145310,125929,28007,97922,31190,605,0,0,0,1019,18295,332625,0,0,0,178972,107458,1360,225,44610,864
1978:Q2,358384,1285,429,0,173710,7462,4924,4895,5943,150486,128478,28616,99862,34051,606,0,0,0,1054,18771,341152,0,0,0,181734,111959,1457,238,45764,913
1978:Q3,371537,1178,571,0,180191,9027,5113,5831,6073,154147,131419,29250,102169,37208,613,0,0,0,1090,19267,349955,0,0,0,184531,116692,1541,250,46941,963
1978:Q4,377998,1857,911,0,182255,6349,4822,6543,6402,158139,136313,30146,106167,35062,637,0,0,0,1128,19835,358882,0,0,0,187237,121630,1597,263,48155,1013
1979:Q1,389860,869,799,0,189063,8080,5357,7121,6090,162415,139492,31165,108327,37316,679,0,0,0,1166,20476,367965,0,0,0,189887,126736,1630,276,49436,1062
1979:Q2,399893,1212,965,0,193773,9041,5204,7988,6089,165451,143109,32139,110970,37698,739,0,0,0,1206,21191,377225,0,0,0,192517,131964,1645,310,50789,1190
1979:Q3,411905,842,1213,0,198462,10126,5150,9023,6240,167923,147170,33061,114109,40247,805,0,0,0,1247,21919,386707,0,0,0,195111,137504,1638,343,52111,1319
