1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q3,2413,2413,0,1075,1075,570,570,0,0,0,0,0,0,0,2133,2133,6374,0,6374,0,14527,0,6212,3986,4329,0,0,0,0,0,520,520,0,0,0,0,0,39878,111932,43531,39878,111932,43531
1959:Q4,2412,2412,0,1031,1031,589,589,0,0,0,0,0,0,0,2187,2187,6491,0,6491,0,14800,0,6279,4131,4390,0,0,0,0,0,547,547,0,0,0,0,0,39923,114393,43505,39923,114393,43505
1960:Q1,2553,2553,0,975,975,534,534,0,0,0,0,0,0,0,2238,2238,6623,0,6623,0,15049,0,6329,4282,4438,0,0,0,0,0,549,549,0,0,0,0,0,41112,116824,44757,41112,116824,44757
1960:Q2,2703,2703,0,917,917,736,736,0,0,0,0,0,0,0,2288,2288,6768,0,6768,0,15280,0,6364,4437,4479,0,0,0,0,0,572,572,0,0,0,0,0,41068,119098,46072,41068,119098,46072
1960:Q3,2798,2798,0,873,873,737,737,0,0,0,0,0,0,0,2336,2336,6917,0,6917,0,15501,0,6393,4589,4519,0,0,0,0,0,573,573,0,0,0,0,0,42041,121605,47569,42041,121605,47569
1960:Q4,2940,2940,0,844,844,938,938,0,0,0,0,0,0,0,2379,2379,7061,0,7061,0,15721,0,6427,4728,4566,0,0,0,0,0,613,613,0,0,0,0,0,40785,124169,48855,40785,124169,48855
1961:Q1,3017,3017,0,803,803,1026,1026,0,0,0,0,0,0,0,2417,2417,7215,0,7215,0,15936,0,6463,4853,4620,0,0,0,0,0,657,657,0,0,0,0,0,39287,126689,49985,39287,126689,49985
1961:Q2,3120,3120,0,774,774,1154,1154,0,0,0,0,0,0,0,2448,2448,7367,0,7367,0,16146,0,6502,4963,4681,0,0,0,0,0,674,674,0,0,0,0,0,39055,128997,51342,39055,128997,51342
1961:Q3,3134,3134,0,743,743,1022,1022,0,0,0,0,0,0,0,2478,2478,7523,0,7523,0,16349,0,6537,5073,4739,0,0,0,0,0,697,697,0,0,0,0,0,38375,131687,52744,38375,131687,52744
1961:Q4,3201,3201,0,720,720,1180,1180,0,0,0,0,0,0,0,2512,2512,7683,0,7683,0,16545,0,6563,5195,4787,0,0,0,0,0,740,740,0,0,0,0,0,36522,134434,54222,36522,134434,54222
1962:Q1,3249,3249,0,677,677,1109,1109,0,0,0,0,0,0,0,2549,2549,7854,0,7854,0,16725,0,6571,5329,4825,0,0,0,0,0,749,749,0,0,0,0,0,36393,137157,53318,36393,137157,53318
1962:Q2,3400,3400,0,648,648,1193,1193,0,0,0,0,0,0,0,2587,2587,8040,0,8040,0,16882,0,6557,5477,4848,0,0,0,0,0,686,686,0,0,0,0,0,40074,139629,52900,40074,139629,52900
1962:Q3,3475,3475,0,620,620,984,984,0,0,0,0,0,0,0,2626,2626,8218,0,8218,0,17047,0,6550,5623,4874,0,0,0,0,0,716,716,0,0,0,0,0,38741,142522,52256,38741,142522,52256
1962:Q4,3446,3446,0,601,601,1213,1213,0,0,0,0,0,0,0,2667,2667,8363,0,8363,0,17249,0,6581,5749,4919,0,0,0,0,0,768,768,0,0,0,0,0,36266,145428,51704,36266,145428,51704
1963:Q1,3496,3496,0,575,575,1283,1283,0,0,0,0,0,0,0,2711,2711,8473,0,8473,0,17503,0,6652,5858,4993,0,0,0,0,0,803,803,0,0,0,0,0,34800,148305,52748,34800,148305,52748
1963:Q2,3762,3762,0,551,551,1325,1325,0,0,0,0,0,0,0,2758,2758,8547,0,8547,0,17820,0,6764,5963,5093,0,0,0,0,0,834,834,0,0,0,0,0,33642,150880,53620,33642,150880,53620
1963:Q3,3793,3793,0,523,523,1014,1014,0,0,0,0,0,0,0,2806,2806,8616,0,8616,0,18120,0,6879,6050,5191,0,0,0,0,0,864,864,0,0,0,0,0,32635,153888,54689,32635,153888,54689
1963:Q4,3893,3893,0,508,508,1151,1151,0,0,0,0,0,0,0,2853,2853,8710,0,8710,0,18323,0,6960,6105,5258,0,0,0,0,0,895,895,0,0,0,0,0,31675,156959,55801,31675,156959,55801
1964:Q1,3825,3825,0,491,491,977,977,0,0,0,0,0,0,0,2898,2898,8821,0,8821,0,18618,0,7077,6189,5352,0,0,0,0,0,940,940,0,0,0,0,0,30087,159990,56788,30087,159990,56788
1964:Q2,3752,3752,0,473,473,1153,1153,0,0,0,0,0,0,0,2941,2941,8940,0,8940,0,18917,0,7198,6267,5452,0,0,0,0,0,978,978,0,0,0,0,0,28970,162774,57823,28970,162774,57823
1964:Q3,3730,3730,0,455,455,989,989,0,0,0,0,0,0,0,2986,2986,9072,0,9072,0,19238,0,7336,6346,5556,0,0,0,0,0,1014,1014,0,0,0,0,0,28048,165913,59137,28048,165913,59137
1964:Q4,3912,3912,0,436,436,1199,1199,0,0,0,0,0,0,0,3039,3039,9220,0,9220,0,19599,0,7507,6434,5658,0,0,0,0,0,1049,1049,0,0,0,0,0,27290,169185,60629,27290,169185,60629
1965:Q1,3771,3771,0,411,411,1048,1048,0,0,0,0,0,0,0,3097,3097,9386,0,9386,0,19961,0,7684,6521,5756,0,0,0,0,0,1081,1081,0,0,0,0,0,26804,172395,61873,26804,172395,61873
1965:Q2,3865,3865,0,388,388,1175,1175,0,0,0,0,0,0,0,3160,3160,9571,0,9571,0,20341,0,7865,6624,5852,0,0,0,0,0,1087,1087,0,0,0,0,0,27862,175282,63443,27862,175282,63443
1965:Q3,3979,3979,0,371,371,944,944,0,0,0,0,0,0,0,3228,3228,9766,0,9766,0,20736,0,8047,6738,5951,0,0,0,0,0,1157,1157,0,0,0,0,0,25742,178621,65022,25742,178621,65022
1965:Q4,3928,3928,0,352,352,1045,1045,0,0,0,0,0,0,0,3303,3303,9962,0,9962,0,21145,0,8226,6859,6060,0,0,0,0,0,1203,1203,0,0,0,0,0,25040,182186,66701,25040,182186,66701
1966:Q1,3837,3837,0,332,332,824,824,0,0,0,0,0,0,0,3385,3385,10162,0,10162,0,21569,0,8403,6990,6176,0,0,0,0,0,1226,1226,0,0,0,0,0,25900,185747,68436,25900,185747,68436
1966:Q2,3927,3927,0,216,216,1025,1025,0,0,0,0,0,0,0,3475,3475,10368,0,10368,0,22009,0,8577,7132,6300,0,0,0,0,0,1223,1223,0,0,0,0,0,28462,188976,70491,28462,188976,70491
1966:Q3,4055,4055,0,164,164,735,735,0,0,0,0,0,0,0,3568,3568,10579,0,10579,0,22463,0,8752,7281,6430,0,0,0,0,0,1189,1189,0,0,0,0,0,32843,192715,72451,32843,192715,72451
1966:Q4,4193,4193,0,135,135,1037,1037,0,0,0,0,0,0,0,3659,3659,10793,0,10793,0,22930,0,8935,7435,6560,0,0,0,0,0,1249,1249,0,0,0,0,0,32186,196625,74397,32186,196625,74397
1967:Q1,3752,3752,0,99,99,1491,1491,0,0,0,0,0,0,0,3736,3736,11206,0,11206,0,23427,0,9129,7597,6701,0,0,0,0,0,1353,1353,0,0,0,0,0,29224,200578,75926,29224,200578,75926
1967:Q2,3879,3879,0,83,83,1926,1926,0,0,0,0,0,0,0,3807,3807,11421,0,11421,0,23945,0,9329,7769,6847,0,0,0,0,0,1380,1380,0,0,0,0,0,30463,204134,77731,30463,204134,77731
1967:Q3,3839,3839,0,44,44,1318,1318,0,0,0,0,0,0,0,3876,3876,11637,0,11637,0,24482,0,9536,7946,7000,0,0,0,0,0,1451,1451,0,0,0,0,0,29376,208208,79486,29376,208208,79486
1967:Q4,3983,3983,0,25,25,1432,1432,0,0,0,0,0,0,0,3947,3947,11861,0,11861,0,25006,0,9738,8116,7152,0,0,0,0,0,1470,1470,0,0,0,0,0,31104,212225,81294,31104,212225,81294
1968:Q1,3853,3853,0,0,0,1303,1303,0,0,0,0,0,0,0,4031,4031,12101,0,12101,0,25578,0,9956,8306,7316,0,0,0,0,0,1443,1443,0,0,0,0,0,35325,216392,85430,35325,216392,85430
1968:Q2,3955,3955,0,0,0,1400,1400,0,0,0,0,0,0,0,4121,4121,12345,0,12345,0,26159,0,10180,8492,7487,0,0,0,0,0,1566,1566,0,0,0,0,0,31638,220106,88566,31638,220106,88566
1968:Q3,3954,3954,0,0,0,1253,1253,0,0,0,0,0,0,0,4213,4213,12595,0,12595,0,26780,0,10414,8692,7674,0,0,0,0,0,1621,1621,0,0,0,0,0,32021,224508,92197,32021,224508,92197
1968:Q4,3920,3920,0,0,0,1383,1383,0,0,0,0,0,0,0,4302,4302,12850,0,12850,0,27472,0,10667,8923,7882,0,0,0,0,0,1671,1671,0,0,0,0,0,33082,229017,95722,33082,229017,95722
1969:Q1,3690,3690,0,0,0,1244,1244,0,0,0,0,0,0,0,4390,4390,13107,0,13107,0,28314,0,11015,9185,8114,0,0,0,0,0,1667,1667,0,0,0,0,0,37457,233143,99843,37457,233143,99843
1969:Q2,3788,3788,0,0,0,1278,1278,0,0,0,0,0,0,0,4478,4478,13369,0,13369,0,29147,0,11295,9480,8372,0,0,0,0,0,1674,1674,0,0,0,0,0,41663,237078,103906,41663,237078,103906
1969:Q3,3847,3847,0,0,0,891,891,0,0,0,0,0,0,0,4568,4568,13640,0,13640,0,29840,0,11412,9789,8639,0,0,0,0,0,1672,1672,0,0,0,0,0,46494,241617,107869,46494,241617,107869
1969:Q4,3831,3831,0,0,0,1041,1041,0,0,0,0,0,0,0,4688,4688,13927,0,13927,0,30817,0,11825,10093,8899,0,0,0,0,0,1710,1710,0,0,0,0,0,49205,246652,112093,49205,246652,112093
1970:Q1,3811,3811,0,0,0,986,986,0,0,0,0,0,0,0,4792,4792,14233,0,14233,0,31664,0,12160,10335,9169,0,0,0,0,0,1720,1720,0,0,0,0,0,56161,254148,115316,56161,254148,115316
1970:Q2,3848,3848,0,0,0,1333,1333,0,0,0,0,0,0,0,4899,4899,14560,0,14560,0,32515,0,12523,10546,9446,0,0,0,0,0,1560,1560,0,0,0,0,0,68514,261069,119938,68514,261069,119938
