1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q1,789948,611171,353922,142465,25635,89150,178777,189,26462,3272,0,0,19503,562,15225,936,2780,7992,26,7966,0,0,83213,31393,6753,226360,77200,623,0,76577,68327,37641,8942,21744,60270,10921,1082,8560,563588,410353,410353,0,4162,73.54925377328537,35.10779480254102,25.82152109352518,587018,408241,175665,116044,23251,93281,360658,3015,154745
1961:Q2,799976,615238,356782,143188,26130,89138,184738,213,27769,3863,0,0,19264,613,14636,1233,2782,8574,28,8546,0,0,85820,32079,7156,229871,79256,726,0,78530,68435,37343,9061,22031,61734,10584,1103,8759,570105,411555,411555,0,4244,72.93370362872301,35.51973652243296,25.90585936497455,597012,412274,178292,117602,23790,92590,367141,3144,156704
1961:Q3,809352,620883,359704,143955,26692,90532,188469,238,27903,4606,0,0,17972,245,13288,1248,3191,8619,30,8589,0,0,89372,32846,6913,233392,80254,1017,0,79237,68112,37134,8712,22266,63376,11557,1114,8979,575960,423621,423621,0,4286,74.29460286053539,34.67249848383614,25.75979505039122,606383,417914,180918,119163,24334,93499,372991,3290,158633
1961:Q4,819661,626539,362550,145126,27234,91629,193122,236,31673,4100,0,0,18828,1089,14096,1248,2395,9650,33,9617,0,0,88253,33387,6995,242111,81705,1094,0,80611,71282,38585,9454,23243,65676,13274,1092,9082,577550,437674,437674,0,4194,76.50732215431039,34.62272595675564,26.48892048633908,617517,424395,183488,120985,24875,95047,375406,3454,160522
1962:Q1,825471,632558,364783,146727,27680,93368,192913,234,28211,5395,0,0,19393,562,14217,1238,3376,8569,38,8531,0,31,89326,33854,7900,241347,82568,1131,0,81437,71195,38089,9530,23576,64315,12916,1099,9254,584124,427931,427931,0,4231,73.98457414159542,35.58002669405282,26.32373122906095,624855,431942,186027,122904,25393,97618,383508,3592,162438
1962:Q2,833952,637840,366637,148519,28184,94500,196112,296,29469,5554,0,0,18221,907,13061,1184,3069,9450,44,9406,0,82,90553,34525,7962,245815,84073,1092,0,82981,73147,39474,9680,23993,65041,13001,1118,9435,588137,326582,326582,0,4299,56.2592001457208,47.51556331008909,26.7318758629897,634020,437908,188644,124924,25906,98434,388205,3748,164440
1962:Q3,844715,644181,369051,150330,28623,96177,200534,788,30249,4903,0,0,17088,1079,11645,1308,3056,9484,50,9434,0,134,94489,35133,8266,250954,84921,1363,0,83558,73801,40045,9268,24488,67540,13996,1129,9567,593761,345363,345363,0,4344,58.89690010950376,45.3872759765549,26.73169859433633,645339,444805,191315,126916,26412,100162,394385,3911,166486
1962:Q4,854463,649377,371962,151526,29096,96793,205086,790,34564,5000,0,0,17583,1304,12307,1275,2697,10444,54,10390,0,168,92772,35793,7972,257379,85841,1198,0,84643,77625,42226,9836,25563,68611,14355,1171,9776,597084,424314,424314,0,4502,71.81835594959813,38.12029459787789,27.37736886333937,655341,450255,193921,128843,26935,100556,397962,4078,168428
1963:Q1,859624,654164,373814,153098,29532,97720,205460,828,27771,5344,0,0,21755,1092,16367,930,3366,9406,56,9350,11691,187,94615,36685,-2822,257569,86793,1214,0,85579,77938,41735,10253,25950,68025,13596,1184,10033,602055,447981,447981,0,4550,75.16443559766033,36.40207405036866,27.36141350580197,662365,456905,196364,130807,27487,102247,404796,4181,170233
1963:Q2,869982,659563,376082,154551,30157,98772,210419,1065,29185,5160,0,0,21340,1008,15252,1314,3766,10135,56,10079,12026,193,96295,37577,-2557,262384,87682,987,0,86695,79858,42769,10562,26527,69619,13743,1212,10270,607598,469026,469026,0,4657,77.95999589096515,35.36968059658336,27.57420153974389,673823,463404,198985,132810,28078,103531,411439,4304,172153
1963:Q3,881321,666349,378751,156432,30871,100295,214972,1000,29821,5117,0,0,21017,445,14602,1399,4571,10312,56,10256,12268,195,99420,38183,-2361,267061,88336,1111,0,87225,80357,43000,10195,27162,71911,14713,1236,10508,614260,487677,487677,0,4755,80.16673874757714,34.25715116214172,27.46284087451674,685558,470586,201621,135000,28684,105281,418497,4432,174088
1963:Q4,893295,672864,381280,158459,31623,101502,220431,731,33427,5687,0,0,21492,969,15128,1608,3787,11405,60,11345,12666,203,99080,39081,-3341,277857,89382,968,0,88414,84802,45623,10942,28236,75976,15744,1208,10745,615438,465779,465779,0,4644,76.43708860299941,37.02708432786347,28.3024252547963,698130,477699,204294,137362,29289,106754,420273,4573,176100
1964:Q1,899319,679310,383269,160846,32253,102942,220009,867,28846,6724,0,68,22638,1341,16148,1325,3824,10564,65,10499,13226,214,100167,39821,-3126,275810,90039,948,0,89091,85661,45036,11799,28826,72804,15109,1224,10973,623509,495027,495027,0,4714,80.1497374230093,35.15813785825939,28.17915517621453,704647,484638,206998,139815,29865,107960,428837,4723,178200
1964:Q2,915034,690149,389496,163357,32947,104348,224885,978,30806,6452,0,169,22000,1058,15240,1364,4338,11105,72,11033,13568,225,101853,40774,-3045,281254,91251,889,0,90362,88448,46688,12414,29346,74377,14675,1247,11256,633780,511094,511094,0,4798,81.39928229174474,34.83276994823686,28.35362474019935,716200,491315,209778,142333,30439,108765,434946,4865,180463
1964:Q3,929228,698293,392715,165838,33574,106166,230935,1243,30996,6309,0,135,21074,1729,14402,1152,3791,11260,79,11181,13866,238,107264,41684,-3134,287370,92139,1081,0,91058,89761,47295,12296,30170,77360,15338,1258,11514,641858,528953,528953,0,4840,83.16370227782106,34.0769331174337,28.33963920319476,729899,498964,212693,145021,31026,110224,442529,5000,182847
1964:Q4,944763,709814,399403,168396,34151,107864,234949,1097,32738,6671,0,309,20855,1694,14481,1000,3680,12365,84,12281,13844,253,107622,42632,-3437,300021,93533,1125,0,92408,94392,50264,12685,31443,82924,16211,1245,11716,644742,545955,545955,0,4788,85.42070332125459,34.12204343636552,29.14728949092742,743371,508422,215792,147853,31637,113140,443350,5124,185305
