1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1957:Q2,273435,2950,18628,650,89352,501,67298,2783,14171,4599,154747,49888,979,80731,23149,1096,0,0,121,5891,252318,403,113193,129781,658,989,989,0,1079,691,55,5469,0,0,5469,210,0,ND
1957:Q3,279151,3040,18594,605,92817,565,70399,2731,14366,4756,157075,49581,1197,82626,23671,1044,0,0,126,5850,257577,848,115026,131736,695,1209,1209,0,1119,829,55,6060,0,0,6060,211,0,ND
1957:Q4,282858,3335,19034,263,93481,673,69597,3475,14766,4970,159626,50144,1307,84249,23926,1009,0,0,131,5979,260831,-229,117018,135000,30,1320,1320,0,1265,959,52,5416,0,0,5416,202,0,ND
1958:Q1,285244,2890,18426,877,96827,1025,70859,4276,15394,5273,158754,48162,1529,85583,23480,1065,0,0,134,6271,262711,-1702,114159,140684,597,1544,1544,0,696,1020,53,5660,0,0,5660,202,0,ND
1958:Q2,295233,3017,18568,815,101233,1072,73924,3786,16700,5751,162960,49534,1352,88009,24065,1164,0,0,137,7339,272304,-1911,118331,146137,598,1366,1366,0,929,824,53,5977,0,0,5977,203,0,ND
1958:Q3,298474,3140,18101,878,104028,1056,76095,4090,17248,5539,164534,47888,1281,90969,24396,1289,0,0,140,6364,275123,-654,116047,148605,928,1294,1294,0,1010,899,53,6941,0,0,6941,204,0,ND
1958:Q4,307396,3249,18504,221,105882,890,77720,4397,17400,5475,171176,51260,1194,93871,24851,1410,0,0,144,6810,283880,-889,122705,151862,32,1206,1206,0,1298,934,58,6674,0,0,6674,224,0,ND
1959:Q1,306634,3090,18194,1054,102900,889,74963,4047,17630,5371,173023,50317,1054,96271,25381,1412,0,0,147,6814,282913,-562,117488,154402,1120,1065,1065,0,1087,813,58,7442,0,0,7442,225,0,ND
1959:Q2,313331,3260,18188,974,100180,723,72514,3757,17776,5410,181545,53914,983,99673,26975,1456,0,0,151,7577,289193,199,118523,157912,1375,993,993,0,1537,571,59,8024,0,0,8024,227,0,ND
1959:Q3,317881,3240,17760,631,98650,806,70780,3850,17868,5346,188260,55887,954,103053,28366,1382,0,0,154,7804,293309,318,120581,159429,822,964,964,0,1795,528,60,8812,0,0,8812,229,0,ND
1959:Q4,322308,3012,18174,152,97622,793,69963,3847,17799,5220,195898,59837,1151,105737,29173,1411,0,0,158,5881,297359,436,123590,161648,133,1163,1163,0,2134,475,61,7719,0,0,7719,233,0,ND
1960:Q1,319605,3360,17716,1133,92705,808,64909,4110,17774,5104,197845,58983,1366,107732,29764,1302,0,0,162,5382,294393,171,117097,163526,1865,1380,1380,0,1520,595,61,8178,0,0,8178,236,0,ND
1960:Q2,325762,3490,17528,1121,92211,887,64596,4113,17531,5084,204199,61452,1382,110205,31160,1319,0,0,165,5729,299882,18,119582,167569,1434,1396,1396,0,1770,772,62,7279,0,0,7279,240,0,ND
1960:Q3,333876,3540,18058,913,96365,1014,67991,4286,17913,5161,207626,60918,1668,113067,31973,1213,0,0,169,5992,307521,1175,121697,171505,1099,1685,1685,0,1736,1137,63,7424,0,0,7424,244,0,ND
1960:Q4,342479,3346,17081,285,100701,1213,71155,4798,18357,5178,212716,62903,2027,115478,32308,1315,0,0,173,6862,315294,909,125710,176937,108,2047,2047,0,1981,1474,64,6064,0,0,6064,244,0,ND
1961:Q1,342990,3630,15992,1283,101449,1503,70506,4980,19256,5204,213839,61003,2231,117642,32963,1460,0,0,177,5160,315524,-406,119630,182482,1338,2253,2253,0,1477,1381,65,7304,0,0,7304,248,0,ND
1961:Q2,351309,2903,16716,283,103071,1580,72528,4969,18927,5067,218660,62145,2271,120844,33400,1454,0,0,182,8040,322963,-41,121425,189071,316,2294,2294,0,1869,969,65,6995,0,0,6995,251,0,ND
1961:Q3,362559,3870,16310,1404,109181,1857,76978,4910,20463,4973,223680,63013,2422,124457,33788,1493,0,0,186,6435,333748,628,125356,192783,1622,2446,2446,0,2124,788,66,7935,0,0,7935,253,0,ND
1961:Q4,373166,3689,17387,248,110928,2170,77347,5460,21144,4807,232100,67109,2683,127954,34354,1616,0,0,190,7008,343497,1134,130955,197676,274,2710,2710,0,2662,582,71,7433,0,0,7433,273,0,ND
1962:Q1,374699,3900,16786,1546,111253,2036,75962,5849,22506,4900,233454,65746,2498,130886,34324,1598,0,0,195,5967,345077,-1220,124279,206020,1693,2523,2523,0,2151,713,72,8846,0,0,8846,275,0,ND
1962:Q2,384571,3185,17206,501,112539,1832,75817,6160,23953,4777,241469,67489,2342,135484,36154,1249,0,0,199,8223,354344,-822,126713,213477,560,2365,2365,0,2767,746,72,8466,0,0,8466,278,0,ND
1962:Q3,393365,4270,17105,1167,113079,1965,75596,5894,24868,4756,248446,68945,2281,140319,36901,1345,0,0,204,7749,362902,963,126764,218126,1388,2304,2304,0,3046,979,73,9259,0,0,9259,280,0,ND
1962:Q4,409248,4519,17454,602,117510,2015,77518,6968,26185,4824,259229,74085,2650,144794,37700,1516,0,0,209,8209,377817,-151,135649,226318,671,2676,2676,0,3479,1078,68,8029,0,0,8029,262,0,ND
1963:Q1,410509,4210,16410,1843,117711,2145,76751,6969,27007,4839,261734,71918,2589,148895,38332,1613,0,0,214,6774,379016,-1634,127601,234903,2186,2615,2615,0,2514,1181,69,9581,0,0,9581,264,0,ND
