date,General government; current receipts, NIPA basis,General government; personal current taxes,General government; taxes on production and imports, receivable (IMA),General government; taxes on corporate income (accrual basis),Federal government; taxes from the rest of the world,General government; contributions for government social insurance received,General government; property income (received),General government; other current transfers received,General government; operating surplus, net,General government; current expenditures,General government; consumption expenditures,General government; social contributions paid,General government; other current transfers paid,General government; interest paid,General government; subsidies paid,General government; net saving including net capital transfers paid,General government; consumption of fixed capital, structures, equipment, and intellectual property products, current cost basis (NIPA basis),Federal government; life insurance and pension fund reserves, adjustment to convert NIPA to FOF savings; liability,General government; net capital transfers paid excluding payments under the financial stabilization program,General government; gross saving less net capital transfers paid,General government; gross investment,General government; gross fixed investment,General government; acquisition of nonproduced nonfinancial assets (net),General government; net lending (+) or borrowing (-) (financial account),General government; total financial assets,Federal government; U.S. official reserve assets,General government; checkable deposits and currency; asset,General government; total time and savings deposits; asset,State and local governments; money market fund shares; asset,State and local governments; security repurchase agreements; asset,General government; debt securities; asset,State and local governments; commercial paper; asset,State and local governments; Treasury securities, including SLGS; asset,General government; agency- and GSE-backed securities; asset,State and local governments; municipal securities; asset,General government; corporate and foreign bonds; asset,General government; loans; asset,General government; total mortgages; asset,Federal government; consumer credit, student loans; asset,Federal government; other loans and advances; asset,General government; corporate equities; asset,State and local governments; mutual fund shares; asset,General government; trade receivables; asset,General government; taxes receivable; asset,General government; total miscellaneous assets,General government; total liabilities,Federal government; special drawing rights (SDRs) allocations; liability,Monetary authority; SDR certificates issued by federal government; asset,Federal government; Treasury currency; liability,General government; debt securities; liability,Federal government; Treasury securities; liability,Federal government; budget agency securities; liability,State and local governments; municipal securities; liability,General government; loans; liability,Federal government; multifamily residential mortgages; liability,General government; other loans and advances; liability,General government; trade payables; liability,Federal government; life insurance reserves; liability,General government; total miscellaneous liabilities,General government; sector discrepancy,General government (consolidated); total financial assets,General government (consolidated); total liabilities
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1953:Q3,95132,33187,29319,20876,0,7196,1174,2920,460,95401,69592,11676,4164,8833,1136,-269,12234,296,-1113,12782,32971,27030,337,5604,37640,220,17340,428,0,3260,656,0,504,-84,236,0,2744,436,0,2308,0,0,308,12152,532,32036,0,0,28,23896,17140,1740,5016,12,0,12,476,100,7524,-20189,36888,31284
1953:Q4,90028,32931,29161,16240,0,7072,1162,2970,492,96836,70817,12128,4216,8981,694,-6808,12386,368,-1203,6413,10909,25929,344,-15364,-360,-360,-7220,956,0,-2560,1360,0,912,88,360,0,656,-36,0,692,0,0,-1324,7628,504,15004,0,0,44,6452,-2424,3532,5344,-272,0,-272,268,92,8420,-4496,-1360,14004
1954:Q1,87830,30196,28681,16096,0,8092,1177,3055,533,95168,68418,12888,4044,9154,664,-7338,12566,148,-1195,6275,18825,26413,316,-7904,6160,-168,2044,1048,0,-1564,800,0,240,196,364,0,-244,-184,0,-60,0,0,1060,3836,-652,14064,0,0,88,5536,-2396,2404,5528,-416,0,-416,1212,-52,7696,-12550,5972,13876
1954:Q2,88146,29977,28812,16612,0,8056,1162,2965,562,94423,66591,13568,3708,9302,1254,-6277,12931,-56,-1142,7852,14476,25943,337,-11804,2916,40,-1604,-112,0,864,528,0,256,44,228,0,-1416,52,0,-1468,0,0,-420,5468,-432,14720,0,0,40,8820,3756,-1008,6072,-772,0,-772,-832,-236,7700,-6624,3204,15008
1954:Q3,89264,30005,28744,17660,0,8080,1133,3062,580,95037,66415,13944,4324,9446,908,-5773,13149,-508,-1143,9027,22058,24733,377,-3052,9708,-700,-4204,1080,0,4024,916,0,688,120,108,0,344,640,0,-296,0,0,1160,6456,632,12760,0,0,8,4832,4176,-4716,5372,-96,0,-96,176,-400,8240,-13031,9008,12060
1954:Q4,91762,30462,29319,19024,0,8172,1123,3054,608,96200,66859,14588,4432,9553,768,-4438,13443,-192,-1172,10369,12687,24497,434,-12244,11180,152,3892,-56,0,-3336,816,0,604,216,-4,0,768,520,0,248,0,0,-176,8296,824,23424,0,0,8,14680,5388,3660,5632,-56,0,-56,828,-508,8472,-2318,10636,22880
1955:Q1,96441,31412,30248,21132,0,8900,1095,2974,680,97656,67728,14556,4820,9608,944,-1215,13510,-312,-1236,13843,23470,24141,540,-1211,10444,-324,-6232,-500,0,920,1028,0,756,316,-44,0,1024,196,0,828,0,0,140,14388,0,11655,0,0,12,3096,-3108,732,5472,32,0,32,48,-396,8863,-9627,9700,10911
1955:Q2,99078,32429,31228,21380,0,9068,1127,3112,734,97625,67777,14736,4404,9647,1061,1453,13650,-64,-1108,16275,33038,24756,601,7681,21276,56,4712,48,0,-1608,1208,0,1080,132,-4,0,1024,432,0,592,0,0,-188,15916,108,13595,0,0,-4,5088,1688,-1744,5144,-36,0,-36,344,-208,8411,-16763,20236,12555
1955:Q3,101581,33364,31941,21888,0,9220,1190,3215,763,99828,69834,14864,4392,9944,794,1753,14034,28,-1236,16995,27804,24265,647,2892,15864,-148,-1404,20,0,4544,1156,0,1208,-84,32,0,400,136,0,264,0,0,416,9892,988,12972,0,0,0,4700,1368,-1576,4908,12,0,12,736,4,7520,-10809,14612,11720
1955:Q4,103902,34231,32451,22756,0,9280,1252,3151,781,99442,69063,14860,4288,10269,962,4460,14395,124,-1400,20131,22628,24268,676,-2316,13700,-120,1920,128,0,-1660,1388,0,1544,-220,64,0,440,260,0,180,0,0,888,9824,892,16016,0,0,0,6780,2488,-320,4612,40,0,40,1124,-60,8132,-2497,12052,14368
1956:Q1,105265,35367,33031,21684,0,9884,1370,3162,767,100084,69274,15176,4164,10402,1068,5181,14832,400,-1453,21066,29908,25573,671,3664,13720,-164,5704,160,0,-632,848,0,1048,-264,64,0,-112,76,0,-188,0,0,-156,7944,128,10056,0,0,8,184,-3984,-276,4444,28,0,28,700,232,8904,-8842,12580,8916
1956:Q2,107410,36239,33596,22096,0,9996,1441,3276,766,103591,71663,15364,4432,10811,1321,3819,15153,420,-1705,20257,37501,26584,681,10236,10312,-204,-2688,-292,0,-2252,1412,0,1332,48,32,0,1032,92,0,940,0,0,1384,11848,72,76,0,0,12,-10416,-15108,272,4420,8,0,8,744,360,9368,-17244,8940,-1296
1956:Q3,107956,36901,34597,20728,0,10024,1497,3444,765,103674,70518,15812,4532,11148,1664,4282,15490,388,-1601,20985,28660,27762,686,212,12000,620,-5360,36,0,7512,1172,0,992,196,-16,0,192,64,0,128,0,0,336,5912,1580,11788,0,0,20,1492,-2308,-156,3956,140,0,140,956,344,8836,-7675,10884,10672
1956:Q4,111374,37857,35724,21856,0,10164,1553,3462,758,107089,72680,16016,4604,11818,1971,4285,15788,372,-1585,21286,21843,28665,690,-7512,10552,2180,-920,164,0,-2344,1064,0,836,304,-76,0,1816,176,0,1640,0,0,-204,7940,856,18064,0,0,36,5248,2268,-860,3840,96,0,96,1668,276,10740,-557,9696,17208
1957:Q1,114618,38578,36144,22344,0,11428,1633,3743,748,110909,75585,16836,4612,11842,2034,3709,16217,324,-1626,21228,31478,29757,689,1032,19380,-232,9424,280,0,-696,328,0,116,272,-60,0,244,368,0,-124,0,0,292,9028,712,18348,0,0,28,8680,5104,-164,3740,228,0,228,448,184,8780,-10250,19096,18064
1957:Q2,114400,38965,36561,21356,0,11460,1687,3621,750,113149,76106,18032,4812,12231,1968,1251,16519,-128,-1886,19784,31858,29737,697,1424,1304,292,-5636,328,0,-4472,40,0,-44,48,36,0,-612,376,0,-988,0,0,684,10156,524,-120,0,0,44,-12192,-16572,-40,4420,8,0,8,536,88,11396,-12074,1304,-120
1957:Q3,114957,39197,37012,20864,0,11532,1748,3819,785,114044,76806,18224,4676,12492,1846,913,16828,112,-1856,19485,25585,30600,709,-5724,17752,1016,-3312,840,0,8968,-556,0,-556,-160,160,0,1132,532,0,600,0,0,-60,8576,1148,23476,0,0,32,13348,9228,-412,4532,456,192,264,556,48,9036,-6100,17884,23608
1957:Q4,112430,38804,36746,18956,0,11356,1802,3993,773,118195,79236,19436,4852,12937,1734,-5765,17077,116,-1684,12880,21071,30826,725,-10480,4412,140,-2372,-32,0,-1688,-744,0,-828,-220,304,0,2412,656,0,1756,0,0,-828,7112,412,14892,0,0,40,612,-6632,1908,5336,296,192,104,2156,28,11760,-8191,4832,15312
1958:Q1,109102,38178,36823,16328,0,11364,1851,3803,755,118281,78576,20808,4560,12485,1852,-9179,17057,132,-1722,9468,18179,31268,756,-13845,8928,376,3940,1984,0,-248,-1040,0,-1336,-8,304,0,1308,480,0,828,0,0,-1072,4076,-396,22773,0,0,64,12528,5128,2136,5264,708,504,204,404,28,9041,-8711,9756,23601
1958:Q2,109787,37696,37331,16676,0,11288,1834,4220,742,123914,81643,22648,5100,12489,2034,-14127,17352,-516,-1664,5405,15263,31981,771,-17489,18564,52,15960,2528,0,-7032,216,0,276,-216,156,0,780,432,0,348,0,0,-428,6540,-52,36053,0,0,48,22224,19588,-2792,5428,648,500,148,584,44,12505,-9858,17984,35473
1958:Q3,113688,38945,37795,18908,0,11456,1748,4088,748,125257,82168,22976,5100,12789,2224,-11569,17724,584,-1624,7195,12156,32925,784,-21553,-8820,-36,-29172,-648,0,8372,184,0,304,-192,72,0,1820,424,0,1396,0,0,148,9628,884,12733,0,0,12,1080,-4656,612,5124,604,368,236,1132,64,9841,-4961,-9432,12121
1958:Q4,119101,39376,38929,21848,0,11576,1731,4873,768,127748,83676,22472,5940,13280,2380,-8647,18043,-84,-1655,11135,18472,34316,793,-16637,21596,-548,9664,-536,0,-2704,488,0,624,-192,56,0,2716,1152,0,1564,0,0,244,11708,564,38233,0,0,28,24760,19056,-280,5984,504,372,132,1516,88,11337,-7337,20784,37421
