1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1964:Q1,1922926,0,79272,240745,0,116675,74239,0,32475,9961,40727,-153,40880,0,486216,26433,0,97719,379389,246865,132524,439360,16389,297969,0,292001,188776,78041,3561,14538,7085,3070,2898
1964:Q2,1960441,0,79830,247988,0,117118,74497,0,33112,9509,39781,-1377,41158,0,501513,27156,0,98806,386971,249567,137404,444667,16611,307566,0,301505,193368,81812,4366,14718,7241,3120,2941
1964:Q3,2004637,0,84639,253567,0,118250,74484,0,34138,9628,41040,-573,41613,0,518457,28523,0,99913,394349,253098,141251,449036,16863,314378,0,308222,198076,84142,3863,14749,7392,3170,2986
1964:Q4,2043029,0,84785,261041,0,118960,73571,245,34854,10290,41275,-823,42098,0,530283,28447,0,101051,401876,257104,144772,458148,17163,323369,0,317130,202335,87352,5134,14765,7544,3200,3039
1965:Q1,2079142,0,82442,268791,0,120460,76555,21,33771,10113,41419,-756,42175,0,543745,29751,0,102149,409725,261072,148653,463179,17481,326864,0,320497,205891,87645,4309,14930,7722,3270,3097
1965:Q2,2077183,0,82729,275058,0,120223,76144,618,33792,9669,41802,-678,42480,0,520804,29291,0,103382,418006,266587,151419,468063,17824,336469,0,329929,210329,92243,4292,15156,7909,3380,3160
1965:Q3,2153083,0,88745,280622,0,121773,75984,909,34915,9965,41843,-548,42391,0,566354,32050,0,104656,426926,269385,157541,471930,18184,343385,0,336667,215042,94391,3929,15215,8090,3490,3228
1965:Q4,2224499,0,91520,288514,0,121426,74762,1132,36531,9001,42301,-310,42611,0,600948,34410,0,105876,435926,273927,161999,485038,18540,352786,0,345863,219449,97489,4707,15956,8262,3620,3303
1966:Q1,2229399,0,89949,294109,0,128182,78944,1843,37666,9729,41956,-644,42600,0,580915,35326,0,107049,445277,280083,165194,487739,18897,355964,0,348849,223358,97096,3546,16409,8440,3730,3385
1966:Q2,2235773,0,88870,299561,0,129939,76488,4946,38778,9727,43122,-305,43427,0,555299,34547,0,108190,455364,287929,167435,501720,19161,365660,0,358365,227232,100205,5292,17016,8620,3820,3475
1966:Q3,2202833,0,91803,301554,0,135295,79238,5724,39058,11275,43937,-53,43990,0,497568,31301,0,109347,464810,298009,166801,507723,19495,369551,0,362093,230272,100989,4707,17321,8804,3890,3568
1966:Q4,2272168,0,93353,307135,0,137202,79080,5850,41151,11121,44552,-65,44617,0,531417,33850,0,110568,475695,303208,172487,518534,19863,376022,0,368393,232742,103422,5378,17891,8960,3970,3659
1967:Q1,2370276,0,92714,317399,0,135430,77816,5837,39687,12090,45721,762,44959,0,598899,38226,0,111833,486809,305728,181081,522811,20434,375812,0,368006,234221,101348,4488,18796,9153,4070,3736
1967:Q2,2403524,0,93542,328252,0,130988,74762,5716,38330,12180,46643,1299,45344,0,604594,39284,0,113070,497998,312328,185670,528319,20833,383147,0,375100,237076,104131,5045,19647,9201,4240,3807
1967:Q3,2477322,0,97391,335860,0,135424,77240,5625,39262,13297,47453,1576,45877,0,640696,42006,0,114312,509312,317070,192242,533651,21217,389209,0,380913,241547,105544,3532,20891,9399,4420,3876
