date,Closed-end funds; total financial assets,Closed-end funds; debt securities; asset,Closed-end funds; Treasury securities; asset,Closed-end funds; municipal securities; asset,Closed-end funds; corporate and foreign bonds; asset,Closed-end funds; corporate equities; asset,Closed-end funds; total financial assets,Closed-end funds; total financial assets in domestic equity funds,Closed-end funds; total financial assets in world equity funds,Closed-end funds; total financial assets in domestic taxable bond funds,Closed-end funds; total financial assets in municipal bond funds,Closed-end funds; total financial assets in world bond funds
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1988:Q4,19804,16608,1528,5288,9792,3196,19804,ND,ND,ND,ND,ND
1989:Q1,2504,10520,2800,4272,3448,-8016,2504,ND,ND,ND,ND,ND
1989:Q2,-108,724,1956,3444,-4676,-832,-108,ND,ND,ND,ND,ND
1989:Q3,13180,11468,1172,7304,2992,1712,13180,ND,ND,ND,ND,ND
1989:Q4,9520,3512,1388,3396,-1272,6008,9520,ND,ND,ND,ND,ND
1990:Q1,12716,10032,88,3288,6656,2684,12716,ND,ND,ND,ND,ND
1990:Q2,-10232,-5340,-360,-620,-4360,-4892,-10232,ND,ND,ND,ND,ND
1990:Q3,5900,-660,-20,1920,-2560,6560,5900,ND,ND,ND,ND,ND
1990:Q4,-2828,1176,1096,3492,-3412,-4004,-2828,ND,ND,ND,ND,ND
1991:Q1,3168,8296,2312,8416,-2432,-5128,3168,ND,ND,ND,ND,ND
1991:Q2,22100,15164,3596,12032,-464,6936,22100,ND,ND,ND,ND,ND
1991:Q3,17916,14124,3780,12688,-2344,3792,17916,ND,ND,ND,ND,ND
1991:Q4,15116,13576,2860,12032,-1316,1540,15116,ND,ND,ND,ND,ND
1992:Q1,24648,23296,2092,15992,5212,1352,24648,ND,ND,ND,ND,ND
