1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1982:Q1,15009,0,1920,819,0,569,532,4047,1739,1213,1095,9042,14662,-2999,5964,9077,2620,ND
1982:Q2,14495,0,1897,841,0,576,480,4738,2485,1150,1103,7860,14137,-3145,6033,8998,2251,ND
1982:Q3,14024,0,1901,869,0,595,437,5435,3262,1080,1093,6688,13655,-3294,6070,8898,1981,ND
1982:Q4,14198,0,1900,900,0,600,400,6000,3900,1025,1075,6298,13817,-3400,6014,9022,2181,ND
1983:Q1,14678,0,1910,946,0,601,363,6454,4426,1010,1018,6314,14284,-3470,5858,9371,2525,ND
1983:Q2,15913,0,1940,1008,0,602,330,6818,4884,1020,914,7155,15505,-3503,5593,9933,3482,ND
1983:Q3,17083,0,1976,1067,0,603,306,7147,5298,1035,814,7960,16662,-3536,5311,10491,4396,ND
1983:Q4,17477,0,2000,1100,0,600,300,7500,5700,1060,740,7977,17042,-3600,5100,10828,4714,ND
1984:Q1,17601,0,2017,1115,0,601,301,7847,6057,1085,705,7737,17151,-3699,4940,10961,4949,ND
1984:Q2,16970,0,2021,1108,0,602,311,8159,6346,1125,688,6790,16505,-3825,4800,10904,4626,ND
1984:Q3,16249,0,2036,1098,0,603,335,8494,6643,1150,701,5719,15769,-3958,4697,10813,4217,ND
1984:Q4,16204,0,2083,1100,0,603,380,8907,7026,1185,696,5214,15708,-4075,4646,10840,4297,ND
1985:Q1,16364,0,2169,1117,0,619,433,9429,7513,1221,695,4766,15852,-4194,4659,10956,4431,ND
1985:Q2,17059,0,2287,1138,0,617,532,10086,8127,1239,720,4686,16530,-4325,4738,11127,4990,ND
1985:Q3,17806,0,2421,1167,0,609,645,10710,8707,1251,752,4675,17260,-4438,4845,11327,5526,ND
1985:Q4,18126,0,2554,1209,0,603,742,11129,9091,1265,773,4443,17563,-4500,4940,11529,5594,ND
1986:Q1,18079,0,2706,1308,0,603,795,11362,9292,1275,795,4011,17484,-4529,5042,11768,5203,ND
1986:Q2,17715,0,2891,1457,0,603,831,11424,9329,1285,810,3400,17096,-4533,5169,12071,4389,ND
1986:Q3,17277,0,3062,1603,0,603,856,11418,9296,1295,827,2797,16634,-4498,5286,12347,3499,ND
1986:Q4,16996,0,3173,1694,0,603,876,11443,9290,1320,833,2380,16329,-4406,5359,12505,2871,ND
1987:Q1,16789,0,3227,1724,0,603,900,11472,9281,1343,848,2090,16127,-4248,5386,12533,2456,ND
1987:Q2,16573,0,3222,1692,0,601,929,11464,9238,1378,848,1887,15921,-4002,5365,12422,2136,ND
1987:Q3,16448,0,3203,1664,0,601,938,11460,9185,1416,859,1785,15805,-3751,5339,12303,1914,ND
1987:Q4,16517,0,3207,1705,0,603,899,11495,9148,1462,885,1815,15879,-3571,5350,12306,1794,ND
1988:Q1,16841,0,3152,1522,289,614,727,11668,9213,1512,943,2021,16191,-3405,5394,12380,1822,ND
1988:Q2,17399,0,3039,1646,324,633,436,11930,9339,1562,1029,2430,16736,-3257,5460,12510,2023,ND
1988:Q3,18050,0,2949,1785,366,651,147,12218,9474,1612,1132,2883,17371,-3123,5540,12681,2273,ND
1988:Q4,18653,0,3009,1898,423,658,30,12467,9564,1662,1241,3177,17955,-2997,5628,12877,2447,ND
1989:Q1,19208,0,3176,1994,502,657,23,12641,9571,1712,1358,3391,18649,-2888,5745,13062,2730,ND
1989:Q2,19726,0,3351,2083,606,647,15,12701,9453,1762,1486,3674,19144,-2791,5914,13200,2821,ND
1989:Q3,20323,0,3544,2167,707,636,34,12862,9425,1812,1625,3917,19717,-2708,6053,13450,2922,ND
1989:Q4,21119,0,3717,2248,777,627,65,13336,9702,1862,1772,4066,20487,-2637,6079,13971,3074,ND
1990:Q1,22319,99,4634,2323,817,627,867,14223,10376,1918,1929,3363,21672,-2499,5987,14869,3315,ND
1990:Q2,23818,71,3909,2391,830,632,56,15623,11541,1992,2090,4215,23158,-2528,5771,16248,3667,ND
1990:Q3,25206,86,3973,2457,836,635,45,16924,12609,2046,2269,4223,24535,-2503,5536,17530,3972,ND
1990:Q4,25862,98,4057,2526,855,628,48,17515,12994,2043,2478,4192,25085,-2411,5381,18137,3978,ND
1991:Q1,25752,94,4160,2579,866,611,104,17398,12687,2074,2637,4100,25009,-2265,5285,18076,3913,ND
1991:Q2,24907,113,4281,2596,850,581,254,16576,11678,2029,2869,3937,24205,-2013,5213,17349,3656,ND
1991:Q3,23878,76,4392,2651,865,552,324,15648,10590,1982,3076,3762,23215,-1822,5182,16516,3339,ND
1991:Q4,23449,105,4466,2817,971,533,145,15209,10040,2000,3169,3669,22787,-1654,5203,16134,3104,ND
1992:Q1,24162,122,4977,3094,1184,525,174,15414,10089,2155,3170,3649,23470,-1555,5299,16133,3593,ND
1992:Q2,24995,157,5814,3482,1517,525,290,15658,10155,2423,3080,3366,24273,-1420,5479,16432,3782,ND
1992:Q3,25742,107,6584,3907,1854,515,308,15924,10211,2725,2988,3127,24989,-1357,5674,16779,3893,ND
1992:Q4,26517,107,7243,4295,2077,484,387,16175,10200,2981,2994,2992,25731,-1190,5816,16923,4182,ND
1993:Q1,27115,86,7800,4690,2203,432,475,16380,10113,3320,2947,2849,26210,-1080,5925,16898,4467,ND
1993:Q2,27659,84,8219,5137,2249,340,493,16552,9935,3672,2945,2804,26634,-932,6022,16735,4809,ND
1993:Q3,28131,114,8601,5532,2265,263,541,16714,9760,3974,2980,2702,27006,-820,6093,16556,5177,ND
1993:Q4,28525,139,8933,5773,2303,238,619,16901,9676,4136,3089,2552,27315,-861,6125,16481,5570,ND
1994:Q1,28975,166,8800,5400,2400,325,675,17216,9780,4261,3175,2793,27677,-746,6135,16748,5540,ND
1994:Q2,29587,125,8900,5200,2500,400,800,17643,9743,4280,3620,2919,28301,-817,6203,17176,5739,ND
1994:Q3,30132,120,8700,5000,2600,500,600,18399,10199,4358,3842,2913,28765,-952,6167,17504,6046,ND
1994:Q4,31753,146,9041,5145,2771,622,503,20134,11346,4769,4019,2432,30367,-1303,6233,18032,7405,ND
1995:Q1,31930,136,9225,5353,2769,602,501,20543,11625,4837,4081,2026,30490,-1095,5852,18474,7259,ND
1995:Q2,33603,148,9709,5854,2787,560,508,21356,12179,5340,3837,2390,32097,-1339,6215,18922,8299,ND
1995:Q3,34169,131,9652,5932,2829,670,221,21864,12622,5351,3891,2522,32615,-1042,5991,19394,8272,ND
