1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q2,476899,9977,264048,12012,84724,106138,476899,437943,0,87682,265537,84724,30740,2179,545,10028,495,0,17493,0,0,0,0,8216,476899,154451,112595,21340,0,59,20457,306756,31850,116142,1037,205,263,18275,65049,21837,17000,22017,0,2487,1614,0,2358,0,0,0,1972,0,4650,15692,0
1963:Q3,479265,9922,264385,12145,85899,106914,479265,439556,0,88336,265321,85899,31422,2224,547,10700,509,0,17442,0,0,0,0,8287,479265,154841,112981,21017,0,41,20802,308394,32023,115503,804,226,275,18442,65704,22284,17073,22492,0,2719,1737,0,1870,0,0,0,2202,0,5040,16030,0
1963:Q4,487016,9709,267845,13416,87040,109006,487016,445634,0,89382,269212,87040,33174,2568,584,11524,525,0,17973,0,0,0,0,8208,487016,157700,115129,21492,0,29,21050,313423,33652,117821,735,235,286,18625,66083,22609,17160,22944,0,2823,1823,0,2204,0,0,0,1921,0,4502,15893,0
1964:Q1,490732,10923,268229,12740,88177,110663,490732,447681,0,90039,269465,88177,34954,2926,627,10953,551,0,19897,0,0,0,0,8097,490732,160401,116675,22638,0,21,21067,314817,33223,117467,745,234,294,18817,66778,23056,17268,23660,0,2894,1957,0,2006,0,0,0,1479,0,4939,15514,0
1964:Q2,495161,11276,267656,13630,89948,112651,495161,450219,0,91251,269020,89948,36693,3077,636,11685,581,0,20714,0,0,0,0,8249,495161,160397,117118,22000,0,14,21265,319145,34517,116033,742,225,300,19004,67190,23427,18179,24387,0,3092,2003,0,2052,0,0,0,2257,0,5737,15619,0
1964:Q3,501671,11735,270714,13574,91760,113888,501671,455790,0,92139,271891,91760,37676,3243,641,11795,602,0,21395,0,0,0,0,8205,501671,161110,118250,21074,0,20,21766,324269,35009,119029,883,215,306,19197,67759,23718,18348,24881,0,3175,2034,0,1847,0,0,0,2564,0,5304,16292,0
1964:Q4,510673,11861,274261,14783,93160,116608,510673,463176,0,93533,276483,93160,38822,3508,684,11937,624,0,22069,0,0,0,0,8675,510673,162315,118960,20855,0,12,22488,331450,36565,122984,811,204,311,19412,67963,24398,18409,25255,0,3197,2051,0,1762,0,0,0,2674,0,5454,16908,0
1965:Q1,514454,12535,274096,15040,94661,118122,514454,465254,0,94189,276404,94661,40435,3579,672,12056,676,0,23452,0,0,0,0,8765,514454,164348,120460,21054,0,18,22816,333614,37184,120825,854,205,316,19630,68718,24938,18480,26054,0,3545,2131,0,2013,0,0,0,2104,0,6617,16492,0
1965:Q2,517524,12891,271988,15930,96858,119857,517524,466480,0,95668,273954,96858,42209,4201,678,13234,730,0,23366,0,0,0,0,8835,517524,163032,120223,19512,0,25,23272,338295,38703,120087,823,209,318,19836,69144,25197,19550,26689,0,3449,2112,0,1932,0,0,0,3132,0,7114,16197,0
1965:Q3,521285,13210,270884,16790,98905,121496,521285,469617,0,97560,273152,98905,42691,4195,669,13725,797,0,23305,0,0,0,0,8977,521285,164970,121773,19162,0,47,23988,339747,39280,120551,906,215,323,20082,69914,25334,19728,27096,0,3822,2084,0,1832,0,0,0,1721,0,6859,16568,0
