1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q1,46,17,-3088,-168,0,116,-3068,1448,1448,0,0,196,-1620,-148,-1472,-13372,11900,0,0,0,0,0,0,0,0,0,8,0,8,-3460,448,1368,-1196,16,180,-164,0,0,0,-488,-724,0,0,0,-4080,0,32,-4112,-343
1960:Q2,46,17,1120,-440,0,56,180,-2192,-2192,0,0,408,2428,-8,2436,4832,-2396,0,0,0,0,0,0,0,0,0,680,0,680,1148,-2196,1116,-952,-32,-164,132,0,0,0,132,-1052,0,0,0,3180,0,20,3160,57
1960:Q3,38,17,184,-2652,0,84,476,1304,1304,0,0,404,1172,12,1160,23344,-22184,0,0,0,0,0,0,0,0,0,-604,0,-604,192,4056,-876,1136,-24,36,-60,0,0,0,-256,1416,0,0,0,-4124,0,12,-4136,29
1960:Q4,34,17,-2624,-3652,0,92,3524,-2272,-2272,0,0,380,-428,184,-612,-19416,18804,0,0,0,0,0,0,0,0,0,-268,0,-268,-2380,-6680,-272,156,-92,-108,16,0,0,0,104,144,0,0,0,4416,0,24,4392,261
1961:Q1,82,13,-4184,-1298,0,44,-4368,324,324,0,0,-384,1532,-76,1608,-16940,18548,0,0,0,0,0,0,0,0,0,-34,0,-34,-4516,-1804,804,184,48,240,-192,0,0,0,224,-88,0,0,0,-3700,0,56,-3756,-263
1961:Q2,78,13,1996,766,0,112,1664,-284,-284,0,0,-196,56,-36,92,6504,-6412,0,0,0,0,0,0,0,0,0,-122,0,-122,1952,1276,-1892,1920,-268,-232,-36,0,0,0,-104,2292,0,0,0,648,0,8,640,21
1961:Q3,74,13,1128,-780,0,500,516,188,188,0,0,-164,688,-12,700,-19040,19740,0,0,0,0,0,0,0,0,0,180,0,180,1112,236,2552,12,164,148,16,0,0,0,452,-604,0,0,0,-1688,0,28,-1716,45
1961:Q4,78,13,6704,-1752,0,92,4000,132,132,0,0,-288,4652,100,4552,1088,3464,0,0,0,0,0,0,0,0,0,-132,0,-132,6816,1516,-92,1084,156,24,132,0,0,0,-300,1228,0,0,0,4308,0,52,4256,177
1962:Q1,42,13,-2400,-904,0,12,-5528,220,220,0,0,364,3204,-108,3312,12376,-9064,0,0,0,0,0,0,0,0,0,232,0,232,-2744,440,356,548,-172,60,-232,0,0,0,-128,848,0,0,0,-4088,0,32,-4120,-315
1962:Q2,54,13,3460,-44,0,40,2176,-508,-508,0,0,192,888,76,812,1956,-1144,0,0,0,0,0,0,0,0,0,716,0,716,3424,-160,-1676,4176,792,-232,1024,0,0,0,364,3020,0,0,0,1084,0,20,1064,5
