date,All sectors; pension entitlements; liability,Life insurance companies; pension entitlements, including reserve credit from reinsurers and excluding unallocated insurance contracts; liability,Private pension funds; total liabilities,Federal government retirement funds; total financial assets,State and local government employee retirement funds; pension entitlements (total liabilities),Rest of the world; pension entitlement reserve credit from non-U.S. reinsurers; liability,All sectors; pension entitlements; liability,Households and nonprofit organizations; pension entitlements; asset,Life insurance companies; pension entitlements reserve credit from reinsurers; asset,Life insurance companies; assumed pension entitlement reserve credit from non-U.S. insurers; liability,All sectors; IRAs; liability,U.S.-chartered depository institutions; IRAs and Keoghs; liability,Credit unions; IRAs; liability,Life insurance companies; IRAs; liability,Money market funds; IRAs; liability,Mutual funds; IRAs; liability,Households and nonprofit organizations; IRAs; liability
1945:Q4,61172,2700,20697,24792,12983,0,61172,61172,0,0,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,69381,3100,22077,29054,15150,0,69381,69381,0,0,ND,ND,ND,ND,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,77939,3600,23594,32968,17777,0,77939,77939,0,0,ND,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1972:Q1,830991,47585,212862,339809,230735,0,830991,830991,0,0,ND,ND,ND,ND,ND,ND,ND
1972:Q2,857232,49169,219066,347821,241176,0,857232,857232,0,0,ND,ND,ND,ND,ND,ND,ND
1972:Q3,883637,50718,225963,355113,251843,0,883637,883637,0,0,ND,ND,ND,ND,ND,ND,ND
1972:Q4,911037,52063,233770,362527,262677,0,911037,911037,0,0,ND,ND,ND,ND,ND,ND,ND
1973:Q1,924593,53212,237829,369810,263742,0,924593,924593,0,0,ND,ND,ND,ND,ND,ND,ND
1973:Q2,938527,54172,241212,378135,265008,0,938527,938527,0,0,ND,ND,ND,ND,ND,ND,ND
1973:Q3,956046,55084,248858,385632,266472,0,956046,956046,0,0,ND,ND,ND,ND,ND,ND,ND
1973:Q4,969401,56089,251894,393345,268073,0,969401,969401,0,0,ND,ND,ND,ND,ND,ND,ND
1974:Q1,992808,57019,258905,400889,275995,0,992808,992808,0,0,ND,ND,ND,ND,ND,ND,ND
1974:Q2,1014934,57733,263523,409541,284137,0,1014934,1014934,0,0,ND,ND,ND,ND,ND,ND,ND
1974:Q3,1033504,58695,265154,417126,292529,0,1033504,1033504,0,0,ND,ND,ND,ND,ND,ND,ND
1974:Q4,1060356,60372,273966,424887,301131,0,1060356,1060356,0,0,ND,ND,ND,ND,ND,ND,ND
1975:Q1,1092874,62694,287453,432528,310199,0,1092874,1092874,0,0,ND,ND,ND,ND,ND,ND,ND
1975:Q2,1126023,65593,299697,441223,319510,0,1126023,1126023,0,0,ND,ND,ND,ND,ND,ND,ND
1975:Q3,1151659,68877,304947,448817,329018,0,1151659,1151659,0,0,ND,ND,ND,ND,ND,ND,ND
1975:Q4,1182138,72349,314515,456667,338607,0,1182138,1182138,0,0,ND,ND,ND,ND,ND,ND,ND
1976:Q1,1205619,76120,325311,464568,339620,0,1205619,1205619,0,0,ND,ND,ND,ND,ND,ND,ND
1976:Q2,1225423,80343,330742,473615,340723,0,1225423,1225423,0,0,ND,ND,ND,ND,ND,ND,ND
1976:Q3,1246444,84666,338370,481360,342048,0,1246444,1246444,0,0,ND,ND,ND,ND,ND,ND,ND
1976:Q4,1268980,88740,346977,489683,343580,0,1268980,1268980,0,0,ND,ND,ND,ND,ND,ND,ND
1977:Q1,1295455,92446,354147,497322,351540,0,1295455,1295455,0,0,ND,ND,ND,ND,ND,ND,ND
1977:Q2,1324260,95847,362044,506560,359809,0,1324260,1324260,0,0,ND,ND,ND,ND,ND,ND,ND
1977:Q3,1352772,99313,370194,514904,368361,0,1352772,1352772,0,0,ND,ND,ND,ND,ND,ND,ND
1977:Q4,1382302,103217,378135,523876,377074,0,1382302,1382302,0,0,ND,ND,ND,ND,ND,ND,ND
1978:Q1,1415193,107458,387951,533347,386437,0,1415193,1415193,0,0,ND,ND,ND,ND,ND,ND,ND
1978:Q2,1451956,111959,399353,544601,396043,0,1451956,1451956,0,0,ND,ND,ND,ND,ND,ND,ND
1978:Q3,1489718,116692,412460,554635,405931,0,1489718,1489718,0,0,ND,ND,ND,ND,ND,ND,ND
1978:Q4,1521778,121630,418723,565382,416043,0,1521778,1521778,0,0,ND,ND,ND,ND,ND,ND,ND
1979:Q1,1560261,126736,430987,575443,427095,0,1560261,1560261,0,0,ND,ND,ND,ND,ND,ND,ND
1979:Q2,1595727,131964,438288,587006,438469,0,1595727,1595727,0,0,ND,ND,ND,ND,ND,ND,ND
1979:Q3,1635416,137504,450434,597337,450141,0,1635416,1635416,0,0,ND,ND,ND,ND,ND,ND,ND
1979:Q4,1684319,143546,467156,608234,465383,0,1684319,1684319,0,0,ND,ND,ND,ND,ND,ND,ND
1980:Q1,1720020,150151,480601,618511,470757,0,1720020,1720020,0,0,ND,ND,ND,ND,ND,ND,ND
1980:Q2,1775914,157384,512096,630091,476343,0,1775914,1775914,0,0,ND,ND,ND,ND,ND,ND,ND
1980:Q3,1832462,164801,544499,640576,482586,0,1832462,1832462,0,0,ND,ND,ND,ND,ND,ND,ND
1980:Q4,1884123,171960,571432,651608,489123,0,1884123,1884123,0,0,ND,ND,ND,ND,ND,ND,ND
1981:Q1,1936656,178243,590849,662031,505533,0,1936656,1936656,0,0,ND,ND,ND,ND,ND,ND,ND
1981:Q2,1986110,183634,606133,674089,522254,0,1986110,1986110,0,0,ND,ND,ND,ND,ND,ND,ND
1981:Q3,2029134,189900,615291,684952,538991,0,2029134,2029134,0,0,ND,ND,ND,ND,ND,ND,ND
1981:Q4,2084376,199792,631519,696166,556899,0,2084376,2084376,0,0,38000,24700,2500,3320,1595,995,4890
1982:Q1,2133338,209369,644158,707401,572410,0,2133338,2133338,0,0,45500,29175,2825,3946,1918,1373,6263
1982:Q2,2189682,220367,660256,720349,588710,0,2189682,2189682,0,0,53000,33650,3150,4571,2242,1811,7576
1982:Q3,2264107,233354,692625,732010,606118,0,2264107,2264107,0,0,60500,38125,3475,5194,2566,2392,8748
1982:Q4,2331384,242900,720443,743577,624464,0,2331384,2331384,0,0,68000,42600,3800,5800,2890,3084,9826
1983:Q1,2406659,252335,762165,755319,636840,0,2406659,2406659,0,0,77750,48550,4200,6619,3064,4254,11063
1983:Q2,2494857,265284,811447,768276,649850,0,2494857,2494857,0,0,87500,54500,4600,7475,3237,5614,12074
1983:Q3,2554285,272354,839127,780230,662574,0,2554285,2554285,0,0,97250,60450,5000,8250,3411,6479,13660
1983:Q4,2614619,281650,863921,793574,675474,0,2614619,2614619,0,0,107000,66400,5400,8995,3585,7359,15261
1984:Q1,2681420,287889,896874,807256,689401,0,2681420,2681420,0,0,120000,70440,6025,9827,4082,8263,21363
1984:Q2,2733014,295754,912081,822063,703116,0,2733014,2733014,0,0,133000,74480,6650,10679,4580,9269,27342
1984:Q3,2816453,310503,951873,835850,718227,0,2816453,2816453,0,0,146000,78520,7275,11673,5077,10891,32564
1984:Q4,2896256,328343,985048,849675,733190,0,2896256,2896256,0,0,159000,95644,7929,12550,5575,12329,24973
1985:Q1,2994428,340677,1039940,864772,749039,0,2994428,2994428,0,0,179500,109161,7425,14579,5923,15417,26995
1985:Q2,3064338,356665,1063099,879295,765279,0,3064338,3064338,0,0,200000,119732,8994,16569,6271,18962,29472
1985:Q3,3117095,363585,1078140,894167,781203,0,3117095,3117095,0,0,220500,124039,10088,18371,6620,21808,39574
1985:Q4,3184551,260441,1215574,909235,799301,0,3184551,3184551,0,0,241000,127887,12147,16955,6968,25857,51186
1986:Q1,3277160,273503,1257137,927082,819438,0,3277160,3277160,0,0,263000,139840,13413,18575,7466,32809,50897
1986:Q2,3352890,295200,1274613,944684,838393,0,3352890,3352890,0,0,285000,149469,16567,20208,7964,38040,52752
1986:Q3,3402031,305164,1277828,962433,856606,0,3402031,3402031,0,0,307000,150246,17309,21244,8461,41975,67765
1986:Q4,3496575,327834,1312364,979912,876465,0,3496575,3496575,0,0,329000,153813,18051,22650,8959,47724,77803
1987:Q1,3603243,341662,1370002,995254,896325,0,3603243,3603243,0,0,347750,159209,19024,24921,10198,54292,80106
