1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1982:Q1,566529,652,3972,0,0,162435,0,29545,27237,3651,102002,12990,45088,0,341392,341221,171,567901
1982:Q2,582747,760,4610,0,0,168574,0,32417,27893,3848,104416,13226,44136,0,351441,351239,202,584175
1982:Q3,599557,836,5083,0,0,174283,0,35849,31339,3550,103545,13667,50162,0,355526,355293,233,601029
1982:Q4,616864,981,5992,0,0,176919,0,36898,34310,3131,102580,13773,60200,0,358999,358735,264,618368
1983:Q1,628428,1202,7350,0,164,180066,164,39812,35339,2363,102388,13983,68737,0,356926,356627,299,630013
1983:Q2,640536,1226,7757,0,406,184530,406,43672,36156,2483,101813,14099,81807,0,350711,350360,351,642205
1983:Q3,653060,1161,7305,0,695,182817,695,46278,36406,2423,97015,14149,87559,0,359374,358952,422,654828
1983:Q4,665731,1400,8785,0,1000,184170,1000,48910,39252,2000,93008,14651,89641,0,366084,365575,509,667602
1984:Q1,679478,1623,10104,0,1321,190729,1321,54561,40192,2151,92504,14726,88715,0,372260,371786,474,681489
1984:Q2,693319,1790,11093,0,1657,201352,1657,59177,38801,2264,99453,14935,87637,0,374855,374416,439,695496
1984:Q3,707542,2003,12727,0,2040,209169,2040,64331,39492,2068,101238,14961,96406,0,370236,369814,422,709885
1984:Q4,722086,1999,11960,0,2500,217912,2500,67914,43308,1534,102656,15255,96514,0,375946,375577,369,724598
1985:Q1,736966,2339,14085,0,3039,217234,3039,73822,43495,1550,95328,15319,105957,0,378993,378607,386,739687
1985:Q2,752414,2886,14614,0,3656,222794,3656,77190,40841,1278,99829,15345,111742,0,381377,380973,404,755332
1985:Q3,768382,2496,14149,0,4320,231312,4320,79910,41556,1225,104301,15321,105134,0,395650,395210,440,771502
1985:Q4,784641,2351,13327,1427,5000,237054,5000,85383,38124,1128,107419,15309,120071,6773,383329,382839,490,787969
1986:Q1,802258,2300,14072,1494,5714,243096,5714,95028,34901,938,106515,15400,135544,7353,377285,376696,589,805807
1986:Q2,820367,2200,14183,1480,6480,250530,6480,98507,36024,1196,108323,15197,147760,6799,375738,375058,680,824124
1986:Q3,839031,2499,11595,1587,7355,263318,7355,104604,37905,1035,112419,15364,140408,5803,391102,390431,671,842981
1986:Q4,858087,3082,9891,1725,8270,281535,8270,115329,38147,709,119080,15550,150215,5545,382274,381572,702,862234
1987:Q1,874343,3709,7403,1757,9211,293098,9211,122815,39917,553,120602,15333,184755,7522,351555,350785,770,878793
1987:Q2,891171,4301,5753,1885,10170,299182,10170,129503,41311,606,117592,15228,196669,9277,348706,347941,765,895932
1987:Q3,908575,4712,5019,1937,10929,303473,10929,135414,42927,647,113556,15408,210476,10894,345727,345108,619,913601
1987:Q4,926241,4844,5216,2015,11272,313435,11272,138866,42961,808,119528,15331,170087,9098,394943,394372,571,931539
1988:Q1,943799,4852,5761,2112,11247,317490,11247,143570,40327,667,121679,15448,188043,9065,389781,389254,527,949399
1988:Q2,961678,5095,5865,2270,10900,325603,10900,142940,39568,742,131453,15637,196898,8870,390540,390057,483,967590
1988:Q3,980299,4736,6488,2326,10468,330853,10468,148740,39557,622,131466,15586,204078,7832,397932,397420,512,986460
1988:Q4,999502,4410,7116,2329,10183,334934,10183,150659,35347,533,138212,15603,212634,7448,404845,402728,2117,1005913
1989:Q1,1044587,3685,8123,2428,10320,345503,10320,151057,37920,467,145739,15132,225318,7371,426707,423974,2733,1051381
