1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q2,-13533,-33401,0,317,730,6832,-403,-19,869,415,3230,563,3672,0,694,0,2968,10610,1466,0,0,469,535,2595,696,336,0,0,1270,1725,0,0,0,0,360,1459,0,-301,0,0,-24143
1960:Q3,-14508,-34275,0,317,216,7087,-540,-20,897,417,3264,591,3793,0,694,0,3051,11320,1822,0,0,501,384,2906,629,343,0,0,1294,1818,0,0,0,0,392,1542,0,-311,0,0,-25828
1960:Q4,-14678,-32977,0,317,419,5791,-630,-22,925,431,3301,565,3780,0,695,0,2727,11689,1613,0,0,523,317,3587,582,357,0,0,1327,1863,0,0,0,0,366,1476,0,-322,0,0,-26367
1961:Q1,-11288,-31384,0,317,262,7051,-677,-24,954,433,3375,651,3784,0,682,0,3288,10109,1818,0,0,559,321,2072,192,368,0,0,1371,1895,0,0,0,0,370,1476,0,-333,0,0,-21397
1961:Q2,-11147,-30970,0,317,190,6754,-717,-25,983,433,3573,545,3928,0,680,0,3162,13342,2110,0,0,537,371,4727,258,384,0,0,1427,1942,0,0,0,0,380,1551,0,-345,0,0,-24488
1961:Q3,-9064,-30093,0,317,84,7719,-767,-26,1009,434,3657,529,4226,0,680,0,3167,11807,1755,0,0,502,354,3252,229,400,0,0,1483,1985,0,0,0,0,384,1820,0,-357,0,0,-20871
1961:Q4,-7929,-28180,0,317,254,7308,-882,-26,1033,483,3658,591,4476,0,677,0,2362,12512,1711,0,0,508,348,3681,177,418,0,0,1525,2021,0,0,0,0,387,2105,0,-369,0,0,-20441
1962:Q1,-5566,-27888,0,221,137,8728,-904,-28,1050,483,3554,594,4415,0,666,0,3406,12392,2479,0,0,515,379,2693,174,426,0,0,1558,2135,0,0,0,0,386,2029,0,-382,0,0,-17959
1962:Q2,-8688,-31325,0,214,208,8294,-863,-30,1065,484,3625,645,4970,0,666,0,3359,14869,2389,0,0,461,365,4863,163,430,0,0,1580,2351,0,0,0,0,384,2278,0,-395,0,0,-23557
1962:Q3,-5803,-29890,0,214,215,9015,-799,-31,1074,485,3681,552,5413,0,654,0,3614,15162,2546,0,0,420,398,4589,160,436,0,0,1600,2480,0,0,0,0,404,2538,0,-409,0,0,-20966
1962:Q4,-4182,-27258,0,214,344,7786,-808,-31,1082,463,3973,606,5503,0,662,0,3282,15023,2124,0,0,381,411,4628,325,450,0,0,1628,2555,0,0,0,0,400,2544,0,-423,0,0,-19205
1963:Q1,-352,-25570,0,214,82,9281,-754,-33,1087,463,3895,680,5482,0,656,0,4165,2651,-8779,0,0,405,394,3222,200,461,0,0,1661,2611,0,0,0,0,382,2532,0,-438,0,0,-3002
1963:Q2,2820,-24206,0,179,124,9541,-756,-34,1086,464,4152,653,6310,0,657,0,4650,5510,-8619,0,0,380,376,5641,174,472,0,0,1699,2632,0,0,0,0,394,2814,0,-453,0,0,-2690
1963:Q3,6827,-22991,0,179,67,11399,-741,-34,1084,463,4259,576,6874,0,652,0,5040,5465,-8510,0,0,377,392,4970,194,487,0,0,1738,2670,0,0,0,0,439,3177,0,-469,0,0,1362
1963:Q4,6693,-21825,0,179,192,10101,-792,-34,1083,487,4362,628,7161,0,649,0,4502,5157,-9546,0,0,328,351,5381,335,503,0,0,1774,2785,0,0,0,0,375,3356,0,-485,0,0,1536
