1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1968:Q3,-2830,-6626,4291,1011,-223,-208,-9,699,-6,-1,-9,-128,-183,-26,34,0,-348,-23,-41,-167,-1076
1968:Q4,11270,2532,3638,6714,-233,-1073,197,-387,18,-2,-1,-137,-126,19,-25,0,-362,-22,-68,-176,-308
1969:Q1,-8373,-6478,-1477,-1866,1973,1227,-249,1795,25,-30,-6,280,-79,34,-6,0,-267,-28,-56,-187,-1752
1969:Q2,3702,6086,1909,-4643,478,795,-20,314,56,-41,-3,246,684,23,60,0,-264,-9,-54,-196,-924
1969:Q3,-926,-4135,1131,849,1396,2166,-10,2410,-17,-4,-6,155,62,18,128,0,-293,-15,-59,-204,-2332
1969:Q4,3601,-4405,5047,6541,234,351,253,493,20,-4,4,115,82,25,-89,0,-293,-13,-40,-204,-4168
1970:Q1,-10805,-10016,-873,-2027,1641,660,-305,2449,63,-5,8,-345,-406,19,-215,0,-280,3,-102,-223,-190
1970:Q2,-2106,3218,-400,-4240,887,-1,-14,525,101,-4,12,-322,279,-32,53,0,-273,1,-103,-223,-1571
1970:Q3,-7114,-14392,5460,-609,1511,2186,-7,2871,-79,-6,7,-44,73,-32,18,0,-280,-9,-106,-219,-1270
1970:Q4,10180,-2446,6661,4860,966,1098,284,1215,-23,-5,16,-388,569,-32,15,0,-255,1,-96,-203,-959
1971:Q1,-15363,-13188,2410,-3203,2452,559,-314,1698,54,-10,-4,70,-349,-21,-8,0,-147,-2,-130,-279,-4393
1971:Q2,-3448,-1845,3592,-3318,598,495,-12,444,203,-9,-7,-396,789,0,12,0,-113,1,-133,-284,-2970
1971:Q3,-10701,-6824,1403,-406,1730,1269,-56,2249,-153,-11,-15,-392,215,-28,-14,0,-107,-2,-132,-285,-7874
1971:Q4,6301,-1365,5748,6310,-271,-1311,245,-706,-169,-12,-7,-455,243,5,47,0,-78,11,-142,-293,-2811
1972:Q1,-18508,-15277,1465,-3070,1718,1014,-263,1526,316,-8,-4,-123,114,1,-15,0,-64,-9,-126,-335,-4357
1972:Q2,-687,-397,3452,-6488,996,1765,30,1623,213,-9,-5,-274,695,25,29,0,-68,-22,-133,-340,-14
1972:Q3,-10210,-14551,6437,-17,399,700,93,1877,-106,-7,-15,-265,-346,4,-9,0,-84,-10,-92,-342,-3178
1972:Q4,-710,-4494,-4521,7797,83,881,178,2273,-814,-7,-4,-127,-131,-41,40,0,-29,3,-102,-359,-457
1973:Q1,-40605,-8772,-3069,-4319,352,-2103,-325,-657,-388,-3,27,16,-387,6,33,0,-45,9,-30,-360,-22695
1973:Q2,3112,-454,5583,-1649,-2064,395,-10,-152,577,-4,28,7,449,-52,64,0,-114,8,-25,-382,1301
1973:Q3,2614,-6447,10383,115,1159,-1688,-35,-948,123,-16,6,-126,-199,-120,48,0,-38,29,-16,-396,-906
1973:Q4,3563,-6204,2929,5174,-1386,-1083,405,-576,-155,-14,19,-184,-136,-96,107,0,-89,36,-6,-393,4133
1974:Q1,-12273,-4571,-1362,-112,536,1402,-411,2396,885,-3,86,-226,-705,-95,97,0,-113,41,-86,-464,-8166
1974:Q2,17912,15905,1010,-990,-1677,-1131,-49,-59,-1065,-4,91,-66,783,-83,89,0,-318,38,-18,-471,4795
1974:Q3,-922,5125,-13006,-401,2095,3630,-33,2324,1476,-1,69,74,511,-47,59,0,-354,51,-31,-467,1635
