1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1967:Q3,170726,1431,0,0,75169,1138,4717,238,3129,65947,76507,9860,66647,10671,177,0,0,0,386,6385,0,3876,0,2509,156551,0,0,0,107124,31276,512,112,17527,0,0,11637,0,5890,431,0,140433,0,0,0
1967:Q4,172609,1576,0,0,75730,480,4683,230,3145,67192,77575,10059,67516,10687,190,0,0,0,394,6457,0,3947,0,2510,158921,0,0,0,108333,31939,481,118,18050,0,0,11861,0,6189,452,0,142381,0,0,0
1968:Q1,173853,1164,0,0,77153,676,4678,266,3175,68358,78309,10336,67973,10053,199,0,0,0,404,6571,0,4031,0,2540,161164,0,0,0,109533,32612,643,118,18258,0,0,12101,0,6157,453,0,144333,0,0,0
1968:Q2,177196,1225,0,0,77814,670,4447,252,3173,69272,79118,10697,68421,11713,201,0,0,0,413,6712,0,4121,0,2591,163372,0,0,0,110725,33300,553,118,18676,0,0,12345,0,6331,455,0,146290,0,0,0
1968:Q3,179975,1434,0,0,78704,801,4528,263,3169,69943,79949,11042,68907,12385,211,0,0,0,423,6869,0,4213,0,2656,165449,0,0,0,111922,33797,629,119,18982,0,0,12595,0,6387,456,0,148064,0,0,0
1968:Q4,183022,1682,0,0,79362,526,4456,294,3194,70892,81281,11306,69975,12986,244,0,0,0,432,7035,0,4302,0,2733,168092,0,0,0,113135,34696,643,124,19494,0,0,12850,0,6644,475,0,150263,0,0,0
1969:Q1,185017,1347,0,0,80683,854,4339,317,3230,71943,82107,11725,70382,12893,301,0,0,0,442,7244,0,4390,0,2854,170296,0,0,0,114361,35300,806,124,19705,0,0,13107,0,6598,477,0,152181,0,0,0
1969:Q2,186543,1217,0,0,80849,698,4129,345,3224,72453,83219,12361,70858,12966,382,0,0,0,453,7457,0,4478,0,2979,172595,0,0,0,115594,36003,636,125,20237,0,0,13369,0,6868,479,0,154209,0,0,0
1969:Q3,188610,1279,0,0,81478,1019,4088,382,3224,72765,84550,13182,71368,12751,470,0,0,0,463,7619,0,4568,0,3051,174919,0,0,0,116841,36718,723,125,20512,0,0,13640,0,6872,482,0,156272,0,0,0
1969:Q4,191241,1634,0,0,81719,1365,4124,390,3221,72619,85852,13825,72027,13157,550,0,0,0,474,7855,0,4688,0,3167,177404,0,0,0,118107,37561,698,117,20921,0,0,13927,0,6994,452,0,158495,0,0,0
1970:Q1,193637,1477,0,0,82608,1715,4080,448,3235,73130,87217,14544,72673,13164,634,0,0,0,485,8052,0,4792,0,3260,179833,0,0,0,119379,38343,884,118,21109,0,0,14233,0,6876,454,0,160681,0,0,0
1970:Q2,192796,1381,0,0,82887,1655,4014,445,3229,73544,88418,15191,73227,10634,734,0,0,0,496,8246,0,4899,0,3347,182240,0,0,0,120642,39123,686,118,21671,0,0,14560,0,7111,456,0,162876,0,0,0
1970:Q3,197496,1430,0,0,84143,2519,4147,488,3272,73717,89285,15703,73582,12875,817,0,0,0,507,8439,0,5008,0,3431,184779,0,0,0,121947,39971,785,119,21957,0,0,14892,0,7065,457,0,165185,0,0,0
1970:Q4,200867,1758,0,0,84100,2142,4042,532,3306,74078,90439,16064,74375,14571,849,0,0,0,519,8631,0,5118,0,3513,187611,0,0,0,123341,40960,823,121,22366,0,0,15212,0,7154,466,0,167711,0,0,0
1971:Q1,205572,1549,0,0,86101,3018,4004,539,3314,75226,90829,16296,74533,16889,831,0,0,0,531,8842,0,5206,0,3636,190668,0,0,0,124823,42102,948,122,22673,0,0,15545,0,7128,467,0,170450,0,0,0
1971:Q2,207818,1482,0,0,87498,3679,3722,539,3339,76219,91040,16531,74509,17425,763,0,0,0,543,9067,0,5282,0,3785,193958,0,0,0,126389,43385,815,122,23247,0,0,15864,0,7383,470,0,173397,0,0,0
1971:Q3,211379,1507,0,0,89247,4078,3751,613,3366,77439,91563,16812,74751,18539,677,0,0,0,556,9290,0,5356,0,3934,197404,0,0,0,128000,44749,895,123,23637,0,0,16183,0,7454,472,0,176464,0,0,0
1971:Q4,215116,1763,0,0,90117,2770,3828,627,3363,79529,92561,17065,75496,20007,600,0,0,0,569,9499,0,5436,0,4063,200931,0,0,0,129621,46131,796,137,24246,0,0,16511,0,7735,527,0,179566,0,0,0
1972:Q1,219621,1164,0,0,92829,3952,3990,716,3351,80820,92665,17267,75398,22123,526,0,0,0,582,9732,0,5556,0,4176,204663,0,0,0,131260,47585,940,138,24740,0,0,16867,0,7873,529,0,182763,0,0,0
1972:Q2,222176,1328,0,0,94143,3564,3722,699,3351,82807,92926,17522,75404,22773,435,0,0,0,595,9976,0,5701,0,4275,208701,0,0,0,132927,49169,739,138,25728,0,0,17238,0,8490,531,0,186119,0,0,0
1972:Q3,226751,1422,0,0,96936,4799,3875,750,3362,84150,93359,17771,75588,23848,357,0,0,0,609,10220,0,5849,0,4371,212680,0,0,0,134620,50718,835,138,26369,0,0,17620,0,8749,533,0,189471,0,0,0
1972:Q4,232264,1981,0,0,97413,2981,3827,735,3367,86503,94951,18003,76948,26528,317,0,0,0,623,10451,0,5976,0,4475,216227,0,0,0,136343,52063,811,156,26854,0,0,18012,0,8842,601,0,192657,0,0,0
1973:Q1,235243,1524,0,0,100836,5237,3824,764,3332,87679,95450,18284,77166,25801,321,0,0,0,638,10673,0,6087,0,4586,220015,0,0,0,138104,53212,993,157,27549,0,0,18415,0,9134,602,0,195694,0,0,0
1973:Q2,236741,1501,0,0,101842,4479,3572,815,3374,89602,96695,18713,77982,24798,366,0,0,0,653,10886,0,6185,0,4701,223342,0,0,0,139911,54172,786,158,28315,0,0,18832,0,9483,609,0,198596,0,0,0
