date,Closed-end funds; total financial assets,Closed-end funds; debt securities; asset,Closed-end funds; Treasury securities; asset,Closed-end funds; municipal securities; asset,Closed-end funds; corporate and foreign bonds; asset,Closed-end funds; corporate equities; asset,Closed-end funds; total financial assets,Closed-end funds; total financial assets in domestic equity funds,Closed-end funds; total financial assets in world equity funds,Closed-end funds; total financial assets in domestic taxable bond funds,Closed-end funds; total financial assets in municipal bond funds,Closed-end funds; total financial assets in world bond funds
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1984:Q4,-443,-143,-7,0,-136,-300,-443,ND,ND,ND,ND,ND
1985:Q1,156,271,6,200,65,-115,156,ND,ND,ND,ND,ND
1985:Q2,1,128,13,200,-85,-127,1,ND,ND,ND,ND,ND
1985:Q3,439,486,28,250,208,-47,439,ND,ND,ND,ND,ND
1985:Q4,373,513,53,300,160,-140,373,ND,ND,ND,ND,ND
1986:Q1,1564,472,77,250,145,1092,1564,ND,ND,ND,ND,ND
1986:Q2,1595,795,100,250,445,800,1595,ND,ND,ND,ND,ND
1986:Q3,1395,795,117,250,428,600,1395,ND,ND,ND,ND,ND
1986:Q4,1254,854,132,300,422,400,1254,ND,ND,ND,ND,ND
1987:Q1,2317,601,247,241,113,1716,2317,ND,ND,ND,ND,ND
1987:Q2,1441,346,-224,217,353,1095,1441,ND,ND,ND,ND,ND
1987:Q3,1429,1023,-27,293,757,406,1429,ND,ND,ND,ND,ND
1987:Q4,2087,2011,570,520,921,76,2087,ND,ND,ND,ND,ND
1988:Q1,3354,3167,673,643,1851,187,3354,ND,ND,ND,ND,ND
1988:Q2,6267,5574,1270,1082,3222,693,6267,ND,ND,ND,ND,ND
1988:Q3,6047,4974,871,1179,2924,1073,6047,ND,ND,ND,ND,ND
1988:Q4,4951,4152,382,1322,2448,799,4951,ND,ND,ND,ND,ND
1989:Q1,626,2630,700,1068,862,-2004,626,ND,ND,ND,ND,ND
1989:Q2,-27,181,489,861,-1169,-208,-27,ND,ND,ND,ND,ND
1989:Q3,3295,2867,293,1826,748,428,3295,ND,ND,ND,ND,ND
1989:Q4,2380,878,347,849,-318,1502,2380,ND,ND,ND,ND,ND
1990:Q1,3179,2508,22,822,1664,671,3179,ND,ND,ND,ND,ND
1990:Q2,-2558,-1335,-90,-155,-1090,-1223,-2558,ND,ND,ND,ND,ND
