1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1974:Q4,277743,17466,156066,53190,41505,22208,9580,9717,0,9516,1705,7811,0,277743,0,261119,16624,0,0
1975:Q1,264601,16443,147759,54100,36497,17924,9069,9504,0,9802,1711,8091,0,264601,0,247940,16661,0,0
1975:Q2,265422,18878,145314,55092,35630,18491,7609,9530,0,10508,1768,8740,0,265422,0,249069,16353,0,0
1975:Q3,259340,20117,141120,55983,30602,13959,6228,10415,0,11518,1917,9601,0,259340,0,242446,16894,0,0
1975:Q4,264307,23548,141944,56659,29872,13260,5300,11312,0,12284,1964,10320,0,264307,0,246703,17604,0,0
1976:Q1,254363,21579,134401,57632,28269,13072,4765,10432,0,12482,2081,10401,0,254363,0,237394,16969,0,0
1976:Q2,262515,23638,136841,59546,29434,12977,4301,12156,0,13056,2166,10890,0,262515,0,245086,17429,0,0
1976:Q3,260461,22208,135801,60857,28447,11353,3987,13107,0,13148,2093,11055,0,260461,0,242920,17541,0,0
1976:Q4,272450,24073,138761,62117,32638,13277,3400,15961,0,14861,2855,12006,0,272450,0,254802,17648,0,0
1977:Q1,273370,24587,141318,63660,29564,12160,2878,14526,0,14241,2409,11832,0,273370,0,255520,17850,0,0
1977:Q2,282560,24636,147277,66680,29855,12569,2280,15006,0,14112,2636,11476,0,282560,0,264035,18525,0,0
1977:Q3,289318,24160,148563,68840,33068,14346,2000,16722,0,14687,2768,11919,0,289318,0,270057,19261,0,0
1977:Q4,301003,24474,153766,70439,37059,16744,1870,18445,0,15265,2937,12328,0,301003,0,280086,20917,0,0
1978:Q1,306631,23380,162017,72859,32600,15119,1720,15761,0,15775,3077,12698,0,306631,0,283742,22889,0,0
1978:Q2,323273,24417,168747,77792,35655,17363,1352,16940,0,16662,2996,13666,0,323273,0,298478,24795,0,0
1978:Q3,329149,23817,167988,82437,35472,17313,1226,16933,0,19435,3705,15730,0,329149,0,301335,27814,0,0
1978:Q4,345295,24471,173563,85961,37067,20083,1160,15824,0,24233,5167,19066,0,345295,0,312760,32535,0,0
1979:Q1,350854,22925,180067,89248,34089,19226,1100,13763,0,24525,5980,18545,0,350854,0,315204,35650,0,0
