1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q2,-1868,-10873,9727,-5040,3531,1990,12,-424,97,-5,-14,449,473,44,-47,0,1958,-40,-46,-466,-1203
1963:Q3,4170,1368,10478,-948,-5512,3837,-16,2496,105,-1,-17,737,-23,32,-39,0,1137,-42,-50,-481,-5053
1963:Q4,7216,-4503,4948,5954,3915,-2567,284,-876,109,-1,-14,25,-1085,-64,-27,0,-292,-39,-84,-503,-531
1964:Q1,14865,-9505,28696,-1727,672,-1343,-933,1699,-133,-21,-58,-126,949,-204,-86,0,-1800,-49,-81,-499,-1928
1964:Q2,-4643,-10436,13901,-10665,2895,1425,-521,-165,5,-25,-51,123,256,-276,38,0,2686,-54,-67,-524,-1763
1964:Q3,-15977,-16331,9443,-156,-4796,1801,-521,3854,169,-5,-52,243,186,-280,-50,0,-1067,-61,-70,-545,-5938
1964:Q4,15378,-3659,13101,8376,3460,-4142,1911,-5660,469,-13,-43,361,-1679,-332,-26,0,1554,-58,-74,-552,-1757
1965:Q1,35116,-7934,33010,3078,-813,7082,-451,8728,-295,-14,-46,55,565,-88,-74,0,-528,-87,-107,-576,693
1965:Q2,-9530,-9589,9887,-10188,2071,-1298,-19,-574,-22,-14,-43,-299,1070,-124,114,0,-530,-87,-150,-620,-413
1965:Q3,-13384,-21290,15109,-1224,-7557,4852,-11,6433,262,-10,-52,308,-321,-180,-114,0,-569,-90,-161,-642,-3274
1965:Q4,-25251,-5889,-13616,7504,928,-10997,420,-8307,-75,-18,-37,869,-2043,-188,-34,0,-578,-92,-218,-697,-3181
1966:Q1,18711,-19782,24122,5548,-2048,9738,-532,11578,30,-6,-34,1538,-1371,196,-74,0,-735,-92,-103,-657,1133
1966:Q2,-19021,-11810,6725,-19024,2345,1206,-56,781,-30,-2,-24,-175,1872,184,126,0,-666,-89,-47,-668,1537
1966:Q3,-26204,-30997,7934,-688,-5327,7069,-56,6866,71,-6,-47,-304,1989,96,-86,0,-640,-89,-45,-681,-4196
1966:Q4,-2815,-1926,8858,6426,3548,-17974,576,-14917,-226,-10,-24,-288,-1982,84,34,0,-510,-87,42,-667,-1747
1967:Q1,18154,-22004,35842,-3583,-892,10707,-662,14315,13,-6,-6,805,-2452,312,-56,0,-716,-103,-99,-638,-1916
1967:Q2,-3951,-5778,8684,-8526,293,-904,6,693,-118,-7,5,45,-251,164,120,0,-706,-98,-146,-611,2280
1967:Q3,-29239,-35081,11284,-635,-4142,3919,-18,4399,282,-2,-13,691,98,180,-116,0,-716,-100,-168,-597,-4584
1967:Q4,-11216,33026,-3906,10887,2841,-52367,598,-52542,81,-2,3,398,546,220,-28,0,-726,-102,-207,-606,-1697
1968:Q1,12787,-64186,27430,6222,-806,45741,-851,47801,191,2,-25,329,395,196,-125,0,-1187,-84,-201,-699,-1614
1968:Q2,7081,4749,6636,-4297,-975,-1052,-42,423,-247,2,-18,-266,828,292,139,0,-1225,-92,-172,-673,2019
1968:Q3,-18978,-30541,20106,251,-6740,2633,-34,6179,152,-2,-35,-512,-827,-104,135,0,-1393,-94,-165,-667,-4687
1968:Q4,5163,19966,-7569,10588,5593,-24011,786,-21189,-148,-6,-5,-549,-364,76,-101,0,-1450,-88,-272,-702,595
1969:Q1,16039,-25071,15850,4638,5521,22398,-997,24390,475,-119,-23,1121,-410,136,-23,0,-1068,-112,-223,-748,-7296
1969:Q2,15426,17728,4269,-10582,4629,4000,-80,2327,-89,-163,-11,983,2794,92,241,0,-1057,-37,-217,-783,-4617
1969:Q3,-13821,-22517,7695,-270,-1104,12383,-40,13321,84,-15,-23,619,137,72,513,0,-1172,-60,-237,-816,-10007
1969:Q4,-25625,-5869,-1362,9738,7275,-20625,1013,-19988,-137,-15,17,461,477,100,-355,0,-1170,-51,-160,-817,-14782
1970:Q1,-28638,-41860,18350,-8934,1452,4026,-1220,10329,-309,-18,30,-1381,-210,76,-859,0,-1121,11,-409,-892,-1673
1970:Q2,-41656,-27717,-3647,-4723,5155,-2617,-55,1860,-1869,-17,47,-1289,1015,-128,213,0,-1091,2,-412,-893,-8108
1970:Q3,-37183,-78117,28574,10011,-5248,12801,-27,12236,199,-22,27,-176,3078,-128,70,0,-1118,-36,-425,-877,-5204
1970:Q4,68091,53146,111,-4418,18664,1565,1134,3815,2225,-18,65,-1552,-1823,-128,58,0,-1020,2,-383,-810,-977
1971:Q1,-42647,-55632,32550,-9346,4957,3494,-1256,7276,-393,-39,-15,279,-12,-84,-30,0,-587,-10,-518,-1116,-18671
1971:Q2,-51570,-51224,11739,-2298,4519,-595,-49,1485,-1514,-35,-26,-1584,3197,0,47,0,-451,2,-532,-1134,-13712
1971:Q3,-54296,-46901,10828,9414,-5212,9385,-225,9841,-29,-43,-61,-1567,3738,-112,-57,0,-429,-6,-527,-1138,-31810
1971:Q4,55663,60871,-2515,-241,13773,-8234,978,-3861,1673,-48,-27,-1822,-3331,20,186,0,-311,44,-566,-1170,-7991
1972:Q1,-27822,-61889,48524,-6380,545,10886,-1051,9109,105,-30,-14,-490,5445,4,-58,0,-256,-35,-504,-1338,-19509
1972:Q2,-44997,-58012,12562,-12320,10940,2748,121,4528,616,-34,-20,-1095,667,100,117,0,-271,-88,-533,-1359,-915
1972:Q3,-24161,-38168,19768,13840,-13443,5536,372,8245,-416,-26,-58,-1060,609,16,-35,0,-337,-39,-367,-1368,-11694
1972:Q4,-23478,19191,-53516,-2249,14738,-1731,710,7316,-1866,-27,-17,-507,-5390,-164,159,0,-114,11,-406,-1435,90
1973:Q1,-109479,-32100,29858,-11123,-3432,-2093,-1298,387,-2863,-13,107,62,3069,24,133,0,-178,35,-118,-1440,-90588
1973:Q2,-28535,-57620,21340,7280,-1718,-2297,-40,-2505,2100,-17,111,29,24,-208,256,0,-454,33,-99,-1527,4480
1973:Q3,19737,-6635,34523,10130,-11256,-3872,-141,-3170,674,-62,22,-503,1278,-480,191,0,-151,116,-63,-1584,-3153
1973:Q4,-6990,8848,-22415,-9004,8647,-9658,1619,-4048,715,-57,74,-737,-5458,-384,428,0,-356,142,-25,-1571,16592
1974:Q1,6811,-7493,34115,2825,-1611,11520,-1644,12705,2115,-13,345,-903,1395,-380,386,0,-453,165,-343,-1854,-32545
1974:Q2,32585,8016,4251,11420,-1256,-7835,-197,-2203,-4369,-17,365,-263,1897,-332,355,0,-1272,153,-70,-1882,17989
1974:Q3,-6543,36186,-60944,1737,-7450,17413,-133,9804,6177,-4,276,294,4155,-188,234,0,-1417,206,-122,-1869,6515
1974:Q4,49775,31941,9670,-13293,26431,-6219,2105,-4404,1922,0,316,1071,-5499,24,550,0,-906,361,104,-1864,1244
1975:Q1,-30178,-71361,32586,539,-8227,12030,-1068,10846,1369,-31,10,-721,3971,-64,214,0,-936,432,-272,-1720,4255
1975:Q2,5283,-60785,65123,-3782,-3995,1400,-434,4388,-1865,-38,-24,-53,2189,-68,-557,0,-640,389,-298,-1588,7322
1975:Q3,57023,-19321,80488,3532,-14147,18408,137,15468,3971,62,-114,-827,1861,-152,-449,0,-57,449,-397,-1545,-11937
1975:Q4,44747,-21924,63128,-3668,15664,-18039,2025,-11251,-317,58,-65,-3132,-4527,-112,1227,0,-362,428,-495,-1517,9585
1976:Q1,-6686,-44550,19202,893,-3571,11706,-2009,19122,958,238,32,-6019,2932,-148,304,0,-1828,478,-910,-1443,9633
1976:Q2,-41593,-89136,1002,15886,1344,4152,-40,3082,-896,198,47,-274,5508,-168,-349,0,-1267,477,-715,-1452,25159
1976:Q3,15390,-13685,56517,-6415,-8644,1362,-147,4100,-523,-3,0,-4335,5221,-288,27,0,-998,451,-661,-1483,-13745
1976:Q4,16695,-47400,62996,-4047,4481,-22747,1797,-15505,3662,-7,73,-3133,-8371,-244,490,0,-95,414,-328,-1501,23412
1977:Q1,-30484,-71422,29574,8711,-10860,14467,-1883,17942,-355,79,642,-2711,4734,-232,-533,0,-1583,350,-629,-1353,-954
1977:Q2,7900,-7480,28358,-463,-10076,-9191,19,-5253,89,62,631,-2021,1848,-276,-101,0,-1709,-602,-480,-1398,6751
1977:Q3,-8383,-22681,44459,1567,-13337,12083,64,3170,7065,-210,591,-2445,6050,-316,274,0,-731,455,-464,-1420,-30474
