1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2008:Q2,19922,33,6621,6600,11,0,10,-298,13566,19922
2008:Q3,19944,32,19382,19286,187,0,-91,-798,1328,19944
2008:Q4,19163,203,50946,52417,-589,0,-882,1482,-33468,19163
2009:Q1,19608,202,-22603,-22171,-147,0,-285,-251,42260,19608
2009:Q2,18524,203,4632,4544,155,0,-67,-992,14681,18524
2009:Q3,18941,202,16703,17369,-370,0,-296,-1349,3385,18941
2009:Q4,19699,-199,63941,63834,44,0,63,-617,-43426,19699
2010:Q1,19221,-200,-16381,-16526,53,0,92,-187,35989,19221
2010:Q2,20120,-200,3418,3885,-145,0,-322,670,16232,20120
2010:Q3,20597,-199,16404,16556,-186,0,34,167,4225,20597
2010:Q4,20972,-17,62007,61673,74,0,260,-968,-40050,20972
2011:Q1,21389,-17,-13952,-14048,23,0,73,-688,36046,21389
2011:Q2,21915,-17,-86820,-86728,-29,0,-63,-182,108934,21915
2011:Q3,21546,-17,106403,106399,-333,0,337,-425,-84415,21546
2011:Q4,21770,-17,64548,64419,28,0,101,-541,-42220,21770
2012:Q1,21312,-17,-16036,-16261,57,0,168,-1086,38451,21312
2012:Q2,21072,-16,5730,6091,-76,0,-285,-71,15429,21072
2012:Q3,21146,-17,19114,19367,-235,74,-92,-8,2057,21146
2012:Q4,21077,15,30942,30872,10,1,59,-320,-9560,21077
2013:Q1,20958,16,11718,11531,26,2,159,-702,9926,20958
2013:Q2,21364,16,-87015,-87156,8,2,131,-458,108821,21364
2013:Q3,21434,15,-16738,-16815,-35,-5,117,-444,38601,21434
2013:Q4,21643,91,191098,190893,35,3,167,-536,-169010,21643
2014:Q1,21367,91,-12692,-12599,-11,-2,-80,-399,34367,21367
2014:Q2,21748,90,2845,2827,8,0,10,-377,19190,21748
2014:Q3,21489,91,19061,19358,-222,-11,-64,-229,2566,21489
2014:Q4,20936,-5,59129,59220,-14,-1,-76,-163,-38025,20936
2015:Q1,20638,-6,-48940,-48869,-5,0,-66,-410,69994,20638
2015:Q2,20455,-5,-64500,-64617,0,0,117,-439,85399,20455
2015:Q3,20061,-5,-23317,-23764,48,-1,400,-565,43948,20061
2015:Q4,19362,-25,212795,212661,14,0,120,-420,-192988,19362
2016:Q1,19372,-25,-15124,-14929,-14,-1,-180,123,34398,19372
2016:Q2,18775,-24,214,314,-5,-1,-94,-51,18636,18775
2016:Q3,18976,-25,17961,17597,210,22,132,-688,1728,18976
2016:Q4,18719,59,80997,80811,17,3,166,-563,-61774,18719
2017:Q1,18594,60,-42111,-42182,12,1,58,-731,61376,18594
2017:Q2,18427,59,-71591,-71610,7,0,12,-493,90452,18427
2017:Q3,18644,60,121263,121547,-24,-11,-249,51,-102730,18644
2017:Q4,18426,-50,60835,60742,18,1,74,-633,-41726,18426
2018:Q1,18299,-51,6641,6583,-7,0,65,-458,12167,18299
2018:Q2,18327,-50,580,505,1,0,74,-283,18080,18327
2018:Q3,18389,-50,33210,33052,183,-21,-4,-164,-14607,18389
2018:Q4,18530,-40,84126,84587,-104,-5,-352,464,-66020,18530
2019:Q1,18636,-39,-40226,-40293,33,1,33,-576,59477,18636
2019:Q2,19470,-39,-77220,-77157,1,0,-64,-88,96817,19470
2019:Q3,19723,-40,133515,133463,36,-3,19,-171,-113581,19723
2019:Q4,19623,40,95966,95775,41,2,148,-763,-75620,19623
2020:Q1,19877,39,-11494,-10686,-223,-8,-577,493,30839,19877
2020:Q2,19564,39,-10563,-10601,81,2,-45,-698,30786,19564
2020:Q3,20044,39,36114,36178,-140,-7,83,-440,-15669,20044
2020:Q4,19739,39,86852,86640,52,2,158,-1566,-65586,19739
2021:Q1,20593,40,-5647,-6110,48,2,413,-1054,27254,20593
2021:Q2,19407,39,11832,11809,16,1,6,-974,8510,19407
2021:Q3,20686,39,-11125,-11222,7,1,89,-531,32303,20686
2021:Q4,20127,39,172905,172667,38,1,199,-606,-152211,20127
