1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1989:Q1,365061,28983,37133,47558,247478,149877,12716,14060,68117,2708,3909,365061,365061,0,0,0,0,1247
1989:Q2,385856,22296,44231,52664,260035,161399,11063,17328,66820,3425,6630,385856,385856,0,0,0,0,1417
1989:Q3,416782,29354,45653,54274,277738,174914,12643,16500,69752,3929,9763,416782,416782,0,0,0,0,1697
1989:Q4,430007,26328,43652,54763,297379,187788,14760,21000,70065,3766,7885,430007,430007,0,0,0,0,6248
1990:Q1,465696,26996,36842,53123,340615,205188,31274,22093,77892,4168,8120,465696,465696,0,0,0,0,6564
1990:Q2,455295,27990,31163,54999,329771,190898,27900,29082,76495,5396,11372,455295,455295,0,0,0,0,6846
1990:Q3,486898,31756,25226,66173,357389,210808,33917,30356,79518,2790,6354,486898,486898,0,0,0,0,7932
1990:Q4,501268,27025,22361,58899,377358,208723,45414,37205,84009,2007,15625,501268,501268,0,0,0,0,8305
1991:Q1,555411,32892,29283,73804,416657,217166,66040,39671,91347,2433,2775,555411,555411,0,0,0,0,8544
1991:Q2,535657,27191,32538,71927,395345,212285,55498,36345,87910,3307,8656,535657,535657,0,0,0,0,8632
1991:Q3,536008,24164,35086,73404,394524,198987,64789,41114,86735,2899,8830,536008,536008,0,0,0,0,8369
1991:Q4,542441,21806,35692,68098,409201,193784,79597,41323,90603,3894,7644,542441,542441,0,0,0,0,8152
1992:Q1,574836,20424,36068,81043,430118,204187,84839,39880,97320,3892,7183,574836,574836,0,0,0,0,8406
1992:Q2,559738,16786,34402,81211,419423,196411,79679,44187,93959,5187,7916,559738,559738,0,0,0,0,8141
1992:Q3,556864,21576,37719,73147,416916,187824,79892,51206,92346,5648,7506,556864,556864,0,0,0,0,8075
1992:Q4,546194,20557,35168,66942,413324,176181,79620,55109,96024,6390,10203,546194,546194,0,0,0,0,7862
