1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2005:Q1,50904,9536,1518,5452,49,264,5139,34398,284633,83340,156700,20269,136431,24882,111549,44593
2005:Q2,55240,10558,1979,6243,49,285,5909,36460,297654,88410,163154,20582,142572,24768,117804,46090
2005:Q3,56462,10859,2143,6174,45,391,5738,37286,303978,88681,167390,21042,146348,25376,120972,47907
2005:Q4,55795,9284,2513,6509,45,427,6037,37489,305427,90454,167806,22339,145467,24768,120699,47167
2006:Q1,56128,9755,2395,6319,44,360,5915,37659,311146,89794,173200,23589,149611,24865,124746,48152
2006:Q2,58715,9775,2327,6487,62,382,6043,40126,318312,92200,175792,22263,153529,24623,128906,50320
2006:Q3,60724,11176,2367,6732,55,393,6284,40449,323567,94729,177338,22461,154877,25650,129227,51500
2006:Q4,61595,13404,2466,7060,56,452,6552,38665,313785,91404,171035,18985,152050,25083,126967,51346
2007:Q1,65544,15995,2855,8493,38,380,8075,38201,317729,100564,167923,19899,148024,24874,123150,49242
2007:Q2,63220,13039,2692,7723,42,392,7289,39766,322402,101312,170978,19754,151224,24285,126939,50112
2007:Q3,62754,12854,2562,8091,40,329,7722,39247,329331,101630,175633,21214,154419,22614,131805,52068
2007:Q4,63181,11021,2713,9257,42,346,8869,40190,341959,104032,182237,25509,156728,22749,133979,55690
2008:Q1,65810,11810,2417,9989,44,544,9401,41594,345128,103011,189075,27241,161834,23977,137857,53042
2008:Q2,66470,11935,2539,10910,49,577,10284,41086,342849,105891,184921,23738,161183,23934,137249,52037
2008:Q3,68817,13072,2978,11432,75,505,10852,41335,344601,103747,188670,26014,162656,24480,138176,52184
2008:Q4,65378,13082,2936,11471,80,508,10883,37889,344283,102619,191506,27999,163507,25073,138434,50158
2009:Q1,82117,14810,4421,15212,88,495,14629,47674,355865,108395,196789,27365,169424,25857,143567,50681
2009:Q2,86925,20240,4873,14663,87,282,14294,47149,347114,106631,195720,20981,174739,27418,147321,44763
2009:Q3,91353,24408,4646,15213,92,284,14837,47086,345671,106296,193083,18234,174849,27477,147372,46292
2009:Q4,95083,23407,5040,15519,97,295,15127,51117,347168,107327,193436,18172,175264,27336,147928,46405
2010:Q1,93652,21907,5096,15294,101,246,14947,51355,344884,108165,190539,16780,173759,27105,146654,46180
2010:Q2,92561,21169,4712,15295,104,286,14905,51385,341321,108221,187735,14945,172790,27083,145707,45365
2010:Q3,93767,19285,5043,15295,106,269,14920,54144,349265,110419,191971,15462,176509,27680,148829,46875
2010:Q4,94263,19301,5398,15879,108,316,15455,53685,346776,108376,192498,16407,176091,27752,148339,45902
2011:Q1,105275,22490,5294,15639,110,236,15293,61852,360406,115762,197391,15754,181637,27139,154498,47253
2011:Q2,106041,17821,4937,19700,121,241,19338,63583,370126,118036,203050,15842,187208,27278,159930,49040
2011:Q3,104530,17312,4563,18863,152,238,18473,63792,377697,118062,209377,21185,188192,27514,160678,50258
2011:Q4,102349,16971,4807,18754,161,281,18312,61817,384132,121596,212034,22489,189545,27859,161686,50502
2012:Q1,105870,19351,4958,18245,159,236,17850,63316,391257,130366,209624,18916,190708,27020,163688,51267
2012:Q2,106159,18447,5012,18101,160,277,17664,64599,395297,132705,210808,20341,190467,26505,163962,51784
2012:Q3,111174,19683,5079,18672,166,318,18188,67740,405174,138395,212283,19200,193083,26495,166588,54496
2012:Q4,116432,21088,4611,20402,193,352,19857,70331,422613,149232,218300,23913,194387,26711,167676,55081
2013:Q1,115100,20381,3599,18616,173,307,18136,72504,421820,150162,218342,18803,199539,31278,168261,53316
2013:Q2,129796,23946,5338,22501,208,546,21747,78011,450177,158812,236374,21884,214490,30654,183836,54991
2013:Q3,132549,27983,5215,21465,209,492,20764,77886,452649,166987,230565,26597,203968,30248,173720,55097
2013:Q4,136781,23364,4750,22812,210,340,22262,85855,478841,183218,238008,23757,214251,29684,184567,57615
2014:Q1,144988,22526,4635,23820,209,311,23300,94007,492664,191695,243019,25923,217096,29313,187783,57950
2014:Q2,155869,26513,4693,23997,205,302,23490,100666,511054,208177,241576,22843,218733,30013,188720,61301
2014:Q3,154611,26327,4543,23528,206,269,23053,100213,522793,211716,247612,26344,221268,29951,191317,63465
2014:Q4,157186,26330,5230,25418,211,272,24935,100208,538669,212456,261401,29979,231422,31053,200369,64812
2015:Q1,164819,25799,5954,25527,254,282,24991,107539,554743,219742,269724,34210,235514,31834,203680,65277
2015:Q2,162899,22562,4836,25873,217,270,25386,109628,573270,227890,278034,39195,238839,32642,206197,67346
2015:Q3,169442,25407,5121,26408,220,313,25875,112506,591117,237626,283348,40921,242427,32120,210307,70143
2015:Q4,163602,24062,4810,25503,218,349,24936,109227,583935,242981,272537,37101,235436,30774,204662,68417
2016:Q1,172352,24599,4665,24287,224,373,23690,118801,597335,251346,277279,36159,241120,30823,210297,68710
2016:Q2,183042,27977,4797,25394,242,426,24726,124874,606703,257778,269619,32017,237602,31389,206213,79306
2016:Q3,182534,27707,5203,24740,259,451,24030,124884,606642,260587,263598,31367,232231,32677,199554,82457
