date,Mutual funds; undistributed corporate profits; gross saving; net saving,Mutual funds; total financial assets,Mutual funds; money market fund shares; asset,Mutual funds; security repurchase agreements (net); asset,Mutual funds; debt securities; asset (market value),Mutual funds; commercial paper; asset,Mutual funds; Treasury securities; asset (market value),Mutual funds; agency- and GSE-backed securities; asset (market value),Mutual funds; municipal securities; asset (market value),Mutual funds; corporate and foreign bonds; asset (market value),Mutual funds; syndicated loans to nonfinancial corporate business; asset,Mutual funds; corporate equities; asset,Mutual funds; unidentified miscellaneous assets,Mutual funds; mutual fund shares; liability,Mutual funds; sector discrepancy,Variable annuity mutual funds; total financial assets (market value),Mutual funds; total financial assets in domestic equity funds,Mutual funds; total financial assets in world equity funds,Mutual funds; total financial assets in hybrid funds,Mutual funds; total financial assets in taxable bond funds,Mutual funds; total financial assets in municipal bond funds
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2016:Q2,-66811,78469,-36140,11256,346338,-17746,216224,-40524,94520,93864,4272,-148196,-99061,78469,-66811,-66056,-139989,-9820,9056,156524,90744
2016:Q3,-94643,155631,39408,-61536,505919,-1513,150932,26640,82812,247048,23036,-167245,-183950,155631,-94643,-57682,-170631,-70160,3636,260816,80052
2016:Q4,-109831,-141018,83372,22176,131680,16128,1452,34108,-91700,171692,50560,-19555,-409251,-141018,-109831,-63044,-192462,32144,-52500,131500,-93612
2017:Q1,-55045,252043,132152,-3592,354054,14378,80824,-30796,45664,243984,57500,-227552,-60519,252043,-55045,-93890,-141070,45092,3828,337676,42424
2017:Q2,-61223,332218,-33816,1936,422009,3433,199328,137892,44056,37300,28564,-82345,-4130,332218,-61223,-87557,-127907,141564,4168,291140,47164
2017:Q3,-71854,327251,126408,2456,566940,206612,250748,-66972,40740,135812,-1912,-104694,-261947,327251,-71854,-85839,-167091,101600,-6064,306184,49636
2017:Q4,-84268,359497,-105260,-48432,356625,-20587,218532,-28208,29548,157340,-12452,-119933,288949,359497,-84268,-106454,-196892,182512,8148,325460,23432
2018:Q1,-75334,226053,46504,-53352,610109,-42043,81532,95160,64860,410600,22372,-96402,-303178,226053,-75334,-111883,-258959,171276,264,269604,56888
2018:Q2,-76510,94116,-19644,58544,400680,51880,88828,78944,28296,152732,56028,-162541,-238950,94116,-76510,-95868,-150411,91644,-28140,190092,15784
2018:Q3,-54094,118464,169376,-38192,213127,-121749,114764,19048,40900,160164,26884,-125241,-127489,118464,-54094,-101910,-143770,-5140,-46236,240240,34916
2018:Q4,-13527,-693701,-248348,34428,-597944,-128820,-6192,-170664,-45752,-246516,-102300,-99219,319682,-693701,-13527,-108419,-93659,-95700,-160468,-314200,-29104
2019:Q1,86205,287615,226928,-17216,-2608,-20992,48916,-105828,117740,-42444,-30136,-225787,336434,287615,86205,-86244,-133002,6300,-14768,301216,121980
2019:Q2,123680,80249,450864,-33408,329046,85806,6932,58712,99128,78468,-37900,-196577,-431776,80249,123680,-115682,-204408,-48148,-22272,277620,98224
2019:Q3,143408,114708,-334380,-30056,498442,95046,176036,74436,98576,54348,-37776,-201893,220371,114708,143408,-110411,-242420,-29316,-34468,290500,103040
2019:Q4,174116,350516,-45392,7368,579520,6936,248052,96876,107840,119816,-28960,-252391,90371,350516,174116,-104212,-241882,47604,11156,430676,115460
2020:Q1,24473,-1222192,-172,-55236,-1178639,-65575,-1062748,70384,-87980,-32720,-120008,-361246,493109,-1222192,24473,-173598,-473169,45900,-187392,-566544,-68444
2020:Q2,75851,64377,61240,125604,478570,34354,406044,-481592,52756,467008,-176,-330038,-270823,64377,75851,-74954,-266425,-183716,17552,448272,68732
2020:Q3,77536,108352,-142656,-118268,1298318,5210,222892,476920,147800,445496,-2792,-666422,-259828,108352,77536,-115690,-483024,-216364,-24284,690888,120476
2020:Q4,59038,150287,46740,154236,687407,15259,247936,157504,86208,180500,7000,-568226,-176870,150287,59038,-100142,-303966,-207564,-20936,609776,101048
2021:Q1,60000,364154,95160,75784,1164041,8833,298680,72924,123760,659844,61288,-589474,-442646,364154,60000,-126278,-318865,-161588,8840,668212,120300
2021:Q2,70000,175097,-29572,61540,320960,-15500,361256,-175180,133292,17092,65788,-198712,-44907,175097,70000,-222531,-435880,43628,28552,446380,109484
2021:Q3,70000,309822,87692,-49688,619128,1248,192392,75160,124804,225524,37152,-102702,-281759,309822,70000,-137398,-247493,75452,50076,305008,115748
2021:Q4,70000,65007,48124,1816,544511,83,105264,49536,42408,347220,49448,-377636,-201255,65007,70000,-115220,-309339,176400,13160,174996,51004
