date,Total Nonfinancial,Households and Nonprofits,Nonfinancial Business,Federal Government,State and Local Governments,GDP,Total Nonfinancial Debt Growth,Households and Nonprofits Debt Growth,Nonfinancial Business Debt Growth,Federal Government Debt Growth,State and Local Governments Debt Growth,Nonfinancial Corporate Business,Nonfinancial Noncorporate Business,Noncorporate Business; Nonmortgage Depository Loans,Noncorporate Business; Mortgages,Noncorporate Business; Other,Corporate Business; Corporate Bonds,Corporate Business; Nonmortgage Depository Loans,Corporate Business; Mortgages,Corporate Business; Commercial Paper,Corporate Business; Other,Total Nonfinancial; Ratio to GDP,Households and Nonprofits; Ratio to GDP,Nonfinancial Business; Ratio to GDP,Federal Government; Ratio to GDP,State and Local Governments; Ratio to GDP,Nonfinancial Corporate Business; Ratio to GDP,Nonfinancial Noncorporate Business; Ratio to GDP,Noncorporate Nonmortgage Depository Loans; Ratio to GDP,Noncorporate Mortgages; Ratio to GDP,Noncorporate Other Nonfinancial Debt; Ratio to GDP,Corporate Bonds; Ratio to GDP,Corporate Nonmortgage Depository Loans; Ratio to GDP,Corporate Mortgages; Ratio to GDP,Corporate Commercial Paper; Ratio to GDP,Corporate Other; Ratio to GDP,Households and Nonprofits; Share of Total Nonfinancial Debt,Nonfinancial Business; Share of Total Nonfinancial Debt,Federal Governments; Share of Total Nonfinancial Debt,State and Local Governments; Share of Total Nonfinancial Debt,Nonfinancial Corporate Business; Share of Total Nonfinancial Business Debt,Nonfinancial Noncorporate Business; Share of Total Nonfinancial Business Debt,Noncorporate Nonmortgage Depository Loans; Share of Nonfinancial Noncorporate Business Debt,Noncorporate Mortgages; Share of Nonfinancial Noncorporate Business Debt,Noncorporate Other; Share of Nonfinancial Noncorporate Business Debt,Corporate Bonds; Share of Nonfinancial Corporate Business Debt,Corporate Nonmortgage Depository Loans; Share of Nonfinancial Corporate Business Debt,Corporate Mortgages; Share of Nonfinancial Corporate Business Debt,Corporate Commercial Paper; Share of Nonfinancial Corporate Business Debt,Corporate Other; Share of Nonfinancial Corporate Business Debt
1962:Q2,813930,247272,223073,262629,80955,600366,6.854,8.744,9.425,2.904,7.008,157690,65383,9847,47513,8023,82981,40189,23993,1124,9403,1.356,0.412,0.372,0.437,0.135,0.263,0.109,0.016,0.079,0.013,0.138,0.067,0.04,0.002,0.016,0.304,0.274,0.323,0.099,0.707,0.293,0.151,0.727,0.123,0.526,0.255,0.152,0.007,0.06
1962:Q1,800217,241983,217937,260736,79561,594013,5.893,6.863,6.019,3.966,8.975,154533,63404,9596,45796,8012,81437,39123,23576,1055,9342,1.347,0.407,0.367,0.439,0.134,0.26,0.107,0.016,0.077,0.013,0.137,0.066,0.04,0.002,0.016,0.302,0.272,0.326,0.099,0.709,0.291,0.151,0.722,0.126,0.527,0.253,0.153,0.007,0.06
1961:Q4,788596,237901,214704,258176,77815,580612,7.274,10.532,9.209,2.538,7.98,152987,61717,9459,44478,7780,80611,38585,23243,1094,9454,1.358,0.41,0.37,0.445,0.134,0.263,0.106,0.016,0.077,0.013,0.139,0.066,0.04,0.002,0.016,0.302,0.272,0.327,0.099,0.713,0.287,0.153,0.721,0.126,0.527,0.252,0.152,0.007,0.062
1961:Q3,774513,231798,209874,256548,76293,567664,6.982,7.01,6.815,6.645,8.492,149680,60194,9145,43325,7724,79237,38319,22266,892,8966,1.364,0.408,0.37,0.452,0.134,0.264,0.106,0.016,0.076,0.014,0.14,0.068,0.039,0.002,0.016,0.299,0.271,0.331,0.099,0.713,0.287,0.152,0.72,0.128,0.529,0.256,0.149,0.006,0.06
1961:Q2,761226,227806,206357,252356,74707,555545,5.797,7.837,6.603,3.268,5.983,148192,58165,8927,41704,7534,78530,38092,22031,740,8799,1.37,0.41,0.371,0.454,0.134,0.267,0.105,0.016,0.075,0.014,0.141,0.069,0.04,0.001,0.016,0.299,0.271,0.332,0.098,0.718,0.282,0.153,0.717,0.13,0.53,0.257,0.149,0.005,0.059
1961:Q1,750351,223428,203006,250311,73606,545018,4.088,6.49,4.763,0.382,7.727,146194,56812,8968,40225,7619,76577,38570,21744,548,8755,1.377,0.41,0.372,0.459,0.135,0.268,0.104,0.016,0.074,0.014,0.141,0.071,0.04,0.001,0.016,0.298,0.271,0.334,0.098,0.72,0.28,0.158,0.708,0.134,0.524,0.264,0.149,0.004,0.06
1960:Q4,742760,219861,200616,250072,72211,540197,5.162,8.307,7.084,0.429,6.937,145592,55024,8858,38742,7424,76216,37651,21825,769,9131,1.375,0.407,0.371,0.463,0.134,0.27,0.102,0.016,0.072,0.014,0.141,0.07,0.04,0.001,0.017,0.296,0.27,0.337,0.097,0.726,0.274,0.161,0.704,0.135,0.523,0.259,0.15,0.005,0.063
1960:Q3,733297,215388,197125,249804,70980,545604,4.593,8.108,5.192,0.203,8.001,143163,53962,8631,37982,7349,74889,37653,21305,671,8645,1.344,0.395,0.361,0.458,0.13,0.262,0.099,0.016,0.07,0.013,0.137,0.069,0.039,0.001,0.016,0.294,0.269,0.341,0.097,0.726,0.274,0.16,0.704,0.136,0.523,0.263,0.149,0.005,0.06
1960:Q2,724973,211109,194599,249677,69588,541080,5.728,10.024,8.35,-0.514,8.308,141908,52691,8579,36854,7257,74107,37611,21080,548,8562,1.34,0.39,0.36,0.461,0.129,0.262,0.097,0.016,0.068,0.013,0.137,0.07,0.039,0.001,0.016,0.291,0.268,0.344,0.096,0.729,0.271,0.163,0.699,0.138,0.522,0.265,0.149,0.004,0.06
1960:Q1,714738,205948,190620,249998,68172,542648,4.329,7.183,7.975,-1.882,8.852,139269,51351,8480,35638,7233,73216,36775,20971,356,7951,1.317,0.38,0.351,0.461,0.126,0.257,0.095,0.016,0.066,0.013,0.135,0.068,0.039,0.001,0.015,0.288,0.267,0.35,0.095,0.731,0.269,0.165,0.694,0.141,0.526,0.264,0.151,0.003,0.057
